tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,oid
ztf,60511.485902800225,2757485901515015010,2,2757485901515,18.94564,1,2757,0.59743625,13.616509,12.282879,13.7476,0.048599858,0.011914433,0.014229278,0.0048,70.0410061,11.7210994,0.54142857,t17_f5_c3,0.96281445,13.7465,0.0053,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60511.48637730023,2757486371515015007,2,2757486371515,18.923727,1,2757,0.56813,13.594504,12.27639,13.8619,0.077575706,0.021703364,0.02303987,0.0052,70.0411608,11.7210945,0.55857146,t17_f5_c3,0.81847274,13.8579,0.0058,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60511.486851899885,2757486851515015009,2,2757486851515,18.96888,1,2757,0.4590795,13.625902,12.285621,13.773,0.05877817,0.015222667,0.017104229,0.0049,70.0410615,11.7211175,0.54142857,t17_f5_c3,0.77314496,13.7671,0.0054,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60513.48037040001,2759480371515015006,2,2759480371515,18.86945,1,2759,0.3216289,13.569077,12.268776,13.8315,0.06805726,0.019058427,0.020547269,0.0054,70.0410946,11.7211514,0.49285713,t17_f5_c3,0.39038584,13.8223,0.0062,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60513.48084490001,2759480841515015005,2,2759480841515,19.00155,1,2759,0.4779106,13.671984,12.29883,13.9284,0.06769746,0.017405549,0.019112203,0.0056,70.040974,11.7211824,0.46714285,t17_f5_c3,0.10430229,13.9251,0.0064,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60514.47769680014,2760477691515015008,2,2760477691515,18.758017,1,2760,0.7237186,13.912542,12.361522,13.9816,0.050773606,0.008838267,0.0121682985,0.0062,70.040988,11.721072,0.56142855,t17_f5_c3,0.27518803,13.9791,0.0071,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60514.48162040021,2760481621515015007,2,2760481621515,18.923525,1,2760,0.49126118,13.796501,12.332561,13.9651,0.048568886,0.009630299,0.012611944,0.0059,70.0409627,11.7211996,0.5557143,t17_f5_c3,0.2921747,13.9634,0.0067,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60514.48554399982,2760485541515015005,2,2760485541515,18.993792,1,2760,0.3294949,13.933289,12.366458,14.0436,0.05207232,0.008982057,0.012299138,0.0061,70.0410142,11.7211972,0.57714283,t17_f5_c3,0.702679,14.0435,0.0069,1555120215,True,True,False,24.5.1,0.0,ZTF17aaarxrt
ztf,60875.49099540012,3121490991515015003,2,3121490991515,18.643421,1,3121,0.79098976,14.204662,12.424707,14.5067,0.059874542,0.007514707,0.011621443,0.0095,70.0410521,11.7210237,0.5214286,t17_f5_c3,0.36143506,14.5052,0.0111,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60875.49549769983,3121495491515015016,2,3121495491515,18.286377,1,3121,0.87527126,14.010243,12.384149,14.3458,0.06486006,0.011725453,0.014505721,0.0107,70.0408686,11.721139,0.49,t17_f5_c3,0.16846567,14.3441,0.0129,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60875.5,3121500001515015081,2,3121500001515,17.656977,1,3121,0.32501516,13.971665,12.375401,14.2621,0.024043135,100.0,0.005526946,0.016,70.0410072,11.7212173,0.5228571,t17_f5_c3,0.5808684,14.26,0.0201,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60877.49745369982,3123497451515015018,2,3123497451515,18.441065,1,3123,0.4199955,13.903003,12.359228,14.0219,0.022425933,100.0,0.0054105404,0.0078,70.041044,11.7211358,0.56,t17_f5_c3,0.8862072,14.0195,0.0094,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.483379600104,3124483371515015016,2,3124483371515,19.383394,1,3124,0.5549806,13.897739,12.357956,14.0979,0.054119606,0.010111866,0.013105126,0.0049,70.0410182,11.7211062,0.6257143,t17_f5_c3,0.81235635,14.0922,0.0052,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.48725689994,3124487251515015019,2,3124487251515,19.288305,1,3124,0.6558013,13.892862,12.356772,14.1077,0.04993587,0.008824529,0.012133242,0.005,70.0409938,11.7210876,0.5914286,t17_f5_c3,0.8401901,14.1011,0.0054,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.491111100186,3124491111515015011,2,3124491111515,19.208775,1,3124,0.57376266,13.895448,12.357401,14.0425,0.05628062,0.010812277,0.013650231,0.005,70.0409885,11.7211205,0.5714286,t17_f5_c3,0.8926194,14.0371,0.0054,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.49214120023,3124492141515015026,2,3124492141515,19.190678,1,3124,0.5106299,13.876319,12.35273,14.0407,0.045188226,0.007384626,0.01110682,0.005,70.0410123,11.7211246,0.56285715,t17_f5_c3,0.9271358,14.0366,0.0055,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.496157399844,3124496151515015014,2,3124496151515,18.891617,1,3124,0.5217522,13.792799,12.331598,14.0076,0.048063513,0.00950554,0.012512246,0.0055,70.0409799,11.7211504,0.57,t17_f5_c3,0.44602224,14.0013,0.0062,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60878.50065970002,3124500651515015024,2,3124500651515,18.365416,1,3124,0.40485406,13.76932,12.325437,13.9554,0.037204187,0.005602786,0.00984099,0.0067,70.041024,11.7211533,0.54285717,t17_f5_c3,0.8501276,13.9575,0.008,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.48285879986,3125482851515015011,2,3125482851515,19.366339,1,3125,0.74013805,13.924823,12.364452,14.0733,0.03470229,100.0,0.008245367,0.0049,70.0409473,11.7210941,0.64285713,t17_f5_c3,0.8076967,14.0673,0.0052,1555120215,True,True,False,27.5.6,0.0,ZTF17aaarxrt
ztf,60879.4847916998,3125484795615015005,2,3125484795615,19.300894,1,3125,0.9058228,13.983197,12.343138,14.0289,0.04148011,100.0,0.009158327,0.0047,70.0409967,11.7210279,0.58,t17_f5_c3,0.8982158,14.0162,0.005,1503120256,True,True,False,27.5.6,0.0,ZTF17aaarxrt
