tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58254.189027800225,500189022915015010,2,500189022915,20.6437,1,500,0.386582,17.9464,15.67058,17.9394,0.035541,100.0,0.0043691997,0.0446,190.6358231,11.3054282,0.643333,17.9157,0.0513,False,True,False,bulk_1.0.0,0.0,5.23246802915015e+17,,,,ZTF17aabucib
ztf,58257.23055560002,503230552915015008,2,503230552915,20.4992,1,503,0.347428,17.7649,15.646563,17.8113,0.032986,100.0,0.0046880734,0.0425,190.6357256,11.3056045,0.623333,17.7933,0.0493,False,True,False,bulk_1.0.0,0.0,5.23246802915015e+17,,,,ZTF17aabucib
ztf,58257.2721644002,503272162915015015,2,503272162915,20.4506,1,503,0.078008,17.7347,15.642219,17.7697,0.032153,100.0,0.0046798196,0.0408,190.6357765,11.3055447,0.673333,17.8006,0.0495,False,True,False,bulk_1.0.0,0.0,5.23246802915015e+17,,,,ZTF17aabucib
ztf,58260.188252300024,506188252915015010,2,506188252915,20.1265,1,506,0.497217,17.986,15.675371,17.9665,0.046196,100.0,0.005499876,0.0601,190.635724,11.3056551,0.42,17.9646,0.0734,False,True,False,bulk_1.0.0,0.0,5.23246802915015e+17,,,,ZTF17aabucib
ztf,58270.16766199982,516167662915015011,2,516167662915,20.16076,1,516,0.29753473,18.16587,15.695288,18.1217,0.049108975,100.0,0.0050457725,0.0636,190.6357385,11.3054737,0.8233333,18.1485,0.0791,False,True,False,bulk_1.0.0,0.0,5.41233372915015e+17,0.0,526120229.0,,ZTF17aabucib
ztf,58277.24680559989,523246802915015005,2,523246802915,20.397516,1,523,0.48807916,18.340187,15.711962,18.3153,0.05617258,100.0,0.004991536,0.0735,190.6356722,11.3054722,0.7133333,18.3287,0.0897,False,True,False,bulk_1.0.0,0.0,5.41233372915015e+17,0.0,526120229.0,,ZTF17aabucib
ztf,58280.17311340012,526173112915015007,2,526173112915,20.218178,1,526,0.22118945,18.164537,15.69515,18.1383,0.049565013,100.0,0.005098243,0.0653,190.6357526,11.3054894,0.82666665,18.1024,0.0768,False,True,False,bulk_1.0.0,0.0,5.41233372915015e+17,0.0,526120229.0,,ZTF17aabucib
ztf,58286.27956019994,532279562915015010,2,532279562915,20.181055,1,532,0.03799034,17.812243,15.653166,17.8027,0.034688313,100.0,0.0047484576,0.0442,190.6357872,11.3055312,0.89666665,17.7979,0.0525,False,True,False,bulk_1.0.0,0.0,5.41233372915015e+17,0.0,526120229.0,,ZTF17aabucib
ztf,58292.23291670019,538232912915015007,2,538232912915,19.76998,1,538,0.20890352,17.016487,15.503314,16.9872,0.053485297,100.0,0.0132728815,0.0341,190.635781,11.3054764,0.81333333,17.0032,0.043,False,True,False,bulk_1.0.0,0.0,5.41233372915015e+17,0.0,526120229.0,,ZTF17aabucib
ztf,58295.233379600104,541233372915015006,2,541233372915,19.720356,1,541,0.1652597,16.750874,15.431093,16.7915,0.051364943,0.008466381,0.015231923,0.0295,190.6357832,11.3054911,0.74666667,16.7789,0.0362,False,True,False,bulk_1.0.0,0.0,5.50177762915015e+17,0.0,526120229.0,,ZTF17aabucib
