tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58492.15337960003,738153374515015003,2,738153374515,18.6474,1,738,0.537331,18.6193,18.565372,18.4747,0.23388,0.22238359,0.22254705,0.3127,67.4398794,42.0596942,0.593333,t12_f5_c3,18.5939,0.4482,False,True,False,bulk_1.0.0,0.0,7.39216514515015e+17,,,ZTF18aaadvih
ztf,58493.20192130003,739201923215015012,1,739201923215,20.750196,1,739,0.8979156,18.885996,18.848684,18.897,0.0834154,0.08030815,0.080597535,0.0692,67.439788,42.059727,0.71,t8_f5_c3,18.8444,0.0835,False,True,False,bulk_1.0.0,0.0,7.39216514515015e+17,0.0,701120132.0,ZTF18aaadvih
ztf,58493.21651619999,739216514515015006,1,739216514515,20.627424,1,739,6.8231606,19.39029,,19.2729,0.13620222,,,0.1078,67.4397847,42.0596913,0.27857143,t8_f5_c3,19.3024,0.1411,False,False,True,bulk_1.0.0,0.0,7.39259373215015e+17,0.0,702120145.0,ZTF18aaadvih
ztf,58493.258911999874,739258914515015015,2,739258914515,20.380266,1,739,0.60974514,18.520918,18.471558,18.5884,0.08331664,0.07922841,0.079613626,0.0739,67.4398044,42.0597451,0.7114286,t8_f5_c3,18.5536,0.0911,False,True,False,bulk_1.0.0,0.0,7.39259373215015e+17,0.0,702120245.0,ZTF18aaadvih
ztf,58493.25937499991,739259373215015022,2,739259373215,20.403322,1,739,0.3127576,18.469053,18.43821,18.4721,0.073795125,0.071538836,0.07172826,0.0674,67.439776,42.0597326,0.7228571,t8_f5_c3,18.4556,0.0844,False,True,False,bulk_1.0.0,0.0,7.41237744515015e+17,0.0,701120232.0,ZTF18aaadvih
ztf,58495.23774310015,741237744515015009,1,741237744515,20.44253,1,741,7.0213914,19.14056,,19.1726,0.117149815,,,0.1124,67.4397919,42.059747,0.5542857,t15_f5_c3,19.2485,0.1538,False,False,True,bulk_1.0.0,0.0,7.51122804515015e+17,0.0,702120145.0,ZTF18aaadvih
ztf,58503.22101850016,749221014515015010,1,749221014515,19.1664,1,749,6.46901,19.6348,,18.9803,0.308017,,,0.2929,67.4397881,42.0595845,0.151429,t15_f5_c3,19.0334,0.3951,False,False,True,bulk_1.0.0,0.0,7.51122804515015e+17,,,ZTF18aaadvih
ztf,58504.28026620019,750280263215015017,2,750280263215,19.3014,1,750,0.251758,19.5398,19.459005,19.0454,0.31438,0.29152963,0.29183462,0.2908,67.4397451,42.0597549,0.18,t15_f5_c3,18.8509,0.3126,False,True,False,bulk_1.0.0,0.0,7.51122804515015e+17,,,ZTF18aaadvih
ztf,58505.122800900135,751122804515015012,2,751122804515,19.725164,1,751,0.56444657,19.548033,19.425194,19.7418,0.17220947,0.15263075,0.15378757,0.3735,67.4398249,42.0597364,0.50714284,t15_f5_c3,19.6304,0.4333,True,True,False,bulk_1.0.0,0.0,0.0,0.0,702120245.0,ZTF18aaadvih
ztf,58567.16130790021,813161303215015005,1,813161303215,20.3937,1,813,1.04113,20.3136,20.180704,20.9278,0.238618,0.20984086,0.21112737,0.6262,67.4397388,42.0597447,0.632857,t15_f5_c3,20.6761,0.6379,False,True,False,bulk_1.0.0,0.0,8.13161774515015e+17,,,ZTF18aaadvih
ztf,58567.16177080013,813161774515015009,1,813161774515,20.211525,1,813,6.78614,20.223345,,20.198,0.2124349,,,0.3628,67.4398205,42.0596725,0.3257143,t15_f5_c3,20.0738,0.4158,True,False,True,bulk_1.0.0,0.0,0.0,0.0,702120145.0,ZTF18aaadvih
ztf,58724.47166670021,970471663215015007,1,970471663215,20.678179,1,970,0.85465175,19.684067,19.607653,19.625,0.15429944,0.14315635,0.14381307,0.1476,67.4397697,42.0596911,0.91571426,t17_f5_c3,19.8611,0.2337,False,True,False,bulk_1.0.0,0.0,9.70472144515015e+17,0.99999976,701120132.0,ZTF18aaadvih
ztf,58724.47214120021,970472144515015005,1,970472144515,20.651627,1,970,6.875923,19.643347,,19.4746,0.1147579,,,0.136,67.4397999,42.0597054,0.86142856,t17_f5_c3,19.294,0.1473,False,False,True,bulk_1.0.0,0.0,9.70487883215015e+17,0.99999964,702120145.0,ZTF18aaadvih
ztf,58724.487418999895,970487414515015008,2,970487414515,20.522501,1,970,0.6690096,19.18977,19.100075,18.9319,0.09690839,0.08812619,0.089224316,0.0945,67.4397888,42.0597331,0.8485714,t17_f5_c3,18.8984,0.117,True,True,False,bulk_1.0.0,0.0,0.0,0.99999106,702120245.0,ZTF18aaadvih
