tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58541.23710650019,787237104415015052,1,787237104415,20.6414,1,787,0.082061,19.9712,17.983347,20.0344,0.251553,0.036255885,0.040316958,0.2097,133.9609833,27.3067375,0.727143,t15_f5_c3,20.1531,0.2936,False,True,False,bulk_1.0.0,0.0,8.13213154415015e+17,,,ZTF18aaeptda
ztf,58556.20574070001,802205744415025017,2,802205744415,19.819172,1,802,0.23821361,19.518564,17.715258,19.7617,0.19498089,0.032013215,0.03703986,0.2433,133.9610238,27.3066729,0.70714283,t15_f5_c3,19.6387,0.2762,False,True,False,bulk_1.0.0,0.0,8.13213154415015e+17,0.0,618120244.0,ZTF18aaeptda
ztf,58567.213159699924,813213154415015068,2,813213154415,20.631214,1,813,0.31871656,19.576727,17.726068,19.8064,0.14348437,0.01807794,0.026094057,0.1984,133.9610801,27.3067083,0.6471428,t15_f5_c3,19.7247,0.2317,False,True,False,bulk_1.0.0,0.0,8.26212024415015e+17,0.0,618120244.0,ZTF18aaeptda
ztf,58580.19874999998,826198754415015020,1,826198754415,20.576853,1,826,0.66052216,20.269018,18.025915,20.345,0.19855712,0.017219134,0.02515616,0.2853,133.9611137,27.3068803,0.9114286,t15_f5_c3,20.0986,0.2867,False,True,False,bulk_1.0.0,0.0,8.26212024415015e+17,0.0,618120144.0,ZTF18aaeptda
ztf,58580.2120254999,826212024415015019,2,826212024415,20.45422,1,826,0.3436856,19.740042,17.754,19.6848,0.12592341,0.005991156,0.02021575,0.1975,133.9610914,27.3067363,0.8685714,t15_f5_c3,19.6415,0.2397,False,True,False,bulk_1.0.0,0.0,8.54191714415015e+17,0.0,618120244.0,ZTF18aaeptda
ztf,58596.18785879994,842187854415015011,1,842187854415,20.4911,1,842,0.616995,20.1026,18.003365,20.2776,0.232069,0.028357532,0.033567823,0.2821,133.9611916,27.3067425,0.895714,t15_f5_c3,20.4158,0.4044,False,True,False,bulk_1.0.0,0.0,8.54191714415015e+17,,,ZTF18aaeptda
ztf,58605.229016200174,851229014415015008,1,851229014415,20.5017,1,851,0.473247,20.1712,18.013023,20.2569,0.235026,0.026614835,0.03219923,0.302,133.9611356,27.3066689,0.851429,t15_f5_c3,20.4575,0.4592,False,True,False,bulk_1.0.0,0.0,8.54191714415015e+17,,,ZTF18aaeptda
ztf,58608.19171300018,854191714415015009,1,854191714415,20.560095,1,854,0.40227553,20.14694,18.009668,20.0126,0.2129866,0.023631925,0.029747013,0.2435,133.9611054,27.3066651,0.81714284,t15_f5_c3,19.6817,0.2273,True,True,False,bulk_1.0.0,0.0,0.0,0.0,618120144.0,ZTF18aaeptda
ztf,58760.51082180021,1006510824415015014,2,1006510824415,19.98196,1,1006,0.2595273,19.804516,17.764097,19.8078,0.19127169,0.02175437,0.029206729,0.2955,133.9610613,27.3067083,0.94857144,t17_f5_c3,19.6725,0.3322,False,True,False,bulk_1.0.0,0.0,1.030537234415015e+18,0.9718199,618120244.0,ZTF18aaeptda
ztf,58764.51052080002,1010510524415015004,1,1010510524415,20.469,1,1010,0.129471,20.237,18.021807,19.7794,0.250706,0.0269875,0.032590225,0.2032,133.9609845,27.306689,0.811429,t17_f5_c3,19.5751,0.2129,False,True,False,bulk_1.0.0,0.0,1.037503064415015e+18,,,ZTF18aaeptda
