tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58324.254120400175,570254123715015040,1,570254123715,19.533573,1,570,0.6077268,17.75104,14.519206,18.1219,0.15927422,100.0,0.008117313,0.1185,235.8863935,34.4695384,0.46333334,t8_f5_c3,0.0,17.8973,0.1177,678120137.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58472.53622689983,718536223715015038,1,718536223715,20.3341,1,718,0.775922,17.8188,14.522559,18.0486,0.118967,100.0,0.0057138694,0.0692,235.8866778,34.4694424,0.4,t12_f5_c3,,18.0039,0.0735,,False,True,False,bulk_1.0.0,0.0,7.33514473715015e+17,ZTF18aagslit
ztf,58487.51447919989,733514473715015035,1,733514473715,20.538643,1,733,0.51488775,17.638859,14.5132,17.6242,0.06543525,100.0,0.003677463,0.0452,235.886459,34.4695219,0.7,t8_f5_c3,0.0,17.5767,0.0473,678120137.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58526.51105319988,772511053715015030,2,772511053715,20.105803,1,772,0.6508357,16.071653,13.269522,16.3529,0.11339453,100.0,0.008584981,0.0244,235.8864911,34.4694636,0.057142857,t15_f5_c3,0.0,16.3403,0.0258,678120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58575.48626160016,821486263715015059,1,821486263715,20.273035,1,821,0.682266,17.330427,14.493337,17.3653,0.08916104,100.0,0.0065364023,0.0444,235.886503,34.4694527,0.09,t15_f5_c3,0.0,17.3779,0.0499,678120137.0,False,True,False,bulk_1.0.0,0.0,8.29380123715015e+17,ZTF18aagslit
ztf,58583.34814810008,829348143715015020,2,829348143715,20.081837,1,829,0.96968323,16.378641,13.289957,16.4427,0.06967797,100.0,0.0040515577,0.0252,235.886404,34.4694038,0.34142858,t15_f5_c3,0.0,16.4293,0.0264,678120237.0,False,True,False,bulk_1.0.0,0.0,8.29380123715015e+17,ZTF18aagslit
ztf,58583.38012730004,829380123715015019,1,829380123715,20.38043,1,829,0.8544571,17.431826,14.500457,17.5241,0.07808386,100.0,0.0052482393,0.0405,235.8863753,34.4694548,0.45,t15_f5_c3,0.0,17.5065,0.0431,678120137.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58606.28108800016,852281081215015007,2,852281081215,20.5797,1,852,0.881778,16.4176,13.328013,16.8784,0.186474,100.0,0.010833863,0.0355,235.8864718,34.4694039,0.05,t15_f5_c3,,16.8671,0.0366,,False,True,False,bulk_1.0.0,0.0,8.65277923715015e+17,ZTF18aagslit
ztf,58619.277928200085,865277923715015010,1,865277923715,19.068823,1,865,0.40825668,17.558638,14.508531,18.0937,0.1669057,100.0,0.010056076,0.1258,235.886544,34.4695249,0.48142856,t15_f5_c3,0.0,18.2006,0.1713,678120137.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58635.21787039982,881217873715015038,1,881217873715,20.8949,1,881,0.837682,17.3382,14.493904,17.7129,0.167377,100.0,0.012189267,0.0463,235.886507,34.4694077,0.3,t17_f5_c3,,17.7157,0.0494,,False,True,False,bulk_1.0.0,0.0,9.03259943715015e+17,ZTF18aagslit
ztf,58657.25994209992,903259943715015041,2,903259943715,20.467566,1,903,1.5152621,16.636505,,16.9482,0.1925346,,,0.0378,235.8862,34.4693374,0.3,t17_f5_c3,0.06084147,16.937,0.0392,678120237.0,False,False,True,bulk_1.0.0,0.0,9.21304003715015e+17,ZTF18aagslit
ztf,58675.304004599806,921304003715015027,1,921304003715,19.889185,1,921,0.68894064,17.545204,14.507717,17.8459,0.13349319,100.0,0.008136998,0.0739,235.8864878,34.4694553,0.5928571,t17_f5_c3,0.42801616,17.8921,0.0909,678120137.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aagslit
ztf,58711.15349540021,957153493715015016,1,957153493715,19.882391,1,957,0.6172926,17.373632,14.496446,17.3618,0.10568827,100.0,0.0074671037,0.0507,235.8864879,34.4694758,0.5314286,t17_f5_c3,0.45105612,17.3262,0.0585,678120137.0,False,True,False,bulk_1.0.0,0.0,9.57276903715015e+17,ZTF18aagslit
ztf,58711.27690970013,957276903715015034,2,957276903715,19.435484,1,957,1.049225,16.092108,13.271056,16.3078,0.10350196,100.0,0.0077006626,0.0297,235.8863212,34.4694225,0.49857143,t17_f5_c3,0.03139117,16.2999,0.0343,678120237.0,False,True,False,bulk_1.0.0,0.0,9.83175673715015e+17,ZTF18aagslit
ztf,58737.17567129992,983175673715015034,2,983175673715,19.452702,1,983,0.6000998,16.229748,13.280718,16.3941,0.08555135,100.0,0.005657372,0.0295,235.8864881,34.4694867,0.6457143,t17_f5_c3,0.3257173,16.3706,0.0329,678120237.0,False,True,False,bulk_1.0.0,0.0,9.95131563715015e+17,ZTF18aagslit
ztf,58749.131562499795,995131563715015021,1,995131563715,20.136435,1,995,1.1073046,17.44618,14.501415,17.7278,0.1144173,100.0,0.007596014,0.0593,235.8861864,34.4696661,0.25714287,t17_f5_c3,0.2832182,17.779,0.0704,678120137.0,False,True,False,bulk_1.0.0,0.0,1.004132593715015e+18,ZTF18aagslit
