tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59755.24393519992,2001243931315015017,2,2001243931315,19.728264,1,2001,0.5454765,17.065208,14.506896,17.6438,0.19680864,0.009076823,0.018651733,0.0668,183.830666,8.987897,0.41428572,t17_f5_c3,4.482e-05,16.6715,0.036,525120213.0,True,True,False,1.1.2,0.0,,ZTF18aahvdbq
ztf,59882.54129630001,2128541291315015006,2,2128541291315,18.930916,1,2128,0.2784596,16.91845,14.492105,17.2304,0.102796234,100.0,0.011001184,0.0716,183.8307522,8.9877872,0.8457143,t17_f5_c3,0.99880445,16.9022,0.0683,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,59887.54891199991,2133548911315015076,2,2133548911315,18.447098,1,2133,0.89276266,16.457764,14.432366,16.8611,0.1365707,0.014685111,0.02114456,0.0678,183.8307957,8.9879711,0.50142854,t17_f5_c3,0.01958465,16.1835,0.0468,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,59895.53127310006,2141531271315015024,2,2141531271315,19.325394,1,2141,0.5261157,16.949398,14.495376,17.2481,0.1579046,0.0033841587,0.01647349,0.0562,183.8306849,8.9878928,0.48142856,t17_f5_c3,0.00012465,16.5157,0.0375,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,59895.533738399856,2141533731315015018,2,2141533731315,19.3939,1,2141,0.437713,16.6056,14.453979,17.2932,0.171337,0.01780073,0.023615796,0.0585,183.830718,8.9878637,0.322857,t17_f5_c3,,16.3797,0.0333,,False,True,False,1.1.6,0.0,2.143533271315015e+18,ZTF18aahvdbq
ztf,59897.53327549994,2143533271315015021,2,2143533271315,19.476103,1,2143,0.4854323,16.957,14.496166,16.989,0.10145305,100.0,0.010517951,0.0405,183.8306758,8.987881,0.9057143,t17_f5_c3,0.99973077,16.6251,0.0375,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,59897.53821759997,2143538211315015012,2,2143538211315,19.468767,1,2143,0.6830404,17.010452,14.501587,16.8929,0.10200533,100.0,0.010117579,0.036,183.8307978,8.9879017,0.79,t17_f5_c3,0.9999292,16.5965,0.0353,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,59969.447233799845,2215447231315015013,2,2215447231315,20.271315,1,2215,0.32712126,16.935398,14.493906,17.4549,0.16942146,0.00777686,0.01788017,0.046,183.8306484,8.9878292,0.34571427,t17_f5_c3,0.00058408,16.5658,0.0276,525120213.0,True,True,False,1.1.6,0.0,,ZTF18aahvdbq
ztf,60101.32988430001,2347329881315015041,2,2347329881315,18.659782,1,2347,0.5379066,16.869053,14.48671,16.8872,0.09636651,100.0,0.01073962,0.0604,183.8307966,8.9878493,0.80142856,t17_f5_c3,0.9980457,16.3481,0.0474,525120213.0,True,True,False,1.2.0,0.0,,ZTF18aahvdbq
ztf,60261.53785880003,2507537851315015024,2,2507537851315,19.8568,1,2507,0.448071,16.7437,14.472001,17.5235,0.198976,0.018812938,0.024553945,0.0573,183.8306753,8.9878705,0.325714,t17_f5_c3,,16.5137,0.0303,,False,True,False,1.2.1,0.0,2.507542771315015e+18,ZTF18aahvdbq
ztf,60261.5427778,2507542771315015044,2,2507542771315,17.094036,1,2507,0.30374858,15.370244,14.175661,15.1639,0.077147976,0.022691654,0.02567386,0.0651,183.8307617,8.9877854,0.6685714,t17_f5_c3,0.92614,14.4981,0.0456,525120213.0,True,True,False,1.2.1,0.0,,ZTF18aahvdbq
ztf,60633.48598380014,2879485981315015017,2,2879485981315,18.629772,1,2879,0.9724975,17.594366,14.547333,17.5333,0.16433099,100.0,0.009929018,0.0871,183.8307041,8.9880178,0.5914286,t17_f5_c3,0.14570993,17.8523,0.1431,525120213.0,True,True,False,25.0.0,0.0,,ZTF18aahvdbq
ztf,60826.344490699936,3072344491315015193,2,3072344491315,17.30123,1,3072,0.515796,16.00863,14.349485,16.0573,0.113381945,0.02015818,0.024597213,0.0967,183.8305427,8.9877791,0.40428573,t17_f5_c3,0.95732486,15.5184,0.0758,525120213.0,True,True,False,27.5.6,0.0,,ZTF18aahvdbq
ztf,60838.30105319992,3084301051315015065,2,3084301051315,18.735758,1,3084,0.80007005,16.949675,14.495404,17.3221,0.11139387,100.0,0.01161858,0.0741,183.8306598,8.9879684,0.5957143,t17_f5_c3,0.03063563,16.7549,0.0564,525120213.0,True,True,False,27.5.6,0.0,,ZTF18aahvdbq
ztf,61083.5219676001,3329521961315015018,2,3329521961315,20.072458,1,3329,0.74416214,16.671457,14.462822,17.2092,0.2082402,0.022291087,0.027233945,0.039,183.8306007,8.9879366,0.28428572,t17_f5_c3,2.7e-07,16.4208,0.0253,525120213.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18aahvdbq
