tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58258.22003469989,504220032215010000,2,504220032215,20.5667,-1,504,0.106346,18.8775,16.04621,18.7093,0.088079,100.0,0.006491666,0.1008,203.768201,53.8733779,0.39,18.5287,0.1001,False,True,False,bulk_1.0.0,0.0,525261312215010011,,,,ZTF18aakeanj
ztf,58279.26131939981,525261312215010011,2,525261312215,20.63578,-1,525,0.46631753,18.729486,16.05796,18.3453,0.07389183,100.0,0.006309374,0.0697,203.7681237,53.8735128,0.74666667,18.1971,0.0712,True,True,False,bulk_1.0.0,0.0,0,0.0,791120222.0,,ZTF18aakeanj
ztf,58431.54259259999,677542592215015006,2,677542592215,19.419996,1,677,1.2619524,19.006754,15.904774,18.8846,0.18942042,100.0,0.010880142,0.1616,203.767847,53.873687,0.55,18.7848,0.1808,True,True,False,bulk_1.0.0,0.0,0,0.0,791120222.0,t8_f5_c3,ZTF18aakeanj
ztf,59215.49222220015,1461492222215015001,1,1461492222215,19.1771,1,1461,1.09577,18.7214,17.877047,18.6168,0.14507,100.0,0.06665556,0.1624,203.7674468,53.8732444,0.652857,18.5272,0.19,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59217.447523099836,1463447522215015000,1,1463447522215,19.6737,1,1463,1.04938,18.8337,17.927208,18.6513,0.13044,100.0,0.056599647,0.1449,203.7671891,53.873215,0.875714,18.6718,0.1866,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59219.45578699978,1465455782215015001,1,1465455782215,19.9354,1,1465,1.08072,18.7927,17.909227,18.6964,0.098844,100.0,0.043808762,0.1173,203.7672971,53.8732443,0.917143,18.709,0.1481,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59221.46960650012,1467469602215015004,1,1467469602215,19.427,1,1467,0.95026,18.7811,17.90407,18.4925,0.181271,0.030581273,0.08081956,0.1537,203.7672868,53.873201,0.78,18.4158,0.1805,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59221.53167819977,1467531672215015001,2,1467531672215,19.8911,1,1467,0.764791,18.7076,17.35474,18.9,0.106646,100.0,0.03067617,0.1891,203.767296,53.873244,0.737143,19.1905,0.3043,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59223.48875000002,1469488742215015007,2,1469488742215,20.4038,1,1469,0.821192,18.6468,17.3369,18.6319,0.096419,100.0,0.028853811,0.0981,203.7672936,53.8732756,0.85,18.6011,0.1132,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59223.53472220013,1469534722215015002,1,1469534722215,20.5996,1,1469,1.22117,18.7692,17.898748,18.7066,0.100391,100.0,0.045031272,0.0772,203.7673236,53.8732844,0.908571,18.6981,0.0918,False,True,False,bulk_1.0.0,0.0,1471475162215015001,,,t17_f5_c3,ZTF18aakeanj
ztf,59225.47516199993,1471475162215015001,1,1471475162215,19.96838,1,1471,1.041342,18.673374,16.728872,18.715,0.11851258,100.0,0.019768033,0.0797,203.7676822,53.8733385,0.6557143,18.6626,0.0917,True,True,False,bulk_1.0.0,0.0,0,0.86372995,791120122.0,t17_f5_c3,ZTF18aakeanj
