tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58612.47016200004,858470160015015006,2,858470160015,20.7785,1,858,1.02553,16.9759,13.673852,17.1683,0.173584,100.0,0.008292588,0.0421,274.8828893,52.6516602,0.032857,t15_f5_c3,17.0622,0.041,False,True,False,bulk_1.0.0,0.0,8.78431630015015e+17,,,ZTF18aanuumd
ztf,58632.431631899904,878431630015015000,1,878431630015,20.596064,1,878,0.2963017,17.335466,14.063329,17.8097,0.15648782,0.0010888642,0.007684676,0.0604,274.8831923,52.6518645,0.2742857,t17_f5_c3,17.8276,0.0652,False,True,False,bulk_1.0.0,0.0,9.06345980015015e+17,0.0,797120100.0,ZTF18aanuumd
ztf,58644.331701400224,890331700015015002,2,890331700015,20.3043,1,890,1.12061,16.7313,13.660824,16.6675,0.114616,100.0,0.006777269,0.0279,274.882794,52.6517406,0.348571,t17_f5_c3,16.6741,0.0301,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,,,ZTF18aanuumd
ztf,58647.302476900164,893302470015015001,2,893302470015,20.0884,1,893,1.06377,16.6662,13.656864,16.5991,0.08485,100.0,0.005307833,0.028,274.8828505,52.6516921,0.407143,t17_f5_c3,16.6002,0.0309,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,,,ZTF18aanuumd
ztf,58650.321608799975,896321600015015005,2,896321600015,19.8281,1,896,0.980446,16.5316,13.647937,16.6886,0.250022,0.01427361,0.017559517,0.0347,274.8830705,52.6515687,0.22,t17_f5_c3,16.5104,0.0341,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,,,ZTF18aanuumd
ztf,58653.3701272998,899370120015015001,1,899370120015,19.5596,1,899,1.09082,17.3383,14.063468,17.2591,0.085447,100.0,0.004185658,0.0517,274.8828195,52.6516627,0.494286,t17_f5_c3,17.2318,0.0593,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,,,ZTF18aanuumd
ztf,58654.38687499985,900386870015015002,2,900386870015,19.948284,1,900,0.7865399,16.751024,13.66198,16.5802,0.109578565,100.0,0.006369535,0.0293,274.8831417,52.6516062,0.47714287,t17_f5_c3,16.5696,0.0325,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,0.36465633,797120200.0,ZTF18aanuumd
ztf,58655.21674769977,901216740015015002,2,901216740015,20.295,1,901,0.3509,16.607,13.653065,16.6419,0.157059,0.0011429868,0.010339239,0.0265,274.8834141,52.6517294,0.38,t17_f5_c3,16.6546,0.0285,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,,,ZTF18aanuumd
ztf,58655.268645800184,901268640015015000,1,901268640015,20.04868,1,901,0.45583746,17.4386,14.0681715,17.4334,0.10047155,100.0,0.004506832,0.0475,274.8834709,52.6517584,0.60142857,t17_f5_c3,17.4059,0.0511,False,True,False,bulk_1.0.0,0.0,9.04221130015015e+17,0.15794018,797120100.0,ZTF18aanuumd
ztf,58658.22113429988,904221130015015002,1,904221130015,20.776415,1,904,0.88559765,17.27325,14.060189,17.3802,0.1183793,100.0,0.006138343,0.042,274.8830134,52.6516076,0.4642857,t17_f5_c3,17.3651,0.0435,False,True,False,bulk_1.0.0,0.0,9.14289030015015e+17,0.01701167,797120100.0,ZTF18aanuumd
ztf,58660.34598380001,906345980015015001,1,906345980015,20.857248,1,906,0.51549494,17.102432,14.050639,17.42,0.104919456,100.0,0.0063115885,0.0413,274.8831029,52.6517001,0.39857143,t17_f5_c3,17.4452,0.0442,False,True,False,bulk_1.0.0,0.0,9.14289030015015e+17,0.0056448,797120100.0,ZTF18aanuumd
ztf,58668.28903939994,914289030015015004,1,914289030015,20.868933,1,914,0.36403617,17.149021,14.053386,17.3625,0.09500727,100.0,0.0054891193,0.0398,274.8832092,52.6517041,0.48285714,t17_f5_c3,17.3863,0.0426,False,True,False,bulk_1.0.0,0.0,9.43302240015015e+17,0.01660812,797120100.0,ZTF18aanuumd
ztf,58678.241435199976,924241430015015002,2,924241430015,20.1088,1,924,0.602197,16.5976,13.652444,16.6419,0.235501,0.011780974,0.015628949,0.0296,274.8831104,52.6516845,0.302857,t17_f5_c3,16.4896,0.0293,False,True,False,bulk_1.0.0,0.0,9.43302240015015e+17,,,ZTF18aanuumd
ztf,58680.24761570012,926247610015015014,2,926247610015,19.5786,1,926,0.946228,17.1561,13.681813,16.6038,0.160023,100.0,0.006523308,0.0358,274.883534,52.651578,0.224286,t17_f5_c3,16.2958,0.0318,False,True,False,bulk_1.0.0,0.0,9.43302240015015e+17,,,ZTF18aanuumd
