tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59135.120879599825,1381120874815015018,1,1381120874815,20.849743,1,1381,7.775592,18.034424,18.0232,0.061427154,0.032,289.4866203,29.087965,0.8971428,t17_f5_c3,1.0,17.98,0.0383,638120148.0,False,False,False,bulk_1.0.0,0.0,1.381158246115015e+18,,,,ZTF18aauekse
ztf,59135.140509299934,1381140504815015009,2,1381140504815,20.106583,1,1381,3.9947,18.072119,18.061,0.06393554,0.0581,289.4866287,29.087965,0.91714287,t17_f5_c3,1.0,18.011,0.0707,638120248.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59135.15824070014,1381158246115015013,2,1381158246115,20.337349,1,1381,0.41305533,18.15558,18.2493,0.082249984,0.0567,289.4866443,29.0879721,0.9142857,t17_f5_c3,1.0,18.3089,0.0759,639120261.0,False,True,True,bulk_1.0.0,0.0,1.391206054815015e+18,18.09783,0.07730517,0.077989414,ZTF18aauekse
ztf,59135.225254599936,1381225256115015020,1,1381225256115,20.065893,1,1381,8.618158,17.98616,17.9631,0.07874573,0.0489,289.4866678,29.0879752,0.88,t17_f5_c3,1.0,17.9434,0.0608,639120161.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59137.12112270016,1383121124815015013,2,1383121124815,20.343393,1,1383,3.9902923,18.176554,18.346,0.07514917,0.0636,289.4866203,29.0879828,0.9028571,t17_f5_c3,1.0,18.3053,0.078,638120248.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59137.13289349992,1383132894815015023,1,1383132894815,20.837858,1,1383,7.802803,18.173935,18.1781,0.049431957,0.0369,289.4866223,29.0879536,0.92,t17_f5_c3,1.0,18.1745,0.0459,638120148.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59137.162754599936,1383162756115015034,1,1383162756115,20.508137,1,1383,8.620061,18.253426,18.2663,0.08358817,0.0475,289.4866563,29.0879739,0.91571426,t17_f5_c3,1.0,18.3329,0.0637,639120161.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59139.1099537001,1385109954815015024,1,1385109954815,20.66631,1,1385,7.812262,18.436659,18.3969,0.069362834,0.0498,289.4866143,29.0879545,0.8542857,t17_f5_c3,1.0,18.4393,0.0652,638120148.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59139.18386569992,1385183866115015041,1,1385183866115,20.664635,1,1385,8.526842,18.362558,18.3883,0.10246033,0.0478,289.4866749,29.0879499,0.9014286,t17_f5_c3,1.0,18.3642,0.0589,639120161.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59141.12122689979,1387121224815015019,2,1387121224815,19.925476,1,1387,4.020893,18.623158,18.5709,0.11842184,0.1167,289.4866273,29.0879621,0.85,t17_f5_c3,0.9999974,18.7054,0.169,638120248.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59141.194641199894,1387194644815015027,1,1387194644815,20.437624,1,1387,7.65382,18.607628,18.7355,0.10513117,0.0847,289.4866562,29.0879892,0.88857144,t17_f5_c3,1.0,18.777,0.1119,638120148.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59141.20425930014,1387204256115015151,1,1387204256115,19.596962,1,1387,8.640674,18.650837,18.5424,0.12665977,0.1419,289.4866588,29.0879798,0.70714283,t17_f5_c3,1.0,18.7649,0.2226,639120161.0,False,False,False,bulk_1.0.0,0.0,1.391206054815015e+18,,,,ZTF18aauekse
ztf,59143.17456019996,1389174564815015024,1,1389174564815,20.645126,1,1389,7.8361244,19.03297,18.9877,0.09051608,0.0861,289.4866388,29.0879368,0.87,t17_f5_c3,1.0,18.9744,0.1084,638120148.0,False,False,False,bulk_1.0.0,0.0,1.391207456115015e+18,,,,ZTF18aauekse
