tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58276.26652779989,522266520215015000,1,522266520215,20.789185,1,522,0.16096358,20.425127,18.988733,20.6247,0.16222322,0.041968524,0.043207113,0.3133,225.0289501,58.8603703,0.8333333,0.0,20.827,0.4785,822120102.0,True,True,False,bulk_1.0.0,0.0,0.0,,ZTF18aaxrbve
ztf,58303.219224500004,549219220215015005,1,549219220215,20.7697,1,549,0.135189,20.8881,19.09407,20.7936,0.241877,0.044939663,0.04634288,0.3929,225.0289324,58.8603509,0.663333,,20.5707,0.4076,,False,True,False,bulk_1.0.0,0.0,5.79177550215015e+17,t8_f5_c3,ZTF18aaxrbve
ztf,58306.22648150008,552226480215015003,1,552226480215,20.668,1,552,0.185876,20.7403,19.06415,20.3732,0.235377,0.049048983,0.050269507,0.2839,225.0288418,58.8604124,0.61,,20.2915,0.3347,,False,True,False,bulk_1.0.0,0.0,5.79177550215015e+17,t8_f5_c3,ZTF18aaxrbve
ztf,58315.177245399915,561177240215015007,1,561177240215,20.2503,1,561,0.491353,20.1706,18.914904,19.7728,0.231252,0.072109915,0.0727456,0.2347,225.0290543,58.8604557,0.536667,,19.8291,0.3157,,False,True,False,bulk_1.0.0,0.0,5.79177550215015e+17,t8_f5_c3,ZTF18aaxrbve
ztf,58333.17755790008,579177550215015012,1,579177550215,20.796167,1,579,0.088368885,20.402943,18.982779,20.1596,0.18220283,0.04818869,0.049259484,0.2248,225.0288597,58.8603363,0.66333336,0.0,19.9522,0.236,822120102.0,True,True,False,bulk_1.0.0,0.0,0.0,t8_f5_c3,ZTF18aaxrbve
ztf,59625.434224499855,1871434220215015001,2,1871434220215,19.7829,1,1871,0.263529,20.0879,18.756115,20.0601,0.250782,0.071396306,0.073549904,0.5229,225.0287308,58.8603516,0.922857,,20.0202,0.6467,,False,True,False,correction_1.0.6,0.0,1.887331160215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59637.40824070014,1883408240215015004,2,1883408240215,19.99,1,1883,0.281592,20.2295,18.795765,20.347,0.274252,0.07089428,0.073224366,0.4237,225.0287212,58.8603475,0.848571,,20.4428,0.5924,,False,True,False,correction_1.0.6,0.0,1.887331160215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59639.345949099865,1885345940215015000,1,1885345940215,19.9981,1,1885,0.284587,20.1418,18.905762,20.3644,0.233783,0.074278444,0.074885465,0.375,225.0289171,58.8604358,0.771429,,20.6635,0.6309,,False,True,False,correction_1.0.6,0.0,1.887331160215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59641.331168999895,1887331160215015001,2,1887331160215,20.201889,1,1887,0.14146504,20.197172,18.787039,19.9101,0.20470035,0.052814487,0.055855386,0.3076,225.0288236,58.8603224,0.95857143,0.9996137,19.6374,0.3065,822120202.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,59641.34234949993,1887342340215015002,1,1887342340215,20.44743,1,1887,0.14815876,20.135847,18.90385,19.8969,0.2090095,0.06652502,0.06719974,0.2338,225.028838,58.8603173,0.94285715,0.9998553,19.8276,0.2798,822120102.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,59672.3210880002,1918321080215015006,1,1918321080215,20.796877,1,1918,0.105782636,20.304668,18.95532,20.244,0.15655886,0.044067696,0.04517922,0.2315,225.0288349,58.8603347,0.94,0.99998593,20.2788,0.3032,822120102.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,59672.3210880002,1918321080215025002,1,1918321080215,20.7758,1,1918,0.101135,20.3011,18.95429,20.2811,0.153968,0.043409694,0.04453553,0.2434,225.0288276,58.8603386,0.952857,,20.3643,0.3336,,False,True,False,correction_1.0.6,0.0,1.936305620215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59675.36601850018,1921366010215015002,1,1921366010215,20.520996,1,1921,0.12513039,20.268763,18.944838,20.0134,0.16791989,0.04861509,0.049605742,0.2338,225.0289268,58.8603464,0.95857143,0.9999664,19.9781,0.2883,822120102.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,59677.30679399986,1923306790215015001,1,1923306790215,20.0715,1,1923,0.187871,20.302,18.95455,20.1665,0.233201,0.06667531,0.067414075,0.3586,225.028897,58.8603115,0.888571,,20.0264,0.4039,,False,True,False,correction_1.0.6,0.0,1.936305620215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59679.282604199834,1925282600215015002,1,1925282600215,20.0197,1,1925,0.204769,20.2624,18.942953,20.7197,0.235793,0.069247685,0.06994432,0.6508,225.0288606,58.8604187,0.918571,,20.0583,0.4542,,False,True,False,correction_1.0.6,0.0,1.936305620215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59690.30562500004,1936305620215015001,1,1936305620215,20.364449,1,1936,0.44645008,20.279266,18.94793,20.3428,0.19989382,0.057809256,0.05864954,0.3371,225.0290354,58.8602735,0.9514286,0.9999962,20.2479,0.3946,822120102.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,59690.3472684999,1936347260215015003,2,1936347260215,20.0807,1,1936,0.093543,20.3742,18.832552,20.0119,0.231875,0.052749574,0.056052394,0.3499,225.0288244,58.8603471,0.922857,,19.9103,0.408,,False,True,False,correction_1.0.6,0.0,1.946261800215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59694.388148100115,1940388140215015003,1,1940388140215,20.3038,1,1940,0.202202,20.5069,19.009918,20.5637,0.32731,0.081777364,0.08244534,0.426,225.0289007,58.860308,0.842857,,20.5976,0.5622,,False,True,False,correction_1.0.6,0.0,1.946261800215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,59700.26180560002,1946261800215015004,1,1946261800215,20.41363,1,1946,0.37853593,20.525583,19.014593,20.4776,0.21702118,0.052929167,0.05396426,0.3903,225.0290624,58.8603841,0.9514286,0.999997,20.2459,0.4032,822120102.0,True,True,False,correction_1.0.6,0.0,,t17_f5_c3,ZTF18aaxrbve
ztf,60029.496157399844,2275496150215015003,1,2275496150215,20.4176,1,2275,0.159078,20.6654,19.047714,21.1659,0.273663,0.06071885,0.06167969,0.6413,225.028945,58.8603726,0.897143,,20.7645,0.5668,,False,True,False,1.2.0,0.0,2.304325530215015e+18,t17_f5_c3,ZTF18aaxrbve
ztf,60050.364745399915,2296364740215015002,1,2296364740215,20.6346,1,2296,0.373123,20.7697,19.070364,20.4926,0.283434,0.05821013,0.059253987,0.3252,225.0290569,58.8603893,0.862857,,20.6716,0.4884,,False,True,False,1.2.0,0.0,2.304325530215015e+18,t17_f5_c3,ZTF18aaxrbve
