tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58273.4605556,519460551015015006,1,519460551015,20.3472,1,519,0.161747,19.8692,18.445198,20.6651,0.156985,0.038144395,0.042291895,0.5126,291.4798832,23.1890482,0.66,20.1133,0.3955,False,True,False,bulk_1.0.0,0.0,5.2040005101501504e+17,,,,ZTF18aaydhna
ztf,58274.3364467998,520336441015015006,2,520336441015,20.539717,1,520,0.36479488,17.833784,15.873921,17.8912,0.0307596,100.0,0.0050586597,0.0424,291.4800298,23.1890406,0.6766667,17.88,0.0507,False,True,False,bulk_1.0.0,0.0,5.2040005101501504e+17,0.0,639120210.0,,ZTF18aaydhna
ztf,58274.40005790023,520400051015015014,1,520400051015,20.7292,1,520,0.21690574,20.035513,18.487555,20.4524,0.13530606,0.02639674,0.032518763,0.3108,291.4799473,23.1889929,0.64666665,20.309,0.3476,False,True,False,bulk_1.0.0,0.0,5.4544092101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58275.39552079979,521395521015015005,2,521395521015,20.473507,1,521,0.28874263,17.639324,15.839451,17.6882,0.026147833,100.0,0.004982948,0.0359,291.4799997,23.1890131,0.69666666,17.6609,0.0424,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120210.0,,ZTF18aaydhna
ztf,58275.44098380022,521440981015015008,1,521440981015,20.642689,1,521,0.16744089,19.646255,18.380491,19.7292,0.09797649,0.025225803,0.030536296,0.166,291.4799025,23.1890129,0.77,19.6725,0.2007,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58276.37311339984,522373111015015005,1,522373111015,20.622671,1,522,0.065222956,19.53434,18.344358,19.7789,0.08639502,0.02359258,0.028873263,0.1673,291.4799468,23.1890369,0.81333333,19.6526,0.1898,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58277.372233800124,523372231015015008,1,523372231015,20.681746,1,523,0.33309418,19.559998,18.352865,19.8406,0.08827029,0.023701359,0.029037666,0.1752,291.4798906,23.1889685,0.76,19.9501,0.2465,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58278.37971059978,524379711015015015,1,524379711015,20.982998,1,524,0.16650856,19.567614,18.355366,19.7521,0.07616777,0.01841745,0.024938582,0.1389,291.47998,23.1890316,0.80333334,19.634,0.1585,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58278.4581133998,524458111015015006,2,524458111015,20.684,1,524,0.205055,17.5767,15.827234,17.5808,0.023499,100.0,0.004690976,0.0301,291.479968,23.1890109,0.54,17.5855,0.036,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,,,,ZTF18aaydhna
ztf,58279.37232640013,525372321015015009,1,525372321015,20.736444,1,525,0.06641213,19.626495,18.374294,19.5559,0.088666335,0.022141092,0.027981974,0.1266,291.4799397,23.1890328,0.80333334,19.6004,0.1673,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58279.403229199816,525403221015015005,2,525403221015,20.4602,1,525,0.175746,17.4353,15.797499,17.4903,0.022539,100.0,0.004986705,0.0305,291.47997,23.1890291,0.583333,17.4638,0.0359,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,,,,ZTF18aaydhna
ztf,58280.36137730023,526361371015015006,2,526361371015,20.80946,1,526,0.15062758,17.357012,15.779684,17.39,0.018845614,100.0,0.004408383,0.0243,291.4799643,23.1890521,0.57666665,17.3792,0.0283,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120210.0,,ZTF18aaydhna
ztf,58280.41028939979,526410281015015015,1,526410281015,21.098259,1,526,0.10663505,19.351768,18.279865,19.3607,0.05551218,0.013483024,0.020683657,0.0841,291.4799208,23.1890252,0.7733333,19.1784,0.0899,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58281.35872690007,527358721015015003,2,527358721015,20.9313,1,527,0.215213,17.6524,15.84193,17.7028,0.023182,100.0,0.0043748524,0.0298,291.4799689,23.1890104,0.51,17.7764,0.0375,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,,,,ZTF18aaydhna
ztf,58282.35188659979,528351881015015004,2,528351881015,20.742723,1,528,0.21296355,17.410505,15.791964,17.5046,0.019942032,100.0,0.0044910996,0.0272,291.4799661,23.1890091,0.64,17.5371,0.033,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120210.0,,ZTF18aaydhna
ztf,58282.39399310015,528393991015015015,1,528393991015,21.050491,1,528,0.1692311,19.32094,18.268276,19.4028,0.057084627,0.015095982,0.021649804,0.0917,291.4799664,23.1890162,0.7733333,19.3208,0.1072,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120110.0,,ZTF18aaydhna
ztf,58283.35763890017,529357631015015005,2,529357631015,20.668552,1,529,0.33792582,17.233301,15.749457,17.2438,0.017567147,100.0,0.004478821,0.0227,291.4800017,23.1889925,0.66333336,17.2581,0.0273,False,True,False,bulk_1.0.0,0.0,5.5042799101501504e+17,0.0,639120210.0,,ZTF18aaydhna
