tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58277.395960600115,523395966115015007,2,523395966115,20.710674,1,523,0.23975712,19.710178,18.698473,20.1441,0.105583794,0.038480565,0.04158291,0.2394,281.7134392,15.2932816,0.5966667,0.0,20.1228,0.2977,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3931515611501504e+17,,ZTF18aaywnam
ztf,58281.3568519,527356856115015007,2,527356856115,20.5684,1,527,0.12011145,19.589975,18.649532,19.6025,0.10808395,0.04288595,0.045455214,0.1646,281.713467,15.2933138,0.5833333,0.0,19.425,0.1774,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3931515611501504e+17,,ZTF18aaywnam
ztf,58282.352858799975,528352856115015007,2,528352856115,20.585506,1,528,0.4209608,19.381514,18.556942,19.5185,0.08927029,0.03941402,0.041771363,0.1515,281.7134522,15.2932022,0.68,0.0,19.5195,0.1919,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3931515611501504e+17,,ZTF18aaywnam
ztf,58283.3770486,529377046115015006,2,529377046115,20.7104,1,529,0.33290187,19.589384,18.649282,19.7351,0.09489627,0.036971234,0.03992167,0.1636,281.7134386,15.2932408,0.66,0.0,19.5441,0.1742,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3033837611501504e+17,,ZTF18aaywnam
ztf,58284.338379600085,530338376115015010,2,530338376115,20.297798,1,530,0.21713726,19.63128,18.666712,19.558,0.13562156,0.053641986,0.055782903,0.1925,281.7134468,15.2932806,0.56666666,0.0,19.3673,0.2062,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3433314611501504e+17,,ZTF18aaywnam
ztf,58285.377419000026,531377416115015010,2,531377416115,20.823717,1,531,0.31952974,19.333858,18.534384,19.3957,0.06960291,0.030451726,0.033330154,0.1118,281.713429,15.2932534,0.68,0.0,19.3758,0.1381,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3433314611501504e+17,,ZTF18aaywnam
ztf,58286.33768519992,532337686115015004,2,532337686115,20.787601,1,532,0.36527723,19.222006,18.479382,19.1849,0.06424571,0.02975005,0.03241863,0.0939,281.7135035,15.2932121,0.70666665,0.0,19.279,0.1286,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3433314611501504e+17,,ZTF18aaywnam
ztf,58287.33353010006,533333536115015010,2,533333536115,20.52235,1,533,0.19447984,19.37172,18.55235,19.4139,0.08969538,0.039858367,0.042171773,0.1411,281.7134966,15.2932572,0.63,0.0,19.5352,0.1998,539120261.0,False,True,False,bulk_1.0.0,0.0,5.3433314611501504e+17,,ZTF18aaywnam
ztf,58288.33314809995,534333146115015013,2,534333146115,20.369976,1,534,0.27333853,19.234543,18.485691,19.2316,0.14804088,0.07313606,0.07427465,0.1338,281.7134424,15.2932601,0.61333334,0.0,19.2536,0.1736,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58289.327719899826,535327716115015001,2,535327716115,20.1884,1,535,0.241847,19.3598,18.546728,19.4317,0.157701,0.073307134,0.074577145,0.178,281.7134486,15.2932628,0.563333,,19.4833,0.2381,,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58290.37576390011,536375766115015012,2,536375766115,20.723358,1,536,0.24376611,19.137169,18.435745,19.0189,0.12666003,0.06522179,0.066385016,0.085,281.7134485,15.2932666,0.62333333,0.0,18.9603,0.1015,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58291.3154397998,537315436115015004,2,537315436115,20.22098,1,537,0.14887737,19.02853,18.377453,19.1305,0.13251671,0.07179987,0.0727511,0.1406,281.7134607,15.2932925,0.64666665,0.0,18.996,0.1583,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58292.3309491002,538330946115015011,2,538330946115,20.355993,1,538,0.20011073,18.93649,18.32596,19.0858,0.11628634,0.0653196,0.066269964,0.1237,281.713456,15.2932765,0.63,0.0,19.0516,0.1523,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58293.31515049981,539315156115015012,2,539315156115,20.138176,1,539,0.19359267,18.804447,18.248755,18.774,0.105162814,0.062169075,0.063035496,0.1119,281.7134885,15.2932608,0.6566667,0.0,18.7088,0.1342,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58294.31531250011,540315316115015010,2,540315316115,20.023386,1,540,0.22221452,18.725023,18.200453,18.8944,0.15135388,0.092827976,0.09336101,0.1385,281.7134751,15.2932521,0.56666666,0.0,18.5816,0.1329,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58295.295277799945,541295276115015008,2,541295276115,19.958855,1,541,0.25511444,18.621584,18.135492,18.6748,0.1218074,0.077278495,0.07784612,0.1214,281.7134892,15.2932409,0.6433333,0.0,18.617,0.147,539120261.0,False,True,False,bulk_1.0.0,0.0,5.53358796115015e+17,,ZTF18aaywnam
ztf,58296.31625000015,542316256115015006,2,542316256115,19.54567,1,542,0.18860209,18.55965,18.095507,18.7115,0.16078316,0.104462646,0.10485344,0.1735,281.7134719,15.2932661,0.5566667,0.0,18.642,0.2085,539120261.0,False,True,False,bulk_1.0.0,0.0,5.7231287611501504e+17,,ZTF18aaywnam
ztf,58297.31361109996,543313616115015003,2,543313616115,19.362282,1,543,0.15461797,18.687202,18.17697,18.5668,0.17332812,0.107897125,0.108336665,0.1796,281.7134712,15.2932762,0.4,0.0,18.6558,0.2498,539120261.0,False,True,False,bulk_1.0.0,0.0,5.7231287611501504e+17,,ZTF18aaywnam
ztf,58298.3147454001,544314746115015005,2,544314746115,19.3943,1,544,0.080084,18.4148,17.998882,18.4233,0.180368,0.12268929,0.12296798,0.1491,281.71348,15.2932969,0.356667,,18.3947,0.1862,,False,True,False,bulk_1.0.0,0.0,5.7231287611501504e+17,t8_f5_c3,ZTF18aaywnam
ztf,58303.33564809989,549335646115015017,2,549335646115,20.53695,1,549,0.10085012,18.030355,17.722689,18.0071,0.075195275,0.05627553,0.05664007,0.0412,281.7134973,15.2932838,0.69666666,0.0,17.9285,0.0477,539120261.0,False,True,False,bulk_1.0.0,0.0,5.78232166115015e+17,,ZTF18aaywnam
