tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58277.43350689998,523433500715015066,2,523433500715,20.53241,1,523,0.15163502,18.110918,16.848137,18.1009,0.03461064,100.0,0.010816769,0.0492,329.8783669,58.632329,0.7033333,0.0,18.0488,0.0579,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58278.448379599955,524448370715015042,2,524448370715,20.657122,1,524,0.107601754,18.043493,16.826612,18.0777,0.030421738,100.0,0.009918174,0.0438,329.8784127,58.6323045,0.78,0.0,18.0734,0.0537,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58279.40969910007,525409690715015021,2,525409690715,20.2049,1,525,0.0823702,17.9422,16.79254,17.9092,0.033768192,0.0037266985,0.011712339,0.0486,329.8784408,58.6323075,0.81333333,0.0,17.99,0.0654,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58280.37059029983,526370590715015012,2,526370590715,20.408997,1,526,0.042372417,18.052317,16.829481,18.003,0.033353142,100.0,0.010814404,0.0464,329.8784299,58.6323337,0.69666666,0.0,18.0065,0.0575,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58281.47003469989,527470030715015017,2,527470030715,20.578316,1,527,0.056848448,17.910246,16.78135,17.8964,0.02751568,100.0,0.009727957,0.038,329.8784221,58.6323236,0.81,0.0,17.8538,0.045,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58282.45201390004,528452010715015033,2,528452010715,20.676052,1,528,0.14102516,17.758259,16.725153,17.7954,0.023680015,100.0,0.009144068,0.0341,329.878391,58.6323071,0.80333334,0.0,17.8112,0.0421,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58283.38938659988,529389380715015033,2,529389380715,20.645247,1,529,0.063092515,17.724945,16.712168,17.7458,0.023114152,100.0,0.009094247,0.0328,329.8784227,58.6323193,0.7733333,0.0,17.7224,0.0392,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58285.40972220013,531409720715015050,2,531409720715,20.878262,1,531,0.08908143,17.611382,16.666058,17.6527,0.018743608,100.0,0.007847365,0.0265,329.8784219,58.6323098,0.79333335,0.0,17.668,0.0323,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58286.479409699794,532479400715015023,2,532479400715,20.018856,1,532,0.11315109,17.637257,16.676817,17.6631,0.029230133,0.0067844265,0.012068538,0.0452,329.8783884,58.6323309,0.82666665,0.0,17.6539,0.0563,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
ztf,58287.4678588002,533467850715015034,2,533467850715,20.658934,1,533,0.1776464,17.529034,16.63082,17.5544,0.019041736,100.0,0.008325696,0.0271,329.8783682,58.6323027,0.81666666,0.0,17.5762,0.0336,830120207.0,False,True,False,bulk_1.0.0,0.0,5.4541234071501504e+17,,ZTF18aayxhhb
