tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58279.40464119986,525404644215010006,2,525404644215,20.42797,-1,525,0.0809699,17.721281,15.486449,17.7924,0.031099293,100.0,0.003970248,0.0408,299.4078437,26.9169605,0.6766667,0.0,17.7862,0.0478,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58280.37274309993,526372744215010003,2,526372744215,20.926445,-1,526,0.09670129,17.725054,15.485969,17.8012,0.027746534,100.0,0.003528373,0.0344,299.4078449,26.9169694,0.44,0.0,17.8248,0.0397,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58283.383611099795,529383614215010009,2,529383614215,20.870401,-1,529,0.07156652,17.674526,15.492565,17.77,0.026575856,100.0,0.0035620737,0.0339,299.4078334,26.9169716,0.42333335,0.0,17.7752,0.0387,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58288.44545139978,534445454215010007,2,534445454215,19.92023,-1,534,0.6024994,17.614809,15.500825,17.7454,0.07558163,100.0,0.010785063,0.041,299.4079415,26.916827,0.74333334,0.0,17.7491,0.0492,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58290.37811340019,536378114215010008,2,536378114215,20.883808,-1,536,0.08202579,17.560871,15.508745,17.7648,0.12716949,100.0,0.019210223,0.0336,299.4078401,26.9169672,0.37666667,0.0,17.7727,0.0383,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58291.47951389989,537479514215010007,2,537479514215,20.446093,-1,537,0.1869472,17.58209,15.505575,17.865,0.17471856,0.005333858,0.02580673,0.0453,299.4078527,26.9169989,0.34,0.0,17.9121,0.0562,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58292.464236100204,538464234215010007,2,538464234215,20.954344,-1,538,0.08237632,17.552254,15.510053,17.7383,0.106471784,100.0,0.016231328,0.032,299.4078426,26.9169474,0.50666666,0.0,17.7201,0.0354,640120242.0,False,True,False,bulk_1.0.0,0.0,5.3931809421501e+17,,ZTF18aazmjuo
ztf,58293.318090300076,539318094215010007,2,539318094215,20.399641,-1,539,0.077848606,17.680784,15.49173,17.8909,0.074137144,100.0,0.009872198,0.0477,299.4078119,26.9169775,0.6433333,0.0,17.9198,0.0585,640120242.0,False,True,False,bulk_1.0.0,0.0,5.4637655421501e+17,,ZTF18aazmjuo
ztf,58297.410786999855,543410784215010005,2,543410784215,19.6484,-1,543,0.072409,17.6646,15.493902,17.721,0.105408,100.0,0.014275604,0.0669,299.4078182,26.9169361,0.423333,,17.6518,0.0786,,False,True,False,bulk_1.0.0,0.0,5.7023467421501e+17,t8_f5_c3,ZTF18aazmjuo
ztf,58300.37655089982,546376554215010005,2,546376554215,19.737904,-1,546,0.3419542,17.71618,15.487102,17.8478,0.08656874,100.0,0.011110394,0.068,299.4078895,26.916883,0.61333334,0.0,17.8912,0.0879,640120242.0,False,True,False,bulk_1.0.0,0.0,5.4737918421501e+17,,ZTF18aazmjuo
