tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58285.333715300076,531333713715010063,2,531333713715,20.68344,-1,531,0.13588405,19.575884,19.165766,19.7509,0.087641835,0.029642466,0.06007087,0.1655,273.8244988,-8.5861539,0.77,0.0,19.5768,0.1807,383120237.0,False,True,False,bulk_1.0.0,0.0,5.3929337371501005e+17,,ZTF18abbkkcm
ztf,58287.314085599966,533314083715010024,2,533314083715,20.616617,-1,533,0.21355572,19.601465,19.148573,19.6641,0.091269165,0.031179238,0.06014052,0.1552,273.8245101,-8.5861759,0.73,0.0,19.6347,0.1935,383120237.0,False,True,False,bulk_1.0.0,0.0,5.3729319371501005e+17,,ZTF18abbkkcm
ztf,58291.29319440015,537293193715010039,2,537293193715,20.16681,-1,537,0.06890097,19.401768,19.303598,19.3255,0.12584876,0.098483674,0.114969134,0.1707,273.8244902,-8.5861344,0.67,0.0,19.2967,0.2132,383120237.0,False,True,False,bulk_1.0.0,0.0,5.3831230371501005e+17,,ZTF18abbkkcm
ztf,58292.3123031999,538312303715010042,2,538312303715,20.28439,-1,538,0.2528065,19.383184,19.320858,19.6293,0.16733834,0.146056,0.15800282,0.2099,273.8245404,-8.5861483,0.5966667,0.0,19.4299,0.2243,383120237.0,False,True,False,bulk_1.0.0,0.0,5.6727457371501005e+17,,ZTF18abbkkcm
ztf,58293.29337960016,539293373715010030,2,539293373715,20.174679,-1,539,0.06412147,19.43154,19.277096,19.8236,0.15478,0.12113539,0.13425717,0.2837,273.8244893,-8.5861268,0.66333336,0.0,19.6933,0.3229,383120237.0,False,True,False,bulk_1.0.0,0.0,5.6727457371501005e+17,,ZTF18abbkkcm
ztf,58304.35638889996,550356383715010040,2,550356383715,20.506489,-1,550,0.10992664,19.115572,19.653545,19.4005,0.10745998,0.15621656,0.17637469,0.1436,273.8244965,-8.5861466,0.6933333,0.0,19.412,0.1859,383120237.0,False,True,False,bulk_1.0.0,0.0,5.6727457371501005e+17,,ZTF18abbkkcm
ztf,58305.35577550018,551355773715010067,2,551355773715,19.766695,-1,551,0.04425888,19.044,19.782318,19.0732,0.12749128,0.23416138,0.25165603,0.1527,273.8244656,-8.5861359,0.6433333,0.0,18.9806,0.1801,383120237.0,False,True,False,bulk_1.0.0,0.0,5.6727457371501005e+17,,ZTF18abbkkcm
ztf,58307.357847199775,553357843715010053,2,553357843715,20.49256,-1,553,0.09510601,19.079514,19.715454,19.0463,0.105289765,0.16809583,0.18913089,0.1056,273.8244539,-8.5861485,0.7633333,0.0,19.1219,0.1452,383120237.0,False,True,False,bulk_1.0.0,0.0,5.8034013371501e+17,,ZTF18abbkkcm
ztf,58321.27457180014,567274573715010032,2,567274573715,20.08284,-1,567,0.17366543,18.91284,20.09968,18.7098,0.09883841,0.26778868,0.29489097,0.114,273.8244811,-8.5861771,0.73,0.0,18.7418,0.1507,383120237.0,False,True,False,bulk_1.0.0,0.0,5.9132255371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58334.340138900094,580340133715010025,2,580340133715,20.04636,-1,580,0.1043279,18.815792,20.45479,18.9899,0.086190805,0.3503767,0.3899959,0.1431,273.8244809,-8.5861571,0.74,0.0,18.8311,0.1588,383120237.0,False,True,False,bulk_1.0.0,0.0,5.8222890371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58336.22890050011,582228903715010069,2,582228903715,20.539598,-1,582,0.17355952,18.878225,20.210041,18.8431,0.079895146,0.23564295,0.272425,0.0793,273.8244835,-8.5861733,0.7266667,0.0,18.8856,0.1055,383120237.0,False,True,False,bulk_1.0.0,0.0,5.9132255371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58338.19081019983,584190813715010061,2,584190813715,20.740993,-1,584,0.13756567,18.754477,20.785952,18.8531,0.09157153,0.5475102,0.5947722,0.0712,273.8244887,-8.586163,0.8466667,0.0,18.8059,0.0872,383120237.0,False,True,False,bulk_1.0.0,0.0,5.9132255371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58345.3225579001,591322553715010058,2,591322553715,19.933952,-1,591,0.11428935,18.75449,20.785866,18.7953,0.10759183,0.65900743,0.6987623,0.1236,273.8244796,-8.5861594,0.81,0.0,18.7275,0.149,383120237.0,False,True,False,bulk_1.0.0,0.0,6.1712252371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58348.19709490007,594197093715010061,2,594197093715,20.06384,-1,594,0.19321404,18.778397,20.642233,18.8637,0.0924156,0.47238943,0.5143747,0.1253,273.8244867,-8.5861808,0.87,0.0,18.8653,0.161,383120237.0,False,True,False,bulk_1.0.0,0.0,6.1712252371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58365.146562499925,611146563715010091,2,611146563715,20.638622,-1,611,0.09714609,18.747616,20.8316,18.7906,0.0837383,0.5168573,0.570845,0.0718,273.8244731,-8.586154,0.87666667,0.0,18.7281,0.0868,383120237.0,False,True,False,bulk_1.0.0,0.0,6.1712252371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58371.122523100115,617122523715010048,2,617122523715,19.792719,-1,617,0.18918823,18.632305,22.398611,18.5454,0.09376657,2.829715,3.0100245,0.1221,273.8244706,-8.586182,0.8466667,0.0,18.5599,0.1588,383120237.0,False,True,False,bulk_1.0.0,0.0,6.1812636371501e+17,t8_f5_c3,ZTF18abbkkcm
ztf,58372.126365699805,618126363715010086,2,618126363715,20.345957,-1,618,0.16406943,18.695704,21.272686,18.7222,0.080644794,0.7855631,0.86570436,0.0881,273.8244838,-8.5861737,0.8333333,0.0,18.6771,0.1083,383120237.0,True,True,False,bulk_1.0.0,0.0,0.0,t8_f5_c3,ZTF18abbkkcm
ztf,58558.460416700225,804460413715015020,1,804460413715,19.949919,1,804,0.66196924,19.67823,19.57409,19.7485,0.18741752,0.16944247,0.17027614,0.2546,273.8245485,-8.5861689,0.36857143,0.0,19.7663,0.3312,383120137.0,False,True,False,bulk_1.0.0,0.0,8.21459013715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58575.459016200155,821459013715015041,2,821459013715,20.423101,1,821,0.1455909,16.792149,16.603876,16.8174,0.042975735,0.035795245,0.036133874,0.0163,273.8244918,-8.5861632,0.7014286,0.0,16.819,0.0199,383120237.0,False,True,False,bulk_1.0.0,0.0,8.31439103715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58582.4391667,828439163715015042,2,828439163715,20.13825,1,828,0.15867338,16.749704,16.568079,16.8079,0.03597134,0.030053323,0.030430332,0.0188,273.8244868,-8.5861698,0.81714284,0.0,16.8103,0.0233,383120237.0,False,True,False,bulk_1.0.0,0.0,8.31439103715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58585.43910880014,831439103715015038,2,831439103715,19.861834,1,831,0.1964268,16.747826,16.56649,16.7961,0.050445102,0.042418774,0.04268593,0.0209,273.8244868,-8.5861801,0.7785714,0.0,16.7916,0.0259,383120237.0,False,True,False,bulk_1.0.0,0.0,8.53356933715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58593.39783560019,839397833715015031,2,839397833715,19.59797,1,839,0.14224592,16.797768,16.608599,16.8048,0.045049854,0.03752052,0.03784652,0.0316,273.8244876,-8.5861645,0.76428574,0.0,16.8051,0.0401,383120237.0,False,True,False,bulk_1.0.0,0.0,8.53356933715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58605.43932869984,851439323715015034,2,851439323715,20.393213,1,851,0.11992657,17.069794,16.832287,17.1224,0.049961954,0.03968076,0.040145498,0.0212,273.8244832,-8.5861597,0.75,0.0,17.1267,0.0262,383120237.0,False,True,False,bulk_1.0.0,0.0,8.54481923715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58607.356932899915,853356933715015036,2,853356933715,20.48386,1,853,0.14025228,17.102135,16.858198,17.1471,0.060063787,0.047570273,0.047977522,0.0201,273.8244867,-8.5861639,0.7,0.0,17.1334,0.0243,383120237.0,False,True,False,bulk_1.0.0,0.0,8.54481923715015e+17,t15_f5_c3,ZTF18abbkkcm
ztf,58608.43895829981,854438953715015013,1,854438953715,20.2635,1,854,0.724024,20.3481,20.162367,20.0447,0.276453,0.23118185,0.2329851,0.2782,273.8245542,-8.5862176,0.304286,,19.7852,0.281,,False,True,False,bulk_1.0.0,0.0,8.54481923715015e+17,t15_f5_c3,ZTF18abbkkcm
