tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58290.39957180014,536399572715015007,1,536399572715,20.718506,1,536,1.8618536,20.414806,20.3096,0.1880322,0.2632,291.728982,10.4861675,0.46,0.0,20.2464,0.3137,540120127.0,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,,,,ZTF18abcodkv
ztf,58292.413044000044,538413042715015021,1,538413042715,20.8702,1,538,1.98776,20.5254,20.3766,0.247843,0.2607,291.7290175,10.4861842,0.423333,,20.4851,0.3624,,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,t8_f5_c3,,,,ZTF18abcodkv
ztf,58301.31747689983,547317472715015014,1,547317472715,19.958868,1,547,1.8398927,19.947311,20.0922,0.2066739,0.4378,291.7289797,10.4861612,0.42666668,0.0,20.0315,0.5297,540120127.0,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,,,,ZTF18abcodkv
ztf,58301.356898100115,547356892715015011,2,547356892715,20.097847,1,547,0.06942877,16.305424,16.4946,0.0845609,0.0164,291.7289686,10.4861767,0.57666665,0.0,16.4978,0.0199,540120227.0,False,True,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,15.548629,0.041242987,0.042116452,ZTF18abcodkv
ztf,58303.33656249987,549336562715015037,2,549336562715,20.739244,1,549,0.1294063,16.506926,16.5482,0.044294745,0.0128,291.7289776,10.4861582,0.6333333,0.0,16.5644,0.0148,540120227.0,False,True,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,15.644322,0.017710757,0.020012945,ZTF18abcodkv
ztf,58304.426620400045,550426622715015018,1,550426622715,20.4427,1,550,1.67793,20.0722,20.0356,0.225433,0.2743,291.7289012,10.4861651,0.353333,,20.0663,0.3593,,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,t8_f5_c3,,,,ZTF18abcodkv
ztf,58305.332638899796,551332632715015007,1,551332632715,20.4678,1,551,1.78864,20.0048,20.2477,0.226973,0.2865,291.728924,10.4861881,0.503333,,20.2174,0.3532,,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,t8_f5_c3,,,,ZTF18abcodkv
ztf,58305.35673609981,551356732715015027,2,551356732715,19.974771,1,551,0.09277469,16.273144,16.4,0.06321117,0.0147,291.7289614,10.4861737,0.71,0.0,16.3984,0.0175,540120227.0,False,True,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,15.532432,0.030827112,0.03195281,ZTF18abcodkv
ztf,58306.33469909988,552334692715015090,1,552334692715,20.819405,1,552,1.8956604,19.831127,19.5826,0.16886094,0.1417,291.7289835,10.4861806,0.4,0.0,19.4393,0.1558,540120127.0,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,,,,ZTF18abcodkv
ztf,58307.353773099836,553353772715015023,1,553353772715,20.765366,1,553,1.8444209,19.6654,19.7176,0.17312218,0.1619,291.7289451,10.4861904,0.50333333,0.0,19.7224,0.2045,540120127.0,False,False,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,,,,ZTF18abcodkv
ztf,58307.37833329989,553378332715015009,2,553378332715,20.943096,1,553,0.1374691,16.48329,16.6033,0.04031203,0.0126,291.7289793,10.4861555,0.62666667,0.0,16.6135,0.0143,540120227.0,False,True,False,bulk_1.0.0,0.0,5.6537490271501504e+17,,15.63358,0.015954912,0.018431077,ZTF18abcodkv
