tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,rbversion,oid
ztf,58291.29319440015,537293192415015000,2,537293192415,20.0359,1,537,0.121545,20.1452,18.784065,19.5924,0.234657,0.06414693,0.0669853,0.2411,272.9054071,-9.9729994,0.43,20.0266,0.4704,False,True,False,bulk_1.0.0,0.0,5.51355772415015e+17,,,,ZTF18abcvvif
ztf,58293.29337960016,539293372415015001,2,539293372415,19.994423,1,539,0.044999335,19.867895,18.69743,19.9552,0.20953314,0.06903509,0.07129617,0.3728,272.9054103,-9.9729547,0.58666664,20.0493,0.5314,False,True,False,bulk_1.0.0,0.0,5.51355772415015e+17,0.0,383120224.0,,ZTF18abcvvif
ztf,58304.35638889996,550356382415015001,2,550356382415,20.391146,1,550,0.27273467,19.35687,18.495394,19.2088,0.15206563,0.06716779,0.06877651,0.1341,272.9053698,-9.973029,0.64,19.2962,0.1925,False,True,False,bulk_1.0.0,0.0,5.51355772415015e+17,0.0,383120224.0,,ZTF18abcvvif
ztf,58305.35577550018,551355772415015002,2,551355772415,19.741026,1,551,0.2064042,19.225168,18.433842,19.0344,0.17080168,0.08121315,0.08240649,0.1529,272.905429,-9.9730227,0.44333333,19.0147,0.1954,False,True,False,bulk_1.0.0,0.0,5.67274572415015e+17,0.0,383120224.0,,ZTF18abcvvif
ztf,58307.357847199775,553357842415015002,2,553357842415,20.460684,1,553,0.21685854,19.144867,18.394356,19.1973,0.097602025,0.047000602,0.048893902,0.1265,272.9053799,-9.9730173,0.7366667,19.1987,0.1693,False,True,False,bulk_1.0.0,0.0,5.67274572415015e+17,0.0,383120224.0,,ZTF18abcvvif
ztf,58321.27457180014,567274572415015003,2,567274572415,20.080473,1,567,0.09804816,18.156034,17.790176,18.1053,0.07718693,0.054562185,0.05510617,0.0668,272.9054196,-9.9729907,0.74,18.0951,0.0865,False,True,False,bulk_1.0.0,0.0,5.84190812415015e+17,0.0,383120224.0,t8_f5_c3,ZTF18abcvvif
ztf,58334.340138900094,580340132415015002,2,580340132415,19.899813,1,580,0.15128736,17.466793,17.257694,17.4818,0.04990691,0.040891726,0.041164353,0.0417,272.9053853,-9.9729978,0.7733333,17.5038,0.0549,False,True,False,bulk_1.0.0,0.0,5.84190812415015e+17,0.0,383120224.0,t8_f5_c3,ZTF18abcvvif
ztf,58336.22890050011,582228902415015003,2,582228902415,20.543484,1,582,0.14342299,17.42862,17.226112,17.4209,0.045029648,0.037084136,0.037367627,0.0235,272.9054245,-9.9730052,0.74666667,17.4343,0.0308,False,True,False,bulk_1.0.0,0.0,5.84190812415015e+17,0.0,383120224.0,t8_f5_c3,ZTF18abcvvif
ztf,58338.17054399988,584170542415015002,1,584170542415,20.4946,1,584,7.95973,20.6721,,20.6741,0.299262,,,0.4526,272.9054242,-9.9729536,0.503333,20.2024,0.3814,False,False,False,bulk_1.0.0,0.0,5.84190812415015e+17,,,t12_f5_c3,ZTF18abcvvif
ztf,58338.19081019983,584190812415015003,2,584190812415,20.728611,1,584,0.19261159,17.306145,17.123526,17.3824,0.058086276,0.04891544,0.04909371,0.0209,272.9053844,-9.9730082,0.7966667,17.2614,0.0244,False,True,False,bulk_1.0.0,0.0,5.94197092415015e+17,0.0,383120224.0,t8_f5_c3,ZTF18abcvvif
ztf,58345.3225579001,591322552415015000,2,591322552415,19.929672,1,591,0.17889003,17.134212,16.976494,17.073,0.051800568,0.044647805,0.0447968,0.0274,272.9053835,-9.9730051,0.89666665,17.08,0.0353,False,True,False,bulk_1.0.0,0.0,5.94197092415015e+17,0.0,383120224.0,t8_f5_c3,ZTF18abcvvif
ztf,58347.19090279983,593190902415015001,1,593190902415,20.2254,1,593,7.98694,20.6693,,20.8439,0.339307,,,0.6608,272.905331,-9.9729925,0.57,21.2204,1.2061,False,False,False,bulk_1.0.0,0.0,5.94197092415015e+17,,,t12_f5_c3,ZTF18abcvvif
