tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,oid
ztf,58299.42864579987,545428644015015002,2,545428644015,20.118727,1,545,0.20950887,17.499693,16.84583,17.516,0.053188115,0.028323662,0.029125275,0.0365,333.6209573,56.4686279,0.77666664,0.0,17.4918,0.0451,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58300.43288190011,546432884015015007,2,546432884015,20.392653,1,546,0.10404044,17.455608,16.82147,17.4416,0.043505836,0.023334956,0.024260072,0.0281,333.6209989,56.4686442,0.77,0.0,17.3969,0.0336,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58301.450555600226,547450554015015010,2,547450554015,20.345846,1,547,0.053254902,17.423986,16.803722,17.4576,0.05280831,0.029102977,0.02982613,0.03,333.6210297,56.4686548,0.7866667,0.0,17.4498,0.0373,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58303.36019679997,549360194015015011,2,549360194015,20.317793,1,549,0.06341892,17.361979,16.768267,17.3544,0.0548131,0.031089326,0.03172486,0.0273,333.6210409,56.4686533,0.75333333,0.0,17.3563,0.0341,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58304.40012730006,550400124015015007,2,550400124015,20.700998,1,550,0.022778464,17.35424,16.76378,17.3457,0.053589642,0.030466834,0.031109804,0.0211,333.6210277,56.4686643,0.7733333,0.0,17.3337,0.0255,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58305.40462959977,551404624015015004,2,551404624015,19.834806,1,551,0.11539501,17.306278,16.735682,17.2903,0.047841758,0.027613243,0.02828579,0.0344,333.6210157,56.468636,0.75666666,0.0,17.2355,0.0413,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58305.45488430001,551454884015015021,1,551454884015,20.3516,1,551,0.693184,20.5605,20.318295,20.0107,0.257986,0.20253055,0.20640214,0.2747,333.6209559,56.4687528,0.18,,19.8306,0.2992,,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,t8_f5_c3,ZTF18abdifey
ztf,58306.40196759999,552401964015015003,2,552401964015,19.88053,1,552,0.074605405,17.090834,16.603207,17.2829,0.062344145,0.03941544,0.039787322,0.0331,333.620995,56.4686844,0.6333333,0.0,17.2764,0.0414,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58307.411597200204,553411594015015027,2,553411594015,20.92109,1,553,0.12012605,17.185452,16.66263,17.1779,0.03915798,0.023504172,0.024193129,0.0164,333.6210489,56.4686411,0.67333335,0.0,17.1459,0.0189,803120240.0,False,True,False,bulk_1.0.0,0.0,5.6743109401501504e+17,,ZTF18abdifey
ztf,58312.42862269981,558428624015015023,2,558428624015,20.844397,1,558,0.1270439,17.079689,16.59608,17.1052,0.053235546,0.03367137,0.034100316,0.0163,333.6210404,56.4686364,0.68333334,0.0,17.0763,0.019,803120240.0,False,True,False,bulk_1.0.0,0.0,5.88342024015015e+17,,ZTF18abdifey
ztf,58312.46459490014,558464594015015006,1,558464594015,20.9166,1,558,0.776075,20.7013,20.429443,20.7722,0.302177,0.2310777,0.23524423,0.3527,333.6209039,56.4686697,0.326667,,20.7343,0.4392,,False,True,False,bulk_1.0.0,0.0,5.88342024015015e+17,t8_f5_c3,ZTF18abdifey
ztf,58316.40715279989,562407154015015005,1,562407154015,20.6444,1,562,0.527379,20.3239,20.125057,20.2711,0.238163,0.19549035,0.19830665,0.2542,333.6210448,56.4686422,0.316667,,20.0881,0.2782,,False,True,False,bulk_1.0.0,0.0,5.88342024015015e+17,t8_f5_c3,ZTF18abdifey
ztf,58316.447129600216,562447124015015050,2,562447124015,21.071882,1,562,0.0848839,17.058325,16.582348,17.0864,0.044637162,0.02829778,0.02879424,0.0139,333.6209829,56.4686587,0.6433333,0.0,17.0807,0.0161,803120240.0,False,True,False,bulk_1.0.0,0.0,5.82345944015015e+17,,ZTF18abdifey
ztf,58318.361851899885,564361854015015010,2,564361854015,20.833612,1,564,0.08849973,17.029713,16.563805,17.0622,0.039429966,0.025133042,0.025672201,0.0152,333.621047,56.4686449,0.75666666,0.0,17.0726,0.0184,803120240.0,False,True,False,bulk_1.0.0,0.0,5.82345944015015e+17,t8_f5_c3,ZTF18abdifey
ztf,58318.42759260023,564427594015015001,1,564427594015,20.5436,1,564,0.853115,20.4684,20.243996,20.9759,0.252948,0.20233308,0.20571676,0.4812,333.6208745,56.4686387,0.38,,20.8431,0.5505,,False,True,False,bulk_1.0.0,0.0,5.82345944015015e+17,t8_f5_c3,ZTF18abdifey
