tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58311.18918980006,557189185615015005,2,557189185615,20.5646,1,557,0.26573,18.8981,18.19385,18.7747,0.082704,0.036052503,0.04323408,0.0884,240.491408,29.4149084,0.733333,t8_f5_c3,18.8457,0.1192,False,True,False,bulk_1.0.0,0.0,5.76295655615015e+17,,,ZTF18abfzixe
ztf,58324.16951389983,570169515615015010,2,570169515615,19.620945,1,570,0.26362434,18.92227,18.206417,18.6992,0.12378095,0.05929389,0.06401956,0.1599,240.4913804,29.4148779,0.68333334,t8_f5_c3,18.6092,0.1885,False,True,False,bulk_1.0.0,0.0,5.92182085615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58327.27494210005,573274945615015009,2,573274945615,19.395514,1,573,0.41351536,18.777966,18.129393,18.8725,0.13840465,0.0727637,0.07615911,0.2374,240.4914589,29.4149106,0.7,t8_f5_c3,19.1675,0.3989,False,True,False,bulk_1.0.0,0.0,5.92182085615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58330.29565969994,576295655615015004,2,576295655615,19.726364,1,576,0.23009919,18.954348,18.222889,18.8042,0.115080245,0.053305708,0.05867018,0.1838,240.4914034,29.4149329,0.72,t8_f5_c3,18.8462,0.2447,False,True,False,bulk_1.0.0,0.0,5.92182085615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58333.16488429997,579164885615015013,2,579164885615,20.36472,1,579,0.2615656,18.898788,18.194208,18.9681,0.11260556,0.053788923,0.058847506,0.114,240.4914102,29.4149202,0.7633333,t8_f5_c3,18.98,0.1465,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58336.20689810021,582206895615015031,2,582206895615,20.5578,1,582,0.29410022,18.90584,18.19789,18.8921,0.10982487,0.05196205,0.057216343,0.0916,240.491423,29.4149402,0.78333336,t8_f5_c3,19.0436,0.1329,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58336.23613430001,582236135615015002,1,582236135615,20.516613,1,582,0.1226328,19.556831,18.58958,19.6369,0.18557861,0.07345543,0.07614261,0.1534,240.4913917,29.4149489,0.68333334,t8_f5_c3,19.6245,0.1926,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120156.0,ZTF18abfzixe
ztf,58340.18481480004,586184815615015009,2,586184815615,20.049534,1,586,0.28980967,18.897898,18.193743,18.8592,0.09918613,0.04603946,0.05185483,0.131,240.491409,29.4148956,0.81333333,t8_f5_c3,18.83,0.1625,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58343.16289350018,589162895615015034,2,589162895615,20.370611,1,589,0.26696935,18.999353,18.245602,18.8953,0.08857618,0.03648054,0.044240087,0.1019,240.491412,29.4149147,0.83,t8_f5_c3,18.9941,0.1414,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120256.0,ZTF18abfzixe
ztf,58343.17222219985,589172225615015005,1,589172225615,20.638882,1,589,0.26626638,19.780363,18.675806,19.8991,0.16507794,0.055597793,0.0596851,0.193,240.4914017,29.4149922,0.83,t8_f5_c3,19.9945,0.2672,False,True,False,bulk_1.0.0,0.0,6.08153885615015e+17,0.0,632120156.0,ZTF18abfzixe
