tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion,drb,rfid,oid
ztf,58293.31671300018,539316713615015015,2,539316713615,20.3158,1,539,0.246862,20.3584,19.68084,20.5723,0.350437,0.18625379,0.18775254,0.4913,290.3376163,20.5040141,0.45,20.3132,0.4971,False,True,False,bulk_1.0.0,0.0,5.6233856361501504e+17,,,,ZTF18abhnuev
ztf,58305.37758099986,551377583615015014,2,551377583615,20.1281,1,551,0.587019,20.2872,19.642115,20.4632,0.300011,0.16403271,0.16561608,0.4489,290.337496,20.5039876,0.473333,20.1279,0.4233,False,True,False,bulk_1.0.0,0.0,5.6233856361501504e+17,,,,ZTF18abhnuev
ztf,58307.37973379996,553379733615015015,2,553379733615,20.7308,1,553,0.380225,20.3046,19.651684,20.3874,0.228364,0.12301828,0.12515883,0.302,290.3375584,20.5039861,0.553333,20.3445,0.3711,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58311.379687500186,557379683615015025,2,557379683615,20.7414,1,557,0.174295,20.2327,19.61169,20.1032,0.269529,0.15049456,0.15212533,0.2275,290.3376218,20.5039513,0.513333,20.304,0.3489,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58313.38325229986,559383253615015022,2,559383253615,20.8677,1,559,0.477481,20.2925,19.645037,20.4155,0.264551,0.14390977,0.14572163,0.2669,290.3375323,20.503999,0.49,20.3853,0.3314,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58314.41583329998,560415833615015022,2,560415833615,20.7224,1,560,0.445522,20.3866,19.695858,20.2022,0.359044,0.18852015,0.1900424,0.2496,290.3375684,20.5040462,0.446667,20.175,0.3114,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58316.3385648001,562338563615015017,2,562338563615,20.701054,1,562,0.466782,20.320618,19.660435,20.4084,0.18562782,0.09835039,0.101057746,0.3032,290.3375724,20.5040591,0.56333333,20.3876,0.3807,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,,0.0,590120236.0,ZTF18abhnuev
ztf,58318.33903940022,564339033615015016,2,564339033615,20.986746,1,564,0.4132855,20.203608,19.595175,20.1348,0.18955074,0.10599651,0.108231135,0.1846,290.3375696,20.5040333,0.49333334,20.245,0.2604,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,0.0,590120236.0,ZTF18abhnuev
ztf,58321.3493170999,567349313615015015,2,567349313615,20.636,1,567,0.486412,20.1841,19.583992,19.9606,0.231623,0.13150084,0.13327202,0.2147,290.3375274,20.5039939,0.45,20.1979,0.3415,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58323.270671300124,569270673615015010,2,569270673615,20.0683,1,569,0.640868,20.0888,19.528143,19.4807,0.314953,0.18679494,0.18792407,0.2466,290.3375786,20.5041251,0.33,19.1549,0.2345,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
ztf,58329.31525459979,575315253615015013,2,575315253615,19.8466,1,575,0.181419,19.7938,19.342672,19.4051,0.249597,0.16382083,0.16473593,0.2633,290.3376477,20.503919,0.373333,19.1323,0.2631,False,True,False,bulk_1.0.0,0.0,5.82225253615015e+17,t8_f5_c3,,,ZTF18abhnuev
