tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58310.352511600126,556352515215015015,1,556352515215,20.7478,1,556,0.622033,16.458,14.908913,16.6286,0.060575,0.0066793673,0.014543145,0.0157,279.3011301,15.1830118,0.496667,t8_f5_c3,16.546,0.0161,False,True,False,bulk_1.0.0,0.0,5.6527564521501504e+17,,,ZTF18abhoyfg
ztf,58316.356805600226,562356805215015008,1,562356805215,20.643133,1,562,0.18655899,16.860182,14.992761,16.7573,0.065086864,100.0,0.011655335,0.0173,279.3011139,15.1831548,0.69666666,,16.7421,0.0187,False,True,False,bulk_1.0.0,0.0,5.6527564521501504e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58319.275648099836,565275645215015009,2,565275645215,20.258345,1,565,0.3806261,15.272337,13.14504,15.258,0.013455712,100.0,0.0018966516,0.0088,279.3011708,15.1830818,0.57666665,t8_f5_c3,15.2409,0.0092,False,True,False,bulk_1.0.0,0.0,5.65358465215015e+17,0.0,538120252.0,ZTF18abhoyfg
ztf,58319.275648099836,565275645215015010,2,565275645215,20.258345,1,565,0.80733573,15.443365,13.167576,15.5614,0.06523271,100.0,0.008019545,0.01,279.3012286,15.1829714,0.44,t8_f5_c3,15.4096,0.0098,False,True,False,bulk_1.0.0,0.0,5.65358465215015e+17,0.0,538120252.0,ZTF18abhoyfg
ztf,58319.35846060002,565358465215015005,1,565358465215,20.323975,1,565,0.17564103,16.768293,14.975723,16.8619,0.091959365,0.011069034,0.017642822,0.0193,279.3011573,15.183233,0.78,t8_f5_c3,16.8416,0.0213,False,True,False,bulk_1.0.0,0.0,5.9521461521501e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58322.21122690011,568211225215015015,1,568211225215,19.839394,1,568,0.03233957,17.107628,15.033126,17.1628,0.08596559,100.0,0.012721077,0.0358,279.3011622,15.1831865,0.62666667,t8_f5_c3,17.1185,0.0418,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58322.27289350005,568272895215015010,2,568272895215,20.147322,1,568,0.31688043,15.539428,13.178937,15.7802,0.017142767,100.0,0.0019493274,0.0132,279.301085,15.1832387,0.41666666,t8_f5_c3,15.6569,0.0132,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120252.0,ZTF18abhoyfg
ztf,58322.27289350005,568272895215015011,2,568272895215,20.147322,1,568,0.28274295,15.542618,13.179299,15.4713,0.07932909,100.0,0.008997155,0.0109,279.3010854,15.1832199,0.40333334,t8_f5_c3,15.4548,0.0116,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120252.0,ZTF18abhoyfg
ztf,58340.17414350016,586174145215010008,2,586174145215,20.127533,-1,586,0.25195754,15.388067,13.483255,15.5331,0.0996955,100.0,0.017248478,0.0114,279.3011535,15.1831187,0.33666667,t8_f5_c3,15.5372,0.0122,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120252.0,ZTF18abhoyfg
ztf,58340.31692129979,586316925215010003,1,586316925215,20.319767,-1,586,0.27210328,17.379347,15.364743,17.4535,0.090555854,100.0,0.014160391,0.0417,279.3012303,15.1832091,0.44333333,t8_f5_c3,17.4559,0.0479,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58343.3228356,589322835215010003,2,589322835215,20.5428,-1,589,0.271857,15.0456,13.555252,15.1642,0.048433,100.0,0.012274454,0.0072,279.3012329,15.1831641,0.546667,t12_f5_c3,15.1538,0.0075,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,,,ZTF18abhoyfg
ztf,58346.33269680012,592332695215010004,1,592332695215,20.76119,-1,592,0.2542973,16.684816,15.528613,16.8019,0.06617759,100.0,0.022815477,0.0165,279.3012263,15.1831775,0.63666666,t8_f5_c3,16.7832,0.0183,False,True,False,bulk_1.0.0,0.0,5.9818876521501e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58349.21461809985,595214615215010002,1,595214615215,20.201235,-1,595,0.22291723,16.720552,15.516561,16.7808,0.056815248,100.0,0.018744245,0.0205,279.3012008,15.1831421,0.67333335,t8_f5_c3,16.7564,0.0241,False,True,False,bulk_1.0.0,0.0,6.25166465215015e+17,0.0,538120152.0,ZTF18abhoyfg
ztf,58352.18876159983,598188765215010001,1,598188765215,19.781065,-1,598,0.06745648,16.8838,15.467672,16.9464,0.07520458,100.0,0.02040766,0.0348,279.3011576,15.1831676,0.70666665,t8_f5_c3,16.9188,0.0422,False,True,False,bulk_1.0.0,0.0,6.25166465215015e+17,0.0,538120152.0,ZTF18abhoyfg
