tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58321.34699069988,567346991415015024,2,567346991415,20.147196,1,567,0.27075303,18.05612,17.456429,18.0206,0.08010436,0.045063294,0.04610835,0.0658,277.8605473,0.9720161,0.69666666,t8_f5_c3,0.0,17.9292,0.0767,487120214.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abjanob
ztf,58605.44069440011,851440691415015017,2,851440691415,20.34241,1,851,0.37234768,19.978304,18.161417,19.8692,0.20096776,0.03274684,0.03770262,0.2682,277.8604803,0.9719067,0.84,t15_f5_c3,0.0,19.7887,0.317,487120214.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abjanob
ztf,59731.42141199997,1977421411415015023,2,1977421411415,20.297659,1,1977,0.429174,19.51224,18.057364,19.2758,0.14979993,0.03536033,0.03922484,0.1452,277.8605774,0.9720687,0.95428574,t17_f5_c3,0.9999887,19.2394,0.1782,487120214.0,True,True,False,1.1.2,0.0,,ZTF18abjanob
ztf,60903.168877299875,3149168875315015012,2,3149168875315,20.721191,1,3149,0.5126442,19.954641,18.20202,19.9577,0.18854702,0.03581501,0.037529383,0.2133,277.8605972,0.9719179,0.8542857,t17_f5_c3,0.9996431,20.4524,0.4265,435120253.0,True,True,False,27.5.6,0.0,,ZTF18abjanob
ztf,60951.150914399885,3197150910315015022,2,3197150910315,19.7242,1,3197,0.694676,19.701,18.113708,19.7115,0.247529,0.055485502,0.057373226,0.3883,277.860494,0.9718495,0.888571,t17_f5_c3,,19.6681,0.4782,,False,True,False,27.5.7a32.dev1,0.0,3.218151285315015e+18,ZTF18abjanob
ztf,60967.12537040003,3213125375315015005,2,3213125375315,19.6317,1,3213,0.383452,19.4615,18.084385,19.5787,0.229548,0.06378072,0.06456952,0.2611,277.8606036,0.9720524,0.794286,t17_f5_c3,,19.2039,0.237,,False,True,False,27.5.7a32.dev1,0.0,3.229096155315015e+18,ZTF18abjanob
ztf,60972.151284699794,3218151285315015008,2,3218151285315,19.645145,1,3218,0.33868548,19.610506,18.124273,19.4469,0.21021613,0.05244911,0.053477764,0.2827,277.8604525,0.9719397,0.93142855,t17_f5_c3,0.9999034,19.5714,0.4065,435120253.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18abjanob
ztf,60978.12863430008,3224128635315015004,2,3224128635315,19.8903,1,3224,0.602076,19.8187,18.17357,19.3222,0.279826,0.060516566,0.06149451,0.2455,277.8605023,0.971853,0.692857,t17_f5_c3,,19.2723,0.3004,,False,True,False,27.5.7a32.dev1,0.0,3.229096155315015e+18,ZTF18abjanob
ztf,60983.09615739994,3229096155315015002,2,3229096155315,19.870197,1,3229,0.35622156,19.54523,18.107292,19.9357,0.19520554,0.05089065,0.051917862,0.4578,277.8605866,0.9719719,0.9014286,t17_f5_c3,0.99997115,19.8909,0.5634,435120253.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18abjanob
ztf,61100.527708299924,3346527701415015022,3,3346527701415,19.100054,1,3346,0.15883505,18.449223,16.328033,18.3346,0.15535443,0.017866608,0.022021556,0.1898,277.860524,0.9720301,0.82857144,t17_f5_c3,0.99993634,18.0932,0.1933,487120314.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18abjanob
