tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58322.354884299915,568354883715015002,2,568354883715,20.4213,1,568,0.363966,14.8595,13.003298,14.8414,0.009439,100.0,0.0017078323,0.0063,295.505984,6.2604996,0.493333,t8_f5_c3,14.8309,0.0065,False,True,False,bulk_1.0.0,0.0,5.68426343715015e+17,,,ZTF18abjfhcs
ztf,58322.354884299915,568354883715015003,2,568354883715,20.421307,1,568,0.77020514,14.901206,13.010726,15.0691,0.13552405,0.020764817,0.023758782,0.0068,295.5059702,6.2603846,0.4,t8_f5_c3,15.0314,0.007,False,True,False,bulk_1.0.0,0.0,5.68426343715015e+17,0.0,489120237.0,ZTF18abjfhcs
ztf,58322.426342600025,568426343715015003,1,568426343715,20.473331,1,568,0.674321,16.907255,15.023328,17.0546,0.08193839,100.0,0.014451624,0.0244,295.5058827,6.2604473,0.58,t8_f5_c3,17.0359,0.0273,True,True,False,bulk_1.0.0,0.0,0.0,0.0,489120137.0,ZTF18abjfhcs
ztf,58357.2084144,603208413715015005,2,603208413715,19.3786,1,603,0.351668,13.7804,12.7118635,13.7644,0.027236,0.0051725293,0.01017955,0.0032,295.5060373,6.2604952,0.736667,t12_f5_c3,13.7416,0.0034,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58357.27145829983,603271453715015003,2,603271453715,19.5069,1,603,0.487846,13.7521,12.7012,13.7573,0.030199,0.0074986503,0.011471823,0.0031,295.5060318,6.260456,0.73,t12_f5_c3,13.7248,0.0033,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58360.250717599876,606250713715015004,2,606250713715,20.4112,1,606,0.315798,13.8074,12.721876,13.8355,0.056212,0.018694904,0.02068329,0.0029,295.506031,6.2605045,0.653333,t12_f5_c3,13.8178,0.003,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58363.18947920017,609189473715015003,1,609189473715,20.5623,1,609,0.262301,16.0656,14.81948,16.2134,0.058414,0.0072400807,0.018538263,0.0117,295.5060277,6.2605036,0.79,t12_f5_c3,16.1781,0.0125,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58366.18062500004,612180623715015002,2,612180623715,20.9014,1,612,0.354752,14.0415,12.802264,14.0961,0.043816,0.010248551,0.01399389,0.0034,295.5060312,6.2604927,0.71,t12_f5_c3,14.0776,0.0034,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58369.20803239988,615208033715015006,2,615208033715,20.7391,1,615,0.250056,14.1144,12.82502,14.0679,0.034677,0.00414154,0.010575217,0.0034,295.5060102,6.2605222,0.71,t12_f5_c3,14.0539,0.0035,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
ztf,58384.168553200085,630168553715015000,2,630168553715,20.0411,1,630,0.165009,13.7315,12.693328,13.7047,0.055924,0.019690868,0.021494608,0.0029,295.5060207,6.2605447,0.703333,t12_f5_c3,13.6937,0.003,False,True,False,bulk_1.0.0,0.0,6.30270503715015e+17,,,ZTF18abjfhcs
