tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58607.4821295999,853482125215010051,2,853482125215,19.953066,-1,853,0.16887875,17.754246,18.813717,18.3136,0.06763203,100.0,0.17944883,0.1218,273.6281425,-21.1790361,0.27571428,t15_f5_c3,0.0,18.1456,0.1368,282120252.0,False,True,False,bulk_1.0.0,0.0,8.5448055521501e+17,ZTF18abkitdn
ztf,58608.48055560002,854480555215010063,2,854480555215,19.748362,-1,854,0.09139584,17.615387,19.301659,17.4991,0.07072868,100.0,0.33427554,0.0613,273.628098,-21.178982,0.40428573,t15_f5_c3,0.0,17.8057,0.1056,282120252.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abkitdn
ztf,58709.25287039997,955252875215015063,2,955252875215,19.08227,1,955,0.15860865,16.701305,16.245224,16.5286,0.06737151,0.038036447,0.044263307,0.0436,273.6281294,-21.1790372,0.55714285,t17_f5_c3,0.99484843,16.7157,0.0658,282120252.0,False,True,False,bulk_1.0.0,0.0,9.58231075215015e+17,ZTF18abkitdn
ztf,58712.231076399796,958231075215015076,2,958231075215,19.439636,1,958,0.25554672,16.654861,16.214487,16.6316,0.05022273,0.025228392,0.03347733,0.0371,273.6280898,-21.1790534,0.62142855,t17_f5_c3,0.98464394,16.754,0.0522,282120252.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abkitdn
ztf,58993.39328699978,1239393285215010097,2,1239393285215,19.701033,-1,1239,0.11385547,17.545563,19.710735,17.6251,0.07828336,0.16519712,0.5750938,0.0698,273.6281393,-21.1789626,0.7242857,t17_f5_c3,0.0642395,17.8251,0.1079,282120252.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abkitdn
ztf,59344.41840279987,1590418405215010174,2,1590418405215,19.9225,-1,1590,0.080179,17.8634,18.568165,17.3775,0.101074,0.020841982,0.1934396,0.0526,273.6281024,-21.1789785,0.438571,t17_f5_c3,,17.169,0.0565,,False,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59346.41799770016,1592417995215010110,2,1592417995215,19.767239,-1,1592,0.074377105,17.906076,18.490889,18.5081,0.12358881,0.11303675,0.21178925,0.1555,273.6281258,-21.1789676,0.4857143,t17_f5_c3,0.16179407,18.2722,0.1607,282120252.0,True,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59348.41820599977,1594418205215010207,2,1594418205215,20.0544,-1,1594,0.101527,17.7247,18.896242,17.1606,0.0719,100.0,0.21151717,0.0411,273.6281105,-21.178966,0.557143,t17_f5_c3,,16.9174,0.0438,,False,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59359.3776273001,1605377625215010075,2,1605377625215,18.796326,-1,1605,0.20296302,17.724821,18.89589,18.407,0.111834496,0.20125988,0.32885396,0.2641,273.6280646,-21.1789914,0.46714285,t17_f5_c3,0.11864454,17.8217,0.1974,282120252.0,True,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59366.376365699805,1612376365215010100,2,1612376365215,19.4683,-1,1612,0.111777,17.6922,18.997917,17.2068,0.075058,100.0,0.2498525,0.056,273.6281286,-21.1789576,0.574286,t17_f5_c3,,17.1606,0.0692,,False,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59369.41925929999,1615419255215010081,2,1615419255215,19.69213,-1,1615,0.10395994,17.843428,18.607443,18.1104,0.13276027,0.17956337,0.2683331,0.1173,273.628117,-21.179017,0.49,t17_f5_c3,0.10341311,18.0711,0.1477,282120252.0,True,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59382.3349768999,1628334975215010074,2,1628334975215,19.502073,-1,1628,0.07630169,18.099068,18.223654,17.7553,0.18300587,0.15007901,0.20525764,0.0961,273.628115,-21.1789707,0.4242857,t17_f5_c3,0.5365022,17.2502,0.0774,282120252.0,True,True,False,correction_0.0.1,0.0,,ZTF18abkitdn
ztf,59419.29379629996,1665293795215015049,2,1665293795215,18.016575,1,1665,0.08119844,17.061043,16.467724,16.9917,0.074440695,0.032948,0.043100588,0.1555,273.6281339,-21.1790102,0.5957143,t17_f5_c3,0.00762275,16.6128,0.1412,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59429.237418999895,1675237415215015068,2,1675237415215,19.826336,1,1675,0.13636672,17.06892,16.472279,17.0305,0.0819074,0.038166635,0.04727881,0.0424,273.6281534,-21.1790089,0.7057143,t17_f5_c3,0.83452845,17.4432,0.08,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59440.21062499983,1686210625215015081,2,1686210625215,19.24989,1,1686,0.25946772,17.227314,16.56087,16.9842,0.059221655,0.010533162,0.032055493,0.0534,273.6281305,-21.1790658,0.45857143,t17_f5_c3,0.987648,17.4882,0.1069,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59709.41784719983,1955417845215010109,2,1955417845215,19.679579,-1,1955,0.14668296,17.827377,18.640627,17.8887,0.10380194,0.07700712,0.21953574,0.0916,273.6281304,-21.1789479,0.5871429,t17_f5_c3,0.15802568,17.7899,0.1089,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59713.39663190022,1959396635215010099,2,1959396635215,19.159042,-1,1959,0.19432634,17.86091,18.572945,17.7641,0.09375373,100.0,0.18063505,0.1176,273.6280679,-21.1789792,0.58285713,t17_f5_c3,0.2571209,17.3722,0.1052,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59719.41843750002,1965418435215010071,2,1965418435215,19.04615,-1,1965,0.23274462,18.144024,18.175352,18.5896,0.15939873,0.09476026,0.16406494,0.2438,273.6280674,-21.1790283,0.42714286,t17_f5_c3,0.89873344,18.9731,0.4383,282120252.0,True,True,False,correction_1.0.6,0.0,,ZTF18abkitdn
ztf,59730.41737269983,1976417375215010081,2,1976417375215,20.068472,-1,1976,0.10344639,17.847504,18.59925,18.2367,0.11698702,0.124484055,0.23379576,0.1068,273.6280951,-21.1789895,0.48142856,t17_f5_c3,0.18761241,17.7326,0.0874,282120252.0,True,True,False,1.1.2,0.0,,ZTF18abkitdn
ztf,59734.44172450015,1980441725215010090,2,1980441725215,19.445936,-1,1980,0.37663493,17.734753,18.8672,17.3836,0.07311272,100.0,0.20747805,0.0725,273.6281512,-21.1788853,0.50714284,t17_f5_c3,0.06081131,16.7723,0.0537,282120252.0,True,True,False,1.1.2,0.0,,ZTF18abkitdn
ztf,59737.43922450021,1983439225215010117,2,1983439225215,19.935944,-1,1983,0.17598009,18.023844,18.314732,18.2746,0.11203978,100.0,0.14646271,0.1155,273.6281038,-21.1789435,0.4942857,t17_f5_c3,0.23716784,18.0134,0.1188,282120252.0,True,True,False,1.1.2,0.0,,ZTF18abkitdn
ztf,59779.314976899885,2025314975215015069,2,2025314975215,19.598646,1,2025,0.24501522,17.08725,16.48282,17.2971,0.063158,0.02272149,0.036195695,0.0601,273.6281033,-21.1790589,0.7942857,t17_f5_c3,0.9888896,17.4052,0.0846,282120252.0,True,True,False,dev,0.0,,ZTF18abkitdn
ztf,59787.294178199954,2033294175215015068,2,2033294175215,19.969,1,2033,0.154498,16.942,16.397219,16.4816,0.045828,0.009583991,0.027747164,0.0267,273.6281228,-21.1790324,0.492857,t17_f5_c3,,17.0464,0.056,,False,True,False,dev,0.0,2.0352514552150152e+18,ZTF18abkitdn
ztf,59789.25145829981,2035251455215015065,2,2035251455215,19.697718,1,2035,0.09806126,16.802385,16.310564,17.0062,0.048648983,0.01945499,0.030927524,0.0436,273.6281383,-21.1790148,0.69857144,t17_f5_c3,0.65911645,17.0926,0.0598,282120252.0,True,True,False,dev,0.0,,ZTF18abkitdn
