tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58332.29160880018,578291606015015173,2,578291606015,19.88075,1,578,0.15862344,18.71471,16.928265,18.3533,0.17075379,0.026649762,0.032945186,0.1038,289.222608,14.6668955,0.49,t8_f5_c3,0.0,18.3553,0.1311,540120260.0,False,True,False,bulk_1.0.0,0.0,6.03271906015015e+17,ZTF18abldhrg
ztf,58351.2280323999,597228036015015025,2,597228036015,20.054937,1,597,0.39423773,19.015171,16.980124,19.0119,0.15673113,0.0128715215,0.02405119,0.156,289.2225144,14.666973,0.68,t8_f5_c3,0.0,18.914,0.1801,540120260.0,False,True,False,bulk_1.0.0,0.0,6.13190636015015e+17,ZTF18abldhrg
ztf,58354.2535184999,600253516015015026,2,600253516015,20.101465,1,600,0.16019881,18.951012,16.97003,18.8759,0.14053993,0.010423263,0.022667661,0.1381,289.2225762,14.6669523,0.7266667,t8_f5_c3,0.0,19.2357,0.2424,540120260.0,False,True,False,bulk_1.0.0,0.0,6.02191016015015e+17,ZTF18abldhrg
ztf,58354.369085600134,600369086015015041,2,600369086015,19.353659,1,600,0.42666465,18.84264,16.951801,18.5364,0.1360685,0.013298472,0.023846367,0.1871,289.2225238,14.6670138,0.6433333,t8_f5_c3,0.0,18.6512,0.2655,540120260.0,False,True,False,bulk_1.0.0,0.0,6.02191016015015e+17,ZTF18abldhrg
ztf,58355.27107639983,601271076015015066,2,601271076015,19.9144,1,601,0.179253,19.0958,16.992115,19.159,0.254957,0.030445285,0.03672762,0.2048,289.2226535,14.6669779,0.58,t12_f5_c3,,19.4988,0.355,,False,True,False,bulk_1.0.0,0.0,6.02191016015015e+17,ZTF18abldhrg
ztf,58356.1910184999,602191016015015029,2,602191016015,19.919903,1,602,0.15392685,18.753046,16.935556,18.3888,0.13073128,0.014852696,0.024512272,0.1024,289.2226527,14.6669092,0.5966667,t8_f5_c3,0.0,18.1565,0.1049,540120260.0,False,True,False,bulk_1.0.0,0.0,6.07231796015015e+17,ZTF18abldhrg
ztf,58356.28844910022,602288446015015020,2,602288446015,19.954374,1,602,0.2957711,19.088251,16.991024,19.4598,0.15007377,0.007197813,0.021747734,0.2632,289.2225478,14.6668944,0.6933333,t8_f5_c3,0.0,19.5628,0.3672,540120260.0,False,True,False,bulk_1.0.0,0.0,6.07231796015015e+17,ZTF18abldhrg
ztf,58357.271909699775,603271906015015028,2,603271906015,19.639511,1,603,0.24491017,18.69268,16.923979,18.8512,0.12536347,0.015239846,0.024586143,0.1809,289.2225679,14.6669837,0.77,t8_f5_c3,0.0,19.0797,0.2839,540120260.0,False,True,False,bulk_1.0.0,0.0,6.07231796015015e+17,ZTF18abldhrg
ztf,58358.25006939983,604250066015015038,2,604250066015,19.827925,1,604,0.23879442,18.803001,16.94475,19.0053,0.16479114,0.022336405,0.029760009,0.1793,289.2225598,14.6669707,0.69,t8_f5_c3,0.0,19.0123,0.2292,540120260.0,False,True,False,bulk_1.0.0,0.0,6.13190636015015e+17,ZTF18abldhrg
ztf,58361.23179400014,607231796015015021,2,607231796015,20.649044,1,607,0.31287315,19.193579,17.005669,19.292,0.15237133,100.0,0.020311378,0.131,289.2225421,14.6669849,0.6533333,t8_f5_c3,0.0,19.1683,0.1445,540120260.0,False,True,False,bulk_1.0.0,0.0,6.13190636015015e+17,ZTF18abldhrg
