tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58336.22844910016,582228445715015008,2,582228445715,20.315817,1,582,2.1325552,18.540688,18.5483,0.10011665,0.0862,275.1592784,-13.5465964,0.47666666,t8_f5_c3,0.0,18.6496,0.1144,333120257.0,False,False,False,bulk_1.0.0,0.0,5.83325945715015e+17,,,,ZTF18ablqvai
ztf,58336.22890050011,582228900715015049,2,582228900715,20.4398,1,582,3.66388,18.5878,18.7733,0.087992,0.0814,275.1593139,-13.5470878,0.146667,t8_f5_c3,,18.095,0.0584,,False,False,False,bulk_1.0.0,0.0,5.91322550715015e+17,,,,ZTF18ablqvai
ztf,58337.325949099846,583325945715015008,2,583325945715,20.17858,1,583,2.103509,18.433325,18.5227,0.112219326,0.096,275.1592541,-13.5466031,0.5833333,t8_f5_c3,0.0,18.6219,0.1286,333120257.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF18ablqvai
ztf,58345.3225579001,591322550715015063,2,591322550715,19.670206,1,591,2.9643278,18.444513,18.5235,0.07557322,0.1343,275.1593671,-13.5468432,0.27,t8_f5_c3,0.0,18.3744,0.1465,383120207.0,False,False,False,bulk_1.0.0,0.0,6.17122520715015e+17,,,,ZTF18ablqvai
ztf,58348.19709490007,594197090715015107,2,594197090715,19.8165,1,594,2.57077,18.2211,18.1279,0.061451,0.0865,275.1593794,-13.5466996,0.22,t12_f5_c3,,18.1049,0.1054,,False,False,False,bulk_1.0.0,0.0,6.17122520715015e+17,,,,ZTF18ablqvai
ztf,58365.146562499925,611146560715015089,2,611146560715,20.1165,1,611,2.95757,17.9373,17.7984,0.050489,0.0506,275.15934,-13.5468563,0.293333,t12_f5_c3,,17.6378,0.0539,,False,False,False,bulk_1.0.0,0.0,6.17122520715015e+17,,,,ZTF18ablqvai
ztf,58371.122523100115,617122520715015029,2,617122520715,19.653131,1,617,2.072112,17.519854,17.5135,0.06645415,0.0558,275.1592651,-13.5466054,0.48333332,t8_f5_c3,0.0,17.4491,0.066,383120207.0,False,False,False,bulk_1.0.0,0.0,6.181263607150152e+17,,,,ZTF18ablqvai
ztf,58372.126365699805,618126360715015124,2,618126360715,20.374859,1,618,2.2752624,17.707596,17.8117,0.088502966,0.0438,275.1593419,-13.5466218,0.41666666,t8_f5_c3,0.0,17.7703,0.0511,383120207.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF18ablqvai
ztf,58582.41998839984,828419985715015004,2,828419985715,20.139704,1,828,2.0923524,17.44183,17.6161,0.045620993,0.0437,275.1593086,-13.5465599,0.29285714,t15_f5_c3,0.0,17.6074,0.0526,333120257.0,False,False,False,bulk_1.0.0,0.0,8.34416745715015e+17,,,,ZTF18ablqvai
ztf,58588.41674769996,834416745715015006,2,834416745715,19.968758,1,834,2.0569642,17.48722,17.693,0.04911805,0.0546,275.1592835,-13.5465657,0.26142856,t15_f5_c3,0.0,17.7248,0.0693,333120257.0,False,False,False,bulk_1.0.0,0.0,8.39418715715015e+17,,,,ZTF18ablqvai
