tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58607.4821295999,853482122815015009,2,853482122815,19.71792,1,853,0.569285,15.450498,13.554826,15.6728,0.06493978,100.0,0.0113303205,0.0131,270.1068715,-24.6727667,0.33857143,t15_f5_c3,0.0,15.6664,0.0144,282120228.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abniwuk
ztf,59378.37700230023,1624377002815015022,2,1624377002815,19.6845,1,1624,0.210212,15.4771,13.559421,15.6349,0.059553,100.0,0.010181971,0.0117,270.1068273,-24.6729396,0.648571,t17_f5_c3,,15.6393,0.0131,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59380.3703935002,1626370392815015063,2,1626370392815,17.6421,1,1626,0.165847,15.2709,13.521274,15.2217,0.071548,100.0,0.014280624,0.0427,270.1068181,-24.6729273,0.647143,t17_f5_c3,,15.2567,0.055,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59384.31858799979,1630318582815015016,2,1630318582815,19.3625,1,1630,0.491717,15.6261,13.583489,15.7899,0.06898,100.0,0.010511854,0.0177,270.106893,-24.6729908,0.727143,t17_f5_c3,,15.7957,0.0205,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59386.35980319977,1632359802815015013,2,1632359802815,19.0779,1,1632,0.498844,15.6334,13.5845995,15.7284,0.061121,100.0,0.009261262,0.0178,270.1069055,-24.6729798,0.704286,t17_f5_c3,,15.7038,0.0207,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59391.29400460003,1637294002815015009,2,1637294002815,18.9364,1,1637,0.439918,15.7344,13.599312,15.8253,0.098222,100.0,0.013745916,0.0231,270.106889,-24.6729725,0.605714,t17_f5_c3,,15.8092,0.0278,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59393.37716440018,1639377162815015017,2,1639377162815,18.9008,1,1639,0.186168,15.996,13.632343,16.0628,0.079298,100.0,0.008990821,0.0242,270.106797,-24.6728537,0.568571,t17_f5_c3,,16.0305,0.0281,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59396.33579860022,1642335792815015015,2,1642335792815,19.583,1,1642,0.703129,15.9036,13.621463,16.356,0.112602,100.0,0.013762309,0.0255,270.1069468,-24.6730259,0.412857,t17_f5_c3,,16.3673,0.0294,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59401.35737269977,1647357372815010005,1,1647357372815,19.9259,-1,1647,1.02196,17.1098,14.987831,17.4265,0.076913,100.0,0.010894618,0.0446,270.106691,-24.6731941,0.637143,t17_f5_c3,,17.446,0.0527,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59403.35646989988,1649356462815010008,1,1649356462815,19.18916,-1,1649,0.8809429,17.003677,15.003738,17.2597,0.09756731,100.0,0.015464244,0.0618,270.1068671,-24.6726834,0.69142854,t17_f5_c3,0.9616828,17.3441,0.0808,282120128.0,True,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59405.29407409998,1651294072815010010,1,1651294072815,19.7412,-1,1651,0.499387,16.9426,15.013742,17.3209,0.076482,100.0,0.012942437,0.0438,270.1068678,-24.6730277,0.702857,t17_f5_c3,,17.3337,0.052,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59407.25253470009,1653252532815010006,1,1653252532815,19.9488,-1,1653,0.166929,17.0568,14.995552,17.0573,0.062302,100.0,0.009332595,0.0355,270.106797,-24.6729573,0.871429,t17_f5_c3,,17.0416,0.0401,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59409.230729199946,1655230722815010010,1,1655230722815,20.0748,-1,1655,0.554699,16.9484,15.012764,17.0076,0.065023,100.0,0.010934837,0.0325,270.1069105,-24.6730105,0.508571,t17_f5_c3,,17.0409,0.0384,,False,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59411.294305600226,1657294302815010008,1,1657294302815,19.704681,-1,1657,0.44325963,16.730667,15.054086,16.8413,0.09811535,0.0036298633,0.020946164,0.0338,270.1068748,-24.6728323,0.72571427,t17_f5_c3,0.99266326,16.8146,0.0388,282120128.0,True,True,False,correction_0.0.1,0.0,,ZTF18abniwuk
ztf,59425.2510879999,1671251082815010010,1,1671251082815,20.11,-1,1671,0.379589,16.3028,15.172247,16.3008,0.045837,100.0,0.016180629,0.0164,270.1068428,-24.6730026,0.681429,t17_f5_c3,,16.3003,0.0187,,False,True,False,correction_1.0.6,0.0,1.69616962281501e+18,ZTF18abniwuk
