tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58350.50549770007,596505492515015009,2,596505492515,19.530462,1,596,0.36703625,17.798494,15.415759,17.7761,0.07269852,100.0,0.008099,0.0882,103.9564153,40.0002621,0.6766667,t8_f5_c3,0.0,17.784,0.109,706120225.0,False,True,False,bulk_1.0.0,0.0,5.99509312515015e+17,ZTF18aboerpp
ztf,58353.50931710005,599509312515015023,2,599509312515,19.969387,1,599,0.47273308,18.254913,15.458086,18.4413,0.07640145,100.0,0.0058126026,0.1214,103.9564676,40.0002526,0.65,t8_f5_c3,0.0,18.2724,0.1248,706120225.0,False,True,False,bulk_1.0.0,0.0,6.20513592515015e+17,ZTF18aboerpp
ztf,58359.46903940011,605469032515015014,2,605469032515,19.692116,1,605,0.50707054,18.275518,15.45964,18.5048,0.08284709,100.0,0.006193353,0.1488,103.9565306,40.0003022,0.5933333,t8_f5_c3,0.0,18.5983,0.198,706120225.0,False,True,False,bulk_1.0.0,0.0,6.20513592515015e+17,ZTF18aboerpp
ztf,58371.468923599925,617468922515015034,2,617468922515,20.368025,1,617,0.59025127,18.193233,15.453268,18.1142,0.066851996,100.0,0.005359549,0.073,103.9565453,40.0002729,0.66333336,t8_f5_c3,0.0,18.0361,0.0784,706120225.0,False,True,False,bulk_1.0.0,0.0,6.20513592515015e+17,ZTF18aboerpp
ztf,58374.468877300154,620468872515015007,1,620468872515,20.4978,1,620,0.311184,19.3568,16.173536,19.497,0.143222,100.0,0.0076331515,0.1984,103.9564389,40.0002367,0.77,t12_f5_c3,,19.5566,0.2455,,False,True,False,bulk_1.0.0,0.0,6.20513592515015e+17,ZTF18aboerpp
ztf,58374.51359950006,620513592515015042,2,620513592515,20.39988,1,620,0.3472063,17.726828,15.4075365,17.5841,0.053583786,100.0,0.006328737,0.046,103.9564554,40.000301,0.7633333,t8_f5_c3,0.0,17.5284,0.0505,706120225.0,False,True,False,bulk_1.0.0,0.0,6.32448552515015e+17,ZTF18aboerpp
ztf,58377.473263899796,623473262515015023,2,623473262515,20.423437,1,623,0.37693146,17.731201,15.408052,17.6522,0.048862133,100.0,0.0057505965,0.0497,103.9564517,40.0002784,0.66,t8_f5_c3,0.0,17.627,0.0561,706120225.0,False,True,False,bulk_1.0.0,0.0,6.32448552515015e+17,ZTF18aboerpp
ztf,58377.51195599977,623511952515015012,1,623511952515,20.731106,1,623,0.6045186,19.21235,16.165333,19.2173,0.1456233,100.0,0.0087987995,0.1506,103.9564551,40.0004713,0.52,t8_f5_c3,0.0,19.1816,0.1696,706120125.0,False,True,False,bulk_1.0.0,0.0,6.32448552515015e+17,ZTF18aboerpp
ztf,58383.49489580002,629494892515015020,1,629494892515,20.729527,1,629,0.12194106,18.51395,16.107676,18.5461,0.085919425,100.0,0.009366581,0.0812,103.9564237,40.000313,0.74,t8_f5_c3,0.0,18.5482,0.0941,706120125.0,False,True,False,bulk_1.0.0,0.0,6.32448552515015e+17,ZTF18aboerpp
ztf,58386.44855319988,632448552515015021,2,632448552515,19.600248,1,632,0.41111338,17.530901,15.382468,17.4523,0.06325977,100.0,0.008744894,0.0612,103.9564811,40.0002901,0.63,t8_f5_c3,0.0,17.4126,0.0725,706120225.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aboerpp
ztf,58422.46601849981,668466012515015002,1,668466012515,20.048346,1,668,0.10780813,19.251345,16.167648,19.2612,0.10276552,100.0,0.0060030115,0.2101,103.9563408,40.000297,0.75333333,t8_f5_c3,0.0,19.2152,0.2459,706120125.0,False,True,False,bulk_1.0.0,0.0,6.68509592515015e+17,ZTF18aboerpp
ztf,58422.50959490007,668509592515015009,2,668509592515,20.103579,1,668,0.24166644,17.607725,15.39277,17.5541,0.06178534,100.0,0.008033473,0.0502,103.9564009,40.000299,0.83,t8_f5_c3,0.0,17.5297,0.058,706120225.0,False,True,False,bulk_1.0.0,0.0,6.80451462515015e+17,ZTF18aboerpp
ztf,58431.504525499884,677504522515015060,2,677504522515,19.9928,1,677,0.08479134,17.904259,15.427045,17.885,0.07482623,100.0,0.007641316,0.0629,103.9563791,40.0003389,0.7966667,t8_f5_c3,0.0,17.8134,0.0691,706120225.0,False,True,False,bulk_1.0.0,0.0,6.80451462515015e+17,ZTF18aboerpp
