tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58635.37626159983,881376265415015024,2,881376265415,20.180714,1,881,0.072102435,16.769894,16.193298,16.8096,0.044947386,0.023972686,0.026428122,0.0203,280.7735889,-22.0429565,0.79285717,t17_f5_c3,0.0,16.8004,0.0248,283120254.0,False,True,False,bulk_1.0.0,0.0,8.86354895415015e+17,ZTF18aboetjo
ztf,58640.35489579989,886354895415015036,1,886354895415,20.21302,1,886,0.36243594,19.546412,18.892225,19.8311,0.16065869,0.08204475,0.08794871,0.24,280.7736199,-22.0429737,0.7057143,t17_f5_c3,0.0,19.8649,0.3169,283120154.0,False,True,False,bulk_1.0.0,0.0,9.132981054150152e+17,ZTF18aboetjo
ztf,58640.481932899915,886481935415015045,2,886481935415,19.45149,1,886,0.07496731,16.280361,15.879624,16.3516,0.055083375,0.037159614,0.03808254,0.0235,280.7735732,-22.0429612,0.8042857,t17_f5_c3,0.0,16.3492,0.0296,283120254.0,False,True,False,bulk_1.0.0,0.0,9.132981054150152e+17,ZTF18aboetjo
ztf,58643.421990700066,889421995415015074,1,889421995415,19.855371,1,889,0.17063986,19.220526,18.701868,19.3303,0.14940271,0.08876486,0.09266061,0.1925,280.7735852,-22.0429305,0.69,t17_f5_c3,0.0,19.2229,0.2238,283120154.0,False,True,False,bulk_1.0.0,0.0,9.132981054150152e+17,ZTF18aboetjo
ztf,58650.43966440018,896439665415015016,1,896439665415,18.88605,1,896,0.2983893,18.37448,18.105669,18.2657,0.14870769,0.115074374,0.11609391,0.197,280.7735969,-22.0429667,0.7285714,t17_f5_c3,0.0,18.1818,0.2344,283120154.0,False,True,False,bulk_1.0.0,0.0,9.132981054150152e+17,ZTF18aboetjo
ztf,58654.3134606001,900313465415015025,1,900313465415,19.122057,1,900,0.27147806,18.217266,17.98104,18.3156,0.13234958,0.105587706,0.106471136,0.1642,280.7736063,-22.042948,0.81714284,t17_f5_c3,1.0,18.2786,0.2037,283120154.0,False,True,False,bulk_1.0.0,0.0,9.132981054150152e+17,ZTF18aboetjo
ztf,58662.42248839978,908422485415015032,1,908422485415,20.148714,1,908,0.25275165,17.658466,17.511194,17.7067,0.066227406,0.057140954,0.057826716,0.0371,280.7736026,-22.0429475,0.7871429,t17_f5_c3,1.0,17.7081,0.0466,283120154.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58667.298101900145,913298105415015138,2,913298105415,19.795752,1,913,0.07508193,15.114205,14.960099,15.1575,0.029564032,0.025401972,0.025651993,0.0065,280.7735902,-22.0429631,0.76428574,t17_f5_c3,0.9999953,15.141,0.0077,283120254.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58667.33454860002,913334545415015041,1,913334545415,20.258162,1,913,0.28221866,17.351164,17.238382,17.4269,0.059034884,0.05276024,0.053210344,0.0274,280.7735993,-22.0429588,0.8371429,t17_f5_c3,1.0,17.4154,0.0336,283120154.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58670.37910880009,916379105415015024,2,916379105415,20.136665,1,916,0.024166698,15.076667,14.927454,15.131,0.047982667,0.04167751,0.041821457,0.0056,280.773582,-22.0429457,0.7228571,t17_f5_c3,0.99999785,15.1173,0.0064,283120254.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58673.31231479999,919312315415015043,1,919312315415,20.149353,1,919,0.25460166,17.092941,17.003073,17.1081,0.040662125,0.037016664,0.037432,0.0228,280.7735971,-22.0429548,0.8442857,t17_f5_c3,0.9999999,17.0958,0.0278,283120154.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58676.31314809993,922313145415015068,1,922313145415,19.751434,1,922,0.26726827,16.922924,16.84563,16.9786,0.057856444,0.0536657,0.053880833,0.0284,280.7735858,-22.0429697,0.84,t17_f5_c3,0.9999999,16.9658,0.0353,283120154.0,False,True,False,bulk_1.0.0,0.0,9.31315115415015e+17,ZTF18aboetjo
ztf,58685.28762729978,931287625415015030,1,931287625415,19.741613,1,931,0.25385955,16.67545,16.61347,16.7015,0.051206723,0.048209228,0.048365436,0.0215,280.7735888,-22.0429557,0.79142857,t17_f5_c3,1.0,16.6975,0.0269,283120154.0,False,True,False,bulk_1.0.0,0.0,9.58188875415015e+17,ZTF18aboetjo
ztf,58685.31511570001,931315115415015032,2,931315115415,19.735952,1,931,0.058965415,14.57484,14.478491,14.6429,0.034698762,0.031669352,0.031752236,0.0047,280.7735821,-22.0429579,0.7114286,t17_f5_c3,0.9830148,14.63,0.0055,283120254.0,False,True,False,bulk_1.0.0,0.0,9.58188875415015e+17,ZTF18aboetjo
ztf,58709.18561339984,955185615415015015,1,955185615415,19.007782,1,955,0.18070714,15.983276,15.950073,16.0448,0.036693715,0.035526063,0.035588566,0.0225,280.7735812,-22.0429317,0.78571427,t17_f5_c3,1.0,16.0479,0.0286,283120154.0,False,True,False,bulk_1.0.0,0.0,9.71155925415015e+17,ZTF18aboetjo
ztf,58712.188877299894,958188875415015029,1,958188875415,19.627316,1,958,0.24334218,15.964168,15.931535,16.0155,0.043144967,0.041816186,0.041867517,0.0135,280.7735888,-22.0429596,0.81857145,t17_f5_c3,1.0,16.0014,0.0165,283120154.0,False,True,False,bulk_1.0.0,0.0,9.71155925415015e+17,ZTF18aboetjo
ztf,58722.24148150021,968241485415015024,1,968241485415,19.302086,1,968,0.33534768,16.45614,16.405235,16.4266,0.047477655,0.045189437,0.045303036,0.0158,280.773618,-22.0429631,0.32428572,t17_f5_c3,0.9922475,16.3929,0.019,283120154.0,False,True,False,bulk_1.0.0,0.0,9.71155925415015e+17,ZTF18aboetjo
ztf,58725.15592590021,971155925415015031,1,971155925415,19.377594,1,971,0.2959016,16.24594,16.203823,16.2803,0.045116436,0.04331806,0.043399855,0.0165,280.7735805,-22.0429799,0.56714284,t17_f5_c3,1.0,16.2737,0.0204,283120154.0,False,True,False,bulk_1.0.0,0.0,9.71231135415015e+17,ZTF18aboetjo
ztf,58725.23113430012,971231135415015063,2,971231135415,19.638517,1,971,0.038296554,14.191272,14.122715,14.2603,0.03437719,0.03223131,0.032273624,0.0037,280.7735758,-22.0429511,0.73571426,t17_f5_c3,0.99999666,14.2488,0.0042,283120254.0,False,True,False,bulk_1.0.0,0.0,9.96130815415015e+17,ZTF18aboetjo
ztf,58750.13081019977,996130815415015047,1,996130815415,19.322245,1,996,0.21512444,17.310719,17.20186,17.3897,0.06032943,0.054163944,0.054574057,0.0486,280.7735902,-22.0429435,0.77428573,t17_f5_c3,0.99999994,17.3946,0.0621,283120154.0,False,True,False,bulk_1.0.0,0.0,1.020118815415015e+18,ZTF18aboetjo
ztf,58774.1188194002,1020118815415015047,1,1020118815415,19.076193,1,1020,0.14513268,18.760912,18.394802,19.1224,0.21060297,0.14897999,0.1503213,0.2631,280.7735283,-22.0429486,0.57857144,t17_f5_c3,0.9999995,19.0264,0.3092,283120154.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aboetjo
ztf,59032.35644679982,1278356445415015047,1,1278356445415,19.14562,1,1278,0.3683767,18.503223,18.204842,18.422,0.13133796,0.0983507,0.09977868,0.1676,280.7735372,-22.0430125,0.73571426,t17_f5_c3,0.9999993,18.3393,0.1996,283120154.0,False,True,False,bulk_1.0.0,0.0,1.2833559354150152e+18,ZTF18aboetjo
ztf,59037.33569440013,1283335695415015023,1,1283335695415,19.249016,1,1283,0.4607173,18.8117,18.430809,18.8512,0.14561373,0.10041493,0.10252875,0.2319,280.7736453,-22.0429894,0.8042857,t17_f5_c3,0.9998869,18.8782,0.3051,283120154.0,False,True,False,bulk_1.0.0,0.0,1.2833559354150152e+18,ZTF18aboetjo
ztf,59037.35593750002,1283355935415015093,2,1283355935415,19.114847,1,1283,0.09122044,15.930945,15.626572,16.0351,0.043631148,0.032296944,0.03296456,0.0214,280.7735837,-22.0429658,0.7114286,t17_f5_c3,0.9997955,16.0119,0.0265,283120254.0,False,True,False,bulk_1.0.0,0.0,1.287292285415015e+18,ZTF18aboetjo
ztf,59041.29228009982,1287292285415015020,2,1287292285415,20.126728,1,1287,0.07445715,16.26144,15.8665085,16.3348,0.040468782,0.026896657,0.02812855,0.0144,280.7736048,-22.0429447,0.74857146,t17_f5_c3,0.99999994,16.2834,0.0168,283120254.0,False,True,False,bulk_1.0.0,0.0,1.2912715754150152e+18,ZTF18aboetjo
ztf,59041.35666669998,1287356665415015036,1,1287356665415,19.93487,1,1287,0.2862258,18.959667,18.532856,18.9837,0.15860431,0.10460496,0.107050925,0.1481,280.7735986,-22.0429601,0.7885714,t17_f5_c3,0.9997848,19.0673,0.2039,283120154.0,False,True,False,bulk_1.0.0,0.0,1.2912715754150152e+18,ZTF18aboetjo
ztf,59045.271574100014,1291271575415015049,1,1291271575415,20.273771,1,1291,0.52473325,19.302998,18.752275,19.3896,0.18709163,0.109162524,0.11265885,0.1543,280.7736749,-22.0429793,0.6785714,t17_f5_c3,0.99999917,19.4022,0.1993,283120154.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18aboetjo
ztf,59368.417951399926,1614417955415015066,2,1614417955415,20.127905,1,1614,0.024417674,18.81299,16.942442,18.9845,0.17958124,0.023158338,0.032065764,0.1438,280.7735726,-22.0429388,0.56285715,t17_f5_c3,0.8985702,18.7552,0.1483,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59370.43968749978,1616439685415015064,2,1616439685415,19.765331,1,1616,0.107542776,18.544317,16.889332,18.3858,0.13591309,0.020736456,0.029598303,0.1076,280.7736063,-22.0429567,0.67285717,t17_f5_c3,0.9944887,18.3273,0.1301,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59377.39751160005,1623397515415015032,2,1623397515415,20.039667,1,1623,0.062993184,17.87869,16.705719,18.0293,0.05966575,0.009602998,0.020255191,0.0659,280.7735897,-22.042953,0.75714284,t17_f5_c3,0.9999987,17.851,0.071,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59379.35613430012,1625356135415015029,2,1625356135415,20.426775,1,1625,0.12084966,17.814993,16.683674,18.0224,0.12768473,0.04151292,0.04504132,0.0497,280.7735939,-22.0429777,0.6414286,t17_f5_c3,1.0,18.0082,0.0614,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59396.3348495001,1642334845415015041,2,1642334845415,19.688503,1,1642,0.099638574,16.50871,16.032242,16.6048,0.060068518,0.03752475,0.038731027,0.0239,280.7735832,-22.0429612,0.7842857,t17_f5_c3,0.9999534,16.6078,0.0301,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59399.29339119978,1645293395415015042,1,1645293395415,20.426243,1,1645,0.39800107,19.551468,18.894989,19.8822,0.19582392,0.1021493,0.10697308,0.2144,280.773639,-22.0429657,0.6528571,t17_f5_c3,0.9999975,20.1253,0.3443,283120154.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59399.33685189998,1645336855415015049,2,1645336855415,20.039318,1,1645,0.12219475,16.501213,16.027401,16.5645,0.055742018,0.034741227,0.03602946,0.0179,280.7735439,-22.0429387,0.7828571,t17_f5_c3,0.9999989,16.5539,0.0219,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59401.33474540012,1647334745415015029,2,1647334745415,19.873621,1,1647,0.031686105,16.400082,15.960967,16.4543,0.05106743,0.032875072,0.034079883,0.018,280.7735872,-22.04295,0.79285717,t17_f5_c3,1.0,16.4354,0.022,283120254.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
ztf,59401.356898100115,1647356895415015042,1,1647356895415,19.9983,1,1647,0.32772642,19.443346,18.834597,19.9406,0.16554755,0.08959535,0.09449804,0.3136,280.7736258,-22.0429466,0.6642857,t17_f5_c3,0.9999895,19.7058,0.3248,283120154.0,True,True,False,correction_0.0.1,0.0,,ZTF18aboetjo
