tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58356.28890050016,602288902715015026,2,602288902715,19.819265,1,602,0.19836718,18.947481,17.635702,18.7127,0.110516615,0.027524136,0.03301537,0.1605,287.5903536,2.9686438,0.6766667,t8_f5_c3,0.0,18.5502,0.1768,488120227.0,False,True,False,bulk_1.0.0,0.0,6.05250712715015e+17,ZTF18abqbmxn
ztf,58359.250717599876,605250712715015024,2,605250712715,20.172688,1,605,0.13413736,18.847675,17.604914,18.929,0.10109376,0.026862739,0.032182515,0.141,287.5903404,2.9686965,0.58,t8_f5_c3,0.0,18.7704,0.1559,488120227.0,False,True,False,bulk_1.0.0,0.0,6.08186702715015e+17,ZTF18abqbmxn
ztf,58360.27364580007,606273642715015048,2,606273642715,19.919798,1,606,0.09291435,18.565245,17.506798,18.7865,0.10880061,0.0377155,0.041044243,0.1421,287.5903611,2.9686773,0.68333334,t8_f5_c3,0.0,18.8842,0.1995,488120227.0,False,True,False,bulk_1.0.0,0.0,6.08186702715015e+17,ZTF18abqbmxn
ztf,58361.23134260019,607231342715015007,2,607231342715,20.479418,1,607,0.060291156,18.823055,17.597015,19.0515,0.076547556,0.017401837,0.024746604,0.1228,287.5903954,2.9687007,0.60333335,t8_f5_c3,0.0,19.2153,0.1819,488120227.0,False,True,False,bulk_1.0.0,0.0,6.08186702715015e+17,ZTF18abqbmxn
ztf,58362.186701400205,608186702715015020,2,608186702715,20.495136,1,608,0.13498485,18.656567,17.540352,18.7034,0.08082322,0.023598922,0.028910136,0.0852,287.5903594,2.9687298,0.62333333,t8_f5_c3,0.0,18.8177,0.1207,488120227.0,False,True,False,bulk_1.0.0,0.0,6.17167962715015e+17,ZTF18abqbmxn
ztf,58364.18787040003,610187872715015027,2,610187872715,20.491238,1,610,0.07603006,18.528708,17.492868,18.5856,0.06872556,0.021100333,0.026471758,0.0772,287.5904004,2.9686985,0.6666667,t8_f5_c3,0.0,18.7299,0.1121,488120227.0,False,True,False,bulk_1.0.0,0.0,6.17167962715015e+17,ZTF18abqbmxn
ztf,58365.16877309978,611168772715015059,2,611168772715,20.2717,1,611,0.06138361,18.390148,17.437386,18.4337,0.08427553,0.03157974,0.035042603,0.0771,287.5903922,2.9686854,0.75666666,t8_f5_c3,0.0,18.421,0.0972,488120227.0,False,True,False,bulk_1.0.0,0.0,6.17167962715015e+17,ZTF18abqbmxn
ztf,58369.16843750002,615168432715015018,2,615168432715,20.165236,1,615,0.055094365,18.16149,17.3364,18.2615,0.089591034,0.039549753,0.04190138,0.0714,287.5903917,2.9686876,0.66,t8_f5_c3,0.0,18.3441,0.0983,488120227.0,False,True,False,bulk_1.0.0,0.0,6.17167962715015e+17,ZTF18abqbmxn
ztf,58370.25333329989,616253332715015054,2,616253332715,20.044685,1,616,0.1374768,17.999153,17.257446,17.9888,0.07340603,0.034766883,0.037072267,0.0595,287.5903404,2.9686958,0.78,t8_f5_c3,0.0,17.947,0.0729,488120227.0,False,True,False,bulk_1.0.0,0.0,6.17167962715015e+17,ZTF18abqbmxn
ztf,58371.167963000014,617167962715015029,2,617167962715,20.277912,1,617,0.055118404,18.025452,17.270649,18.1182,0.07404155,0.034572106,0.03694488,0.0565,287.5903793,2.9686812,0.74666667,t8_f5_c3,0.0,18.0977,0.0706,488120227.0,False,True,False,bulk_1.0.0,0.0,6.25210242715015e+17,ZTF18abqbmxn
