tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58370.23100689985,616231006015015007,1,616231006015,20.90551,1,616,0.37282065,19.235113,16.047766,19.2296,0.18670747,100.0,0.009913399,0.1094,321.1098084,29.0686966,0.56,t8_f5_c3,0.0,19.2578,0.1292,643120160.0,False,True,False,bulk_1.0.0,0.0,6.25328516015015e+17,ZTF18absgxzm
ztf,58373.254525499884,619254526015015012,1,619254526015,20.862616,1,619,0.5420847,19.29366,16.050797,19.4358,0.15872778,100.0,0.008007696,0.1302,321.1096899,29.0688631,0.62,t8_f5_c3,0.0,19.5604,0.1679,643120160.0,False,True,False,bulk_1.0.0,0.0,6.25328516015015e+17,ZTF18absgxzm
ztf,58379.30807870021,625308076015015021,2,625308076015,20.3703,1,625,0.238384,18.5941,15.226059,18.9569,0.194706,100.0,0.008753113,0.1365,321.1099147,29.0687802,0.413333,t12_f5_c3,,18.8708,0.1471,,False,True,False,bulk_1.0.0,0.0,6.25328516015015e+17,ZTF18absgxzm
ztf,58379.328518500086,625328516015015010,1,625328516015,20.66865,1,625,0.10292812,18.961843,16.031391,19.2656,0.17638683,100.0,0.011865472,0.1239,321.1098126,29.0687858,0.62,t8_f5_c3,0.0,19.2212,0.1395,643120160.0,False,True,False,bulk_1.0.0,0.0,6.34234536015015e+17,ZTF18absgxzm
ztf,58388.128969899844,634128966015015033,1,634128966015,20.528347,1,634,0.3958785,18.892935,16.026615,19.201,0.20359541,100.0,0.014529152,0.1356,321.1098691,29.0686841,0.46333334,t8_f5_c3,0.0,19.1767,0.1595,643120160.0,False,True,False,bulk_1.0.0,0.0,6.34234536015015e+17,ZTF18absgxzm
ztf,58388.23453699984,634234536015015021,2,634234536015,20.011404,1,634,0.30633137,18.120253,15.199675,18.647,0.19203119,100.0,0.013035887,0.1305,321.1097998,29.0687156,0.43,t8_f5_c3,0.0,18.686,0.1637,643120260.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18absgxzm
ztf,58400.257060199976,646257066015015025,1,646257066015,20.9228,1,646,0.514545,18.893,16.02662,19.0962,0.226294,100.0,0.016148092,0.1002,321.1097765,29.0686607,0.483333,t12_f5_c3,,19.0647,0.1121,,False,True,False,bulk_1.0.0,0.0,6.75184746015015e+17,ZTF18absgxzm
ztf,58429.18474540021,675184746015015026,1,675184746015,20.868298,1,675,0.48664805,19.138624,16.042421,19.2036,0.21025631,100.0,0.01214137,0.1124,321.1097821,29.0686657,0.47,t8_f5_c3,0.0,19.1288,0.1216,643120160.0,False,True,False,bulk_1.0.0,0.0,6.811507660150153e+17,ZTF18absgxzm
ztf,58432.110729199834,678110726015015197,2,678110726015,20.0812,1,678,0.161383,18.2556,15.208347,18.1593,0.220973,100.0,0.013348678,0.0714,321.1098371,29.0687499,0.39,t12_f5_c3,,18.1467,0.0833,,False,True,False,bulk_1.0.0,0.0,6.811507660150153e+17,ZTF18absgxzm
ztf,58432.14907409996,678149076015015013,1,678149076015,20.479641,1,678,0.36521393,18.749964,16.015764,18.8339,0.17529182,100.0,0.014128045,0.0908,321.1097819,29.068704,0.61333334,t8_f5_c3,0.0,18.7674,0.1014,643120160.0,False,True,False,bulk_1.0.0,0.0,6.811507660150153e+17,ZTF18absgxzm
ztf,58435.1108448999,681110846015015311,2,681110846015,19.695717,1,681,1.2594552,18.158298,15.202215,18.0373,0.11047163,100.0,0.007258011,0.065,321.1098981,29.0691489,0.47666666,t8_f5_c3,0.0,17.9681,0.0727,643120260.0,False,True,False,bulk_1.0.0,0.0,6.811507660150153e+17,ZTF18absgxzm
