tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58365.13002309995,611130022015015028,2,611130022015,19.625683,1,611,0.025753636,15.643707,15.412814,15.7809,0.059146143,0.04744535,0.04781557,0.0135,277.8115429,-17.5633297,0.6533333,t8_f5_c3,0.0,15.7739,0.0166,333120220.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18absrbnv
ztf,58588.41674769996,834416742015015147,2,834416742015,19.76793,1,834,0.0601342,16.909216,16.295357,16.8922,0.05707653,0.029534973,0.03242751,0.0327,277.8115617,-17.5633416,0.26714286,t15_f5_c3,0.0,16.8384,0.039,333120220.0,False,True,False,bulk_1.0.0,0.0,8.544823720150152e+17,ZTF18absrbnv
ztf,58592.3971644002,838397162015015137,2,838397162015,17.9872,1,838,0.12496337,16.46811,16.0233,16.3239,0.04563597,0.028447466,0.030295901,0.0766,277.8115729,-17.5633584,0.31714284,t15_f5_c3,0.0,16.3059,0.0966,333120220.0,False,True,False,bulk_1.0.0,0.0,8.544823720150152e+17,ZTF18absrbnv
ztf,58607.35738429986,853357382015015058,2,853357382015,19.939276,1,853,0.06359553,16.051384,15.72962,16.1153,0.061486173,0.045019716,0.045716405,0.0144,277.8115605,-17.5633246,0.34428573,t15_f5_c3,0.0,16.0855,0.0171,333120220.0,False,True,False,bulk_1.0.0,0.0,8.544823720150152e+17,ZTF18absrbnv
ztf,58608.48237269977,854482372015015130,2,854482372015,20.020132,1,854,0.053310253,16.036757,15.718726,16.0632,0.042799123,0.03094636,0.03193174,0.0129,277.8115461,-17.5633467,0.32428572,t15_f5_c3,0.0,16.0404,0.0153,333120220.0,False,True,False,bulk_1.0.0,0.0,8.83481212015015e+17,ZTF18absrbnv
ztf,58634.33418980008,880334182015015024,2,880334182015,20.350315,1,880,0.062775195,15.25328,15.087101,15.3466,0.038050577,0.032352723,0.032650486,0.0065,277.8115551,-17.5633488,0.67714286,t17_f5_c3,0.0,15.3441,0.0074,333120220.0,False,True,False,bulk_1.0.0,0.0,8.94334542015015e+17,ZTF18absrbnv
ztf,58634.44016199978,880440162015015028,1,880440162015,20.66186,1,880,0.19131866,18.204449,18.089146,18.2757,0.061234195,0.053937808,0.055064656,0.0442,277.8115192,-17.5633419,0.89428574,t17_f5_c3,0.0,18.3087,0.0564,333120120.0,False,True,False,bulk_1.0.0,0.0,8.94334542015015e+17,ZTF18absrbnv
ztf,58637.48121530004,883481212015015026,1,883481212015,19.576143,1,883,0.1883324,17.725342,17.649786,17.8423,0.07137096,0.06616128,0.06657322,0.0754,277.8115198,-17.5633422,0.91571426,t17_f5_c3,0.0,17.9678,0.1077,333120120.0,False,True,False,bulk_1.0.0,0.0,8.94334542015015e+17,ZTF18absrbnv
ztf,58647.33618059987,893336182015015028,1,893336182015,19.816349,1,893,0.09304795,16.875433,16.84024,16.9167,0.036365792,0.03503074,0.035205975,0.0265,277.8115484,-17.5633358,0.9028571,t17_f5_c3,0.0,16.9508,0.0342,333120120.0,False,True,False,bulk_1.0.0,0.0,8.94334542015015e+17,ZTF18absrbnv
ztf,58648.33454860002,894334542015015018,1,894334542015,19.45624,1,894,0.10172617,16.8096,16.776447,16.8068,0.042593822,0.041180234,0.04131289,0.0324,277.8115475,-17.5633547,0.8957143,t17_f5_c3,0.0,16.7854,0.0402,333120120.0,False,True,False,bulk_1.0.0,0.0,8.963137320150152e+17,ZTF18absrbnv
ztf,58649.274189800024,895274182015015056,2,895274182015,18.94185,1,895,0.05811967,14.263582,14.193709,14.3255,0.032394934,0.030314308,0.030375822,0.0064,277.8115522,-17.5633488,0.74142855,t17_f5_c3,0.0,14.3138,0.0079,333120220.0,False,True,False,bulk_1.0.0,0.0,8.963137320150152e+17,ZTF18absrbnv
ztf,58649.335763900075,895335762015015016,1,895335762015,18.730082,1,895,0.10446392,16.63923,16.61083,16.7983,0.059919074,0.058302917,0.058372047,0.0545,277.8115487,-17.5633543,0.8242857,t17_f5_c3,0.0,16.8304,0.0718,333120120.0,False,True,False,bulk_1.0.0,0.0,8.963137320150152e+17,ZTF18absrbnv
