tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58369.376099499874,615376090115015000,2,615376090115,20.339985,1,615,0.57685924,20.003008,17.18205,20.3373,0.20011191,100.0,0.014889835,0.4416,11.0993205,-26.2687943,0.8233333,t8_f5_c3,0.0,20.4726,0.619,246120201.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abugfdc
ztf,58434.1884606001,680188460115015005,2,680188460115,19.382452,1,680,0.70348215,19.29512,17.110209,19.0147,0.19662471,100.0,0.02628291,0.1671,11.0994038,-26.2688018,0.55,t8_f5_c3,0.0,19.1754,0.2435,246120201.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abugfdc
ztf,58694.48098379979,940480980115015000,2,940480980115,20.461805,1,940,0.30863723,19.27415,17.107382,19.1751,0.13256103,100.0,0.018018072,0.1407,11.0993663,-26.2686815,0.9671429,t17_f5_c3,0.9999922,19.2508,0.1846,246120201.0,False,True,False,bulk_1.0.0,0.0,9.51459100115015e+17,ZTF18abugfdc
ztf,58698.43952549994,944439520115015000,1,944439520115,20.17067,1,944,0.15882885,19.712511,17.64492,19.5939,0.19829367,100.0,0.029530635,0.2147,11.09925,-26.2686444,0.92,t17_f5_c3,0.99944925,19.3716,0.2192,246120101.0,False,True,False,bulk_1.0.0,0.0,9.51459100115015e+17,ZTF18abugfdc
ztf,58698.48121530004,944481210115015000,2,944481210115,20.035545,1,944,0.078732334,19.32253,17.113832,19.1957,0.14616609,100.0,0.019114697,0.1789,11.0992594,-26.2686473,0.98142856,t17_f5_c3,0.999993,19.328,0.2516,246120201.0,False,True,False,bulk_1.0.0,0.0,9.51459100115015e+17,ZTF18abugfdc
ztf,58701.43923609983,947439230115015000,1,947439230115,20.102316,1,947,0.4151314,19.48372,17.60764,19.8313,0.17684372,100.0,0.03141647,0.3033,11.0993457,-26.2686919,0.9628571,t17_f5_c3,0.9999927,19.8279,0.3789,246120101.0,False,True,False,bulk_1.0.0,0.0,9.51459100115015e+17,ZTF18abugfdc
ztf,58705.45910880016,951459100115015000,2,951459100115,20.078545,1,951,0.17476155,19.40874,17.124725,19.406,0.1412885,100.0,0.017238569,0.2114,11.0993017,-26.2686837,0.9657143,t17_f5_c3,0.9999924,19.3954,0.2607,246120201.0,False,True,False,bulk_1.0.0,0.0,9.54500820115015e+17,ZTF18abugfdc
ztf,58708.50082179997,954500820115015000,2,954500820115,19.904274,1,954,0.41499758,19.455389,17.13031,19.3352,0.16328223,100.0,0.019182604,0.2355,11.0991643,-26.268679,0.9628571,t17_f5_c3,0.9986714,19.4694,0.335,246120201.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18abugfdc
ztf,59428.43809030019,1674438090115015000,1,1674438090115,19.9264,1,1674,0.168607,19.8975,17.670551,19.8443,0.228702,100.0,0.029409708,0.3417,11.0992109,-26.2686024,0.957143,t17_f5_c3,,19.7226,0.3867,,False,True,False,correction_1.0.6,0.0,1.681417510115015e+18,ZTF18abugfdc
ztf,59430.46033560019,1676460330115015000,1,1676460330115,20.091,1,1676,0.414702,20.0104,17.68443,19.7719,0.225414,100.0,0.026460128,0.2572,11.0991365,-26.2686248,0.941429,t17_f5_c3,,19.989,0.3943,,False,True,False,correction_1.0.6,0.0,1.681417510115015e+18,ZTF18abugfdc
ztf,59435.41751160007,1681417510115015000,1,1681417510115,20.130621,1,1681,0.68584424,19.721937,17.64632,19.6857,0.1807611,100.0,0.02672132,0.255,11.0992073,-26.2687872,0.9457143,t17_f5_c3,0.9999646,19.7226,0.3313,246120101.0,True,True,False,correction_1.0.6,0.0,,ZTF18abugfdc
ztf,59438.43976850016,1684439760115015000,1,1684439760115,19.7635,1,1684,0.229799,19.6364,17.633242,19.2231,0.192697,100.0,0.030451722,0.2019,11.0992259,-26.2685433,0.795714,t17_f5_c3,,19.1459,0.2373,,False,True,False,correction_1.0.6,0.0,1.688422250115015e+18,ZTF18abugfdc
ztf,59438.50693289982,1684506930115015000,2,1684506930115,19.2973,1,1684,0.422311,19.4055,17.124329,19.5076,0.272337,100.0,0.033314876,0.4739,11.0991573,-26.2686035,0.777143,t17_f5_c3,,19.0991,0.4149,,False,True,False,correction_1.0.6,0.0,1.688422250115015e+18,ZTF18abugfdc
ztf,59442.4222569,1688422250115015000,2,1688422250115,19.909147,1,1688,0.20299052,19.273226,17.107256,19.6326,0.15828587,100.0,0.02153051,0.3124,11.099278,-26.268692,0.9628571,t17_f5_c3,0.9998679,19.7291,0.4282,246120201.0,True,True,False,correction_1.0.6,0.0,,ZTF18abugfdc
ztf,59456.477870400064,1702477870115015000,1,1702477870115,19.641876,1,1702,1.0218667,19.712791,17.644962,19.3917,0.21485722,100.0,0.03199031,0.3071,11.09904,-26.2688028,0.8414286,t17_f5_c3,0.99817425,19.1218,0.305,246120101.0,True,True,False,correction_1.0.6,0.0,,ZTF18abugfdc
ztf,59459.396284699906,1705396280115015000,2,1705396280115,20.358658,1,1705,0.20768824,19.493673,17.134739,19.5525,0.12985659,100.0,0.014787345,0.2079,11.0992352,-26.2685942,0.9514286,t17_f5_c3,0.99999905,19.597,0.2678,246120201.0,True,True,False,correction_1.0.6,0.0,,ZTF18abugfdc
