tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58698.45913190022,944459132815015012,1,944459132815,20.514063,1,944,0.2566534,18.700703,17.072699,18.6414,0.09693914,0.019531922,0.021642003,0.0771,13.6948005,-24.9247972,0.96428573,t17_f5_c3,0.9999891,18.7412,0.1042,247120128.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58698.481678199954,944481672815015008,2,944481672815,19.912853,1,944,0.2973239,18.288622,16.806774,18.4769,0.11096764,0.026639732,0.028343746,0.0775,13.6947837,-24.924814,0.94714284,t17_f5_c3,0.9999937,18.5292,0.1014,247120228.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58701.45920140017,947459202815015014,1,947459202815,20.376684,1,947,0.36034086,18.67886,17.067783,18.8166,0.08062691,0.015753543,0.01828309,0.0971,13.6947591,-24.9248155,0.9728571,t17_f5_c3,0.9999982,18.7246,0.1109,247120128.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58701.502222199924,947502222815015038,2,947502222815,18.901665,1,947,0.25099263,18.082184,16.750198,18.2353,0.10820413,0.030369041,0.031728514,0.2086,13.6948615,-24.9247971,0.81714284,t17_f5_c3,0.9993926,18.2731,0.276,247120228.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58706.438252300024,952438252815015013,1,952438252815,20.509304,1,952,0.38832206,18.56387,17.04062,18.5812,0.07726144,0.016701924,0.018996038,0.0689,13.6948661,-24.9248301,0.95714283,t17_f5_c3,0.99999976,18.6638,0.0914,247120128.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58706.50084490003,952500842815015004,2,952500842815,20.145542,1,952,0.22535299,18.25236,16.797396,18.3146,0.09699077,0.023511885,0.025394816,0.0722,13.6948781,-24.9247729,0.9014286,t17_f5_c3,0.9999995,18.3649,0.0945,247120228.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58711.43903939985,957439032815015003,2,957439032815,19.205566,1,957,0.12568873,18.003616,16.726566,18.1225,0.09986566,0.02946207,0.0308032,0.1412,13.6948216,-24.9247726,0.95714283,t17_f5_c3,0.99998033,18.0839,0.1743,247120228.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58714.41783560021,960417832815015001,2,960417832815,19.154375,1,960,0.18998922,18.16476,16.77377,17.8069,0.10687625,0.028157052,0.029681401,0.1122,13.6947815,-24.9247775,0.8157143,t17_f5_c3,0.99976885,17.8357,0.1473,247120228.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58714.46032410022,960460322815015005,1,960460322815,19.115349,1,960,0.30186358,18.450146,17.011536,18.1002,0.1405915,0.03631585,0.037369296,0.1526,13.6948851,-24.9247918,0.8971428,t17_f5_c3,0.99764144,18.1054,0.1965,247120128.0,False,True,False,bulk_1.0.0,0.0,9.63417832815015e+17,ZTF18abuvchc
ztf,58717.41783560021,963417832815015005,1,963417832815,19.632708,1,963,0.20149218,18.456827,17.013308,18.2159,0.10928661,0.02753794,0.028917382,0.0998,13.6948365,-24.9247832,0.96428573,t17_f5_c3,0.99994624,18.0873,0.1127,247120128.0,False,True,False,bulk_1.0.0,0.0,9.89397152815015e+17,ZTF18abuvchc
