tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58481.26943290001,727269432815015024,1,727269432815,19.595669,1,727,1.9632567,18.473583,18.571,0.10831683,0.0845,27.7944002,-3.4903185,0.45,t8_f5_c3,0.0,18.5484,0.1054,400120128.0,False,False,False,bulk_1.0.0,0.0,755184932815015002,,,,ZTF18abvmlow
ztf,58483.178090299945,729178092815015009,1,729178092815,20.2882,1,729,2.087263,16.640594,16.6675,0.032742098,0.0124,27.7943986,-3.4902615,0.6433333,t8_f5_c3,0.0,16.6533,0.0146,400120128.0,False,False,False,bulk_1.0.0,0.0,755184932815015002,,,,ZTF18abvmlow
ztf,58487.12319440022,733123192815015022,2,733123192815,20.505228,1,733,1.2518648,16.48385,16.5295,0.040011447,0.013,27.794403,-3.4902423,0.76,t8_f5_c3,0.0,16.5215,0.0156,400120228.0,False,True,False,bulk_1.0.0,0.0,755184932815015002,16.47694,0.039748788,0.039757606,ZTF18abvmlow
ztf,58487.1506829001,733150682815015008,1,733150682815,20.60274,1,733,2.1935608,16.433813,16.4626,0.03052811,0.0109,27.7943715,-3.4902478,0.8,t8_f5_c3,0.0,16.4556,0.0128,400120128.0,False,False,False,bulk_1.0.0,0.0,755184932815015002,,,,ZTF18abvmlow
ztf,58491.11019679997,737110192815015015,2,737110192815,20.121386,1,737,1.1517715,16.446375,16.472,0.03175861,0.0128,27.7943974,-3.4902704,0.67,t8_f5_c3,0.0,16.4607,0.0154,400120228.0,False,True,False,bulk_1.0.0,0.0,755184932815015002,16.4397,0.031553548,0.031563923,ZTF18abvmlow
ztf,58491.12766199978,737127662815015017,1,737127662815,20.160826,1,737,2.072588,16.526705,16.5288,0.025232213,0.0111,27.794405,-3.4902595,0.62333333,t8_f5_c3,0.0,16.5172,0.0131,400120128.0,False,False,False,bulk_1.0.0,0.0,755184932815015002,,,,ZTF18abvmlow
ztf,58494.16087959986,740160872815015011,1,740160872815,20.425892,1,740,2.1043515,16.512884,16.5377,0.03562295,0.0125,27.7944001,-3.4902493,0.6757143,t15_f5_c3,0.0,16.5371,0.015,400120128.0,False,False,False,bulk_1.0.0,0.0,749170962815015007,,,,ZTF18abvmlow
ztf,58503.17096060002,749170962815015007,1,749170962815,19.163557,1,749,2.0457726,16.708519,16.7345,0.03724081,0.0358,27.7944185,-3.4902547,0.8142857,t15_f5_c3,0.0,16.6907,0.0438,400120128.0,False,False,False,bulk_1.0.0,0.0,755184932815015002,,,,ZTF18abvmlow
ztf,58509.184930600226,755184932815015002,1,755184932815,19.531189,1,755,1.9692686,16.877079,16.9296,0.04703615,0.0212,27.7944104,-3.4903005,0.48285714,t15_f5_c3,0.0,16.8996,0.0256,400120128.0,True,False,False,bulk_1.0.0,0.0,0,,,,ZTF18abvmlow
ztf,58540.11369210016,786113692815015004,2,786113692815,19.725864,1,786,1.2327781,16.686752,16.7459,0.04248499,0.0271,27.7943977,-3.4902522,0.81285715,t15_f5_c3,0.0,16.7356,0.0339,400120228.0,False,True,False,bulk_1.0.0,0.0,786132492815015006,16.678429,0.04214844,0.042160496,ZTF18abvmlow
