tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58374.17150459997,620171504015015010,2,620171504015,20.473923,1,620,2.8857462,18.141174,18.0955,0.0360261,0.0464,292.355903,27.2524113,0.6566667,t8_f5_c3,0.0,18.233,0.0675,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58374.24935190007,620249354015015040,1,620249354015,20.773407,1,620,2.916957,18.246962,18.2879,0.059937224,0.0387,292.3558995,27.2524229,0.8,t8_f5_c3,0.0,18.2848,0.0489,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58375.20776619995,621207764015015004,2,621207764015,20.834877,1,621,2.915446,18.154634,18.1942,0.04960122,0.0386,292.3559174,27.2524164,0.6533333,t8_f5_c3,0.0,18.316,0.0556,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58375.22651620023,621226514015015042,1,621226514015,20.848991,1,621,2.9027104,18.304348,18.283,0.057978477,0.0364,292.3558973,27.2524144,0.78333336,t8_f5_c3,0.0,18.2949,0.0466,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58376.16964119999,622169644015015010,2,622169644015,20.803703,1,622,2.872517,18.134281,18.2254,0.06093337,0.0409,292.3559006,27.252429,0.61333334,t8_f5_c3,0.0,18.3767,0.0605,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58376.249768500216,622249764015015130,1,622249764015,21.12273,1,622,2.8911881,18.329035,18.3099,0.06040937,0.0315,292.3558958,27.252419,0.78,t8_f5_c3,0.0,18.2949,0.0392,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58377.257118099835,623257114015015046,1,623257114015,20.884972,1,623,2.9158974,18.371498,18.4101,0.07349427,0.0405,292.3559024,27.2524143,0.77,t8_f5_c3,0.0,18.3471,0.0487,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58377.281423599925,623281424015015027,2,623281424015,20.60668,1,623,2.8176353,18.295698,18.3349,0.057788868,0.0528,292.3558843,27.252414,0.75666666,t8_f5_c3,0.0,18.4486,0.0756,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58378.193101900164,624193104015015107,1,624193104015,20.816332,1,624,2.8940315,18.354952,18.4331,0.06975758,0.0436,292.3558989,27.2524156,0.75,t8_f5_c3,0.0,18.3839,0.053,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58378.22927080002,624229274015015024,2,624229274015,20.61243,1,624,2.8630226,18.33546,18.372,0.049072888,0.0541,292.3558989,27.2524078,0.75,t8_f5_c3,0.0,18.4519,0.0751,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58379.21164349979,625211644015015008,2,625211644015,20.506014,1,625,2.8914814,18.498644,18.54,0.06057792,0.0685,292.3559076,27.2524044,0.6766667,t8_f5_c3,0.0,18.7085,0.1033,639120240.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58380.171203699894,626171204015015003,1,626171204015,19.777048,1,626,3.1119275,18.722525,18.8814,0.09851096,0.1038,292.355959,27.2523825,0.5933333,t8_f5_c3,0.0,18.8976,0.1353,639120140.0,False,False,False,bulk_1.0.0,0.0,6.27148264015015e+17,ZTF18abvnwzz
ztf,58381.148263900075,627148264015015018,2,627148264015,20.354908,1,627,2.8181553,18.637793,18.8779,0.07043285,0.1064,292.3558895,27.2524344,0.67333335,t8_f5_c3,0.0,19.1149,0.171,639120240.0,False,False,False,bulk_1.0.0,0.0,6.29149894015015e+17,ZTF18abvnwzz
ztf,58381.22795139998,627227954015015038,1,627227954015,20.139975,1,627,2.930982,18.787014,18.8308,0.117065914,0.1123,292.3559004,27.2523969,0.67333335,t8_f5_c3,0.0,18.7503,0.1341,639120140.0,False,False,False,bulk_1.0.0,0.0,6.29149894015015e+17,ZTF18abvnwzz
ztf,58382.14811340021,628148114015015009,2,628148114015,20.55312,1,628,2.8086898,18.783358,18.8885,0.0703252,0.0912,292.3558864,27.2524281,0.6066667,t8_f5_c3,0.0,19.1623,0.1517,639120240.0,False,False,False,bulk_1.0.0,0.0,6.29149894015015e+17,ZTF18abvnwzz
ztf,58382.18899310008,628188994015015059,1,628188994015,20.282463,1,628,2.8737998,18.91534,18.845,0.114305414,0.1029,292.3558826,27.25238,0.64,t8_f5_c3,0.0,18.8502,0.1327,639120140.0,False,False,False,bulk_1.0.0,0.0,6.29149894015015e+17,ZTF18abvnwzz
ztf,58383.14989579981,629149894015015015,2,629149894015,20.122105,1,629,2.829703,18.841475,18.7572,0.09294639,0.1177,292.3558846,27.2523836,0.68,t8_f5_c3,0.0,18.9157,0.1759,639120240.0,False,False,False,bulk_1.0.0,0.0,6.30229594015015e+17,ZTF18abvnwzz
ztf,58383.227916699834,629227914015015067,1,629227914015,19.987143,1,629,2.9017606,18.992584,19.324,0.14784805,0.2067,292.3558943,27.2523935,0.61,t8_f5_c3,0.0,19.1208,0.2209,639120140.0,False,False,False,bulk_1.0.0,0.0,6.30229594015015e+17,ZTF18abvnwzz
ztf,58384.22959489981,630229594015015031,1,630229594015,19.89748,1,630,2.982271,19.109701,18.9858,0.16739257,0.1716,292.3559162,27.2523827,0.5466667,t8_f5_c3,0.0,18.9598,0.2152,639120140.0,False,False,False,bulk_1.0.0,0.0,6.33126254015015e+17,ZTF18abvnwzz
ztf,58385.12826390006,631128264015015050,1,631128264015,19.843283,1,631,2.887637,19.205126,19.3357,0.13713367,0.2276,292.3558903,27.2524022,0.63666666,t8_f5_c3,0.0,19.2466,0.2697,639120140.0,False,False,False,bulk_1.0.0,0.0,6.33126254015015e+17,ZTF18abvnwzz
ztf,58385.20842589997,631208424015015013,2,631208424015,20.102823,1,631,2.8980038,19.00362,19.0562,0.11811317,0.1576,292.3559171,27.2524501,0.5833333,t8_f5_c3,0.0,18.8585,0.1695,639120240.0,False,False,False,bulk_1.0.0,0.0,6.33126254015015e+17,ZTF18abvnwzz
ztf,58387.126250000205,633126254015015013,2,633126254015,20.4871,1,633,2.8713686,19.19789,19.4212,0.113863654,0.1571,292.3559078,27.2524379,0.62,t8_f5_c3,0.0,19.5646,0.233,639120240.0,False,False,False,bulk_1.0.0,0.0,6.33170594015015e+17,ZTF18abvnwzz
ztf,58387.17059030011,633170594015015056,1,633170594015,20.174889,1,633,3.057995,19.382856,19.2735,0.1870876,0.1689,292.3559331,27.252337,0.51,t8_f5_c3,0.0,19.5894,0.2907,639120140.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abvnwzz
ztf,59111.12868059985,1357128684015015025,1,1357128684015,20.842257,1,1357,2.8605182,18.16434,18.1234,0.06283271,0.0326,292.3558841,27.252408,0.8585714,t17_f5_c3,0.999997,18.1274,0.0413,639120140.0,False,False,False,bulk_1.0.0,0.0,1.360184794015015e+18,ZTF18abvnwzz
ztf,59111.21606480004,1357216064015015021,2,1357216064015,20.333351,1,1357,2.8520274,18.091768,18.162,0.050438024,0.0554,292.3558983,27.2524213,0.88,t17_f5_c3,0.99999917,18.1181,0.0686,639120240.0,False,False,False,bulk_1.0.0,0.0,1.360184794015015e+18,ZTF18abvnwzz
ztf,59114.18479169998,1360184794015015021,2,1360184794015,20.355658,1,1360,2.914612,18.226515,18.1272,0.052613907,0.0529,292.3559166,27.2524233,0.86714286,t17_f5_c3,1.0,18.1101,0.0671,639120240.0,False,False,False,bulk_1.0.0,0.0,1.371186204015015e+18,ZTF18abvnwzz
ztf,59123.106921299826,1369106924015015024,1,1369106924015,19.864307,1,1369,2.8271246,19.117477,18.9387,0.18167228,0.157,292.3558718,27.2523984,0.6357143,t17_f5_c3,0.99903244,18.9641,0.2065,639120140.0,False,False,False,bulk_1.0.0,0.0,1.371186204015015e+18,ZTF18abvnwzz
ztf,59123.27062499989,1369270624015015019,2,1369270624015,19.230307,1,1369,2.8453424,18.727978,18.773,0.17288022,0.2525,292.3559034,27.2524653,0.61714286,t17_f5_c3,0.9999634,19.1818,0.473,639120240.0,False,False,False,bulk_1.0.0,0.0,1.371186204015015e+18,ZTF18abvnwzz
ztf,59125.11236110004,1371112364015015007,2,1371112364015,20.287605,1,1371,2.7949243,19.306965,19.4146,0.12139057,0.1842,292.3558796,27.2524402,0.6642857,t17_f5_c3,0.9999838,19.4992,0.2583,639120240.0,False,False,False,bulk_1.0.0,0.0,1.371186204015015e+18,ZTF18abvnwzz
ztf,59125.186203700025,1371186204015015018,1,1371186204015,20.092388,1,1371,2.9053285,19.402838,19.2274,0.17020819,0.1691,292.3558982,27.252426,0.54142857,t17_f5_c3,0.9999682,19.0528,0.1853,639120140.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abvnwzz
ztf,60185.1826272998,2431182624015015023,1,2431182624015,20.039999,1,2431,2.8920565,17.91482,17.9871,0.066395104,0.0585,292.3558965,27.2524216,0.9185714,t17_f5_c3,1.0,18.0105,0.0765,639120140.0,True,False,False,1.2.0,0.0,,ZTF18abvnwzz
ztf,60185.212314799894,2431212314015015014,2,2431212314015,20.14762,1,2431,2.8967419,17.856173,17.7945,0.04660367,0.0483,292.3559124,27.2524297,0.8742857,t17_f5_c3,0.9999925,17.7717,0.0609,639120240.0,True,False,False,1.2.0,0.0,,ZTF18abvnwzz
