tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58375.450069400016,621450063115015004,1,621450063115,20.897356,1,621,2.113632,20.318268,20.6213,0.17591551,0.3132,59.3392035,46.6393526,0.6533333,t8_f5_c3,0.0,20.6343,0.3997,742120131.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abwbegs
ztf,58488.220821800176,734220823115015026,1,734220823115,20.270624,1,734,2.0994678,18.721973,18.8943,0.098645166,0.122,59.3392769,46.6393159,0.5366667,t8_f5_c3,0.0,19.0141,0.172,742120131.0,False,False,False,bulk_1.0.0,0.0,7.36201273115015e+17,ZTF18abwbegs
ztf,58488.255393499974,734255393115015008,2,734255393115,20.307928,1,734,2.1754398,18.44171,18.4997,0.05422115,0.081,59.3392866,46.6393466,0.71666664,t8_f5_c3,0.0,18.3967,0.0928,742120231.0,False,False,False,bulk_1.0.0,0.0,7.36201273115015e+17,ZTF18abwbegs
ztf,58490.201273099985,736201273115015002,2,736201273115,20.438784,1,736,2.396795,20.243893,20.4503,0.20760088,0.3974,59.3393447,46.6393967,0.6933333,t8_f5_c3,0.0,20.633,0.5964,742120231.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abwbegs
ztf,58582.1337036998,828133703115015000,1,828133703115,18.85963,1,828,2.379961,18.836155,18.6437,0.213868,0.3342,59.3393722,46.6393659,0.35142857,t15_f5_c3,0.0,18.7619,0.4781,742120131.0,False,False,False,bulk_1.0.0,0.0,8.32143553115015e+17,ZTF18abwbegs
ztf,58582.17657409981,828176573115015001,2,828176573115,19.142773,1,828,2.16896,18.341412,18.3424,0.0976358,0.1864,59.3392733,46.6393491,0.49857143,t15_f5_c3,0.0,18.3417,0.2385,742120231.0,False,False,False,bulk_1.0.0,0.0,8.32143553115015e+17,ZTF18abwbegs
ztf,58585.139942099806,831139943115015004,2,831139943115,19.237745,1,831,2.040172,18.891172,18.6694,0.2151099,0.1901,59.3393187,46.6392807,0.24142857,t15_f5_c3,0.0,18.6253,0.2337,742120231.0,False,False,False,bulk_1.0.0,0.0,8.32143553115015e+17,ZTF18abwbegs
ztf,58585.17505790014,831175053115015000,1,831175053115,18.9569,1,831,2.31184,19.121,19.4936,0.303482,0.414,59.3392724,46.6393873,0.29,t15_f5_c3,,19.5544,0.5621,,False,False,False,bulk_1.0.0,0.0,8.32143553115015e+17,ZTF18abwbegs
ztf,58586.14355320018,832143553115015006,2,832143553115,19.224514,1,832,2.0553985,19.201208,19.0903,0.18203788,0.2936,59.3393282,46.6392808,0.29714286,t15_f5_c3,0.0,19.2807,0.4479,742120231.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abwbegs
ztf,58735.49458329985,981494583115015004,2,981494583115,20.539154,1,981,2.3706229,20.15639,20.1504,0.159378,0.2881,59.3393901,46.6393605,0.63714284,t17_f5_c3,0.98205715,20.1275,0.3543,742120231.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18abwbegs
ztf,58846.22425930016,1092224253115015006,1,1092224253115,20.54346,1,1092,2.0433745,19.066315,19.0034,0.08152904,0.0914,59.3392235,46.6393216,0.9028571,t17_f5_c3,0.99999917,18.9788,0.1128,742120131.0,False,False,False,bulk_1.0.0,0.0,1.095159093115015e+18,ZTF18abwbegs
ztf,58846.26442130003,1092264423115015006,2,1092264423115,20.241005,1,1092,2.1921227,18.810026,18.8867,0.054106645,0.1154,59.3393213,46.6393342,0.89,t17_f5_c3,0.9998532,18.7476,0.1284,742120231.0,False,False,False,bulk_1.0.0,0.0,1.095159093115015e+18,ZTF18abwbegs
ztf,58849.098240700085,1095098243115015006,1,1095098243115,20.569248,1,1095,2.1703649,18.592436,18.753,0.060330417,0.0818,59.3392597,46.6393483,0.87285715,t17_f5_c3,0.99998057,18.6758,0.0963,742120131.0,False,False,False,bulk_1.0.0,0.0,1.095159093115015e+18,ZTF18abwbegs
ztf,58849.14012729982,1095140123115015010,1,1095140123115,20.481665,1,1095,2.1402864,18.750038,18.7761,0.061159484,0.0841,59.3392692,46.6393359,0.9185714,t17_f5_c3,0.99999976,18.6833,0.0976,742120131.0,False,False,False,bulk_1.0.0,0.0,1.095159093115015e+18,ZTF18abwbegs
ztf,58849.159097199794,1095159093115015002,2,1095159093115,20.406982,1,1095,2.1456444,18.513073,18.5114,0.048503347,0.078,59.3392749,46.6393431,0.8842857,t17_f5_c3,0.99941796,18.3913,0.0879,742120231.0,False,False,False,bulk_1.0.0,0.0,1.096167033115015e+18,ZTF18abwbegs
ztf,58849.18017360009,1095180173115015003,2,1095180173115,20.349928,1,1095,2.1497874,18.237038,18.2506,0.033438973,0.062,59.3392844,46.6393394,0.9,t17_f5_c3,0.99998367,18.2276,0.0762,742120231.0,False,False,False,bulk_1.0.0,0.0,1.096167033115015e+18,ZTF18abwbegs
ztf,58850.16703699995,1096167033115015013,1,1096167033115,20.133871,1,1096,2.0488732,19.016504,18.9197,0.08197076,0.1008,59.3393252,46.6392765,0.58,t17_f5_c3,0.99972355,18.7984,0.1147,742120131.0,False,False,False,bulk_1.0.0,0.0,1.097140593115015e+18,ZTF18abwbegs
