tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58425.08603010001,671086030815015052,2,671086030815,19.654518,1,671,0.027292136,16.452188,16.328259,16.4993,0.043873012,0.038704526,0.039140403,0.0234,283.732855,-5.3797152,0.73,t8_f5_c3,0.0,16.4821,0.0291,436120208.0,False,True,False,bulk_1.0.0,0.0,6.73081990815015e+17,ZTF18accecrp
ztf,58427.081990700215,673081990815015056,2,673081990815,17.931095,1,673,0.07534884,16.337934,16.225765,16.4999,0.04790079,0.04287276,0.04319915,0.1011,283.7328626,-5.3797254,0.67,t8_f5_c3,0.0,16.5868,0.1403,436120208.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accecrp
ztf,58575.459919000044,821459910815015151,2,821459910815,20.141562,1,821,0.1887585,18.761484,18.001139,18.8175,0.0884462,0.03447403,0.04390777,0.1263,283.7329018,-5.3797125,0.39285713,t15_f5_c3,0.0,18.8791,0.1709,436120208.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accecrp
ztf,58711.2943519,957294350815015042,2,957294350815,19.658432,1,957,0.09727559,18.581821,17.908236,18.4752,0.07613916,0.03245239,0.04094244,0.1431,283.7328735,-5.3797258,0.73285717,t17_f5_c3,0.9999981,18.678,0.2212,436120208.0,False,True,False,bulk_1.0.0,0.0,9.60343040815015e+17,ZTF18accecrp
ztf,58714.34304400021,960343040815015056,2,960343040815,19.730503,1,960,0.07862623,18.569792,17.90175,18.6318,0.09026467,0.04200492,0.048786674,0.1536,283.7328265,-5.3797111,0.7114286,t17_f5_c3,0.99999964,18.8748,0.246,436120208.0,False,True,False,bulk_1.0.0,0.0,9.63306480815015e+17,ZTF18accecrp
ztf,58717.306481500156,963306480815015050,2,963306480815,19.625101,1,963,0.12582862,18.503881,17.865631,18.4848,0.07303299,0.032709897,0.040571287,0.1311,283.7328251,-5.3797367,0.6742857,t17_f5_c3,0.99954236,18.4977,0.17,436120208.0,False,True,False,bulk_1.0.0,0.0,9.78210620815015e+17,ZTF18accecrp
ztf,58720.327175899874,966327170815015046,2,966327170815,19.895222,1,966,0.07247221,18.41065,17.812855,18.4102,0.0710343,0.033984113,0.040959023,0.1084,283.7328316,-5.3796996,0.74857146,t17_f5_c3,1.0,18.3868,0.1355,436120208.0,False,True,False,bulk_1.0.0,0.0,9.78210620815015e+17,ZTF18accecrp
ztf,58723.32782409992,969327820815015041,2,969327820815,20.201332,1,969,0.029460182,18.36829,17.788227,18.4619,0.08176159,0.042389467,0.047920827,0.0895,283.7328457,-5.3797227,0.72571427,t17_f5_c3,1.0,18.4669,0.1142,436120208.0,False,True,False,bulk_1.0.0,0.0,9.78210620815015e+17,ZTF18accecrp
ztf,58732.21062499983,978210620815015058,2,978210620815,19.814138,1,978,0.22472148,18.039867,17.583937,18.1166,0.09377872,0.058773547,0.061621472,0.0893,283.7328992,-5.3796758,0.7171429,t17_f5_c3,0.9999955,18.1572,0.1183,436120208.0,False,True,False,bulk_1.0.0,0.0,1.004124600815015e+18,ZTF18accecrp
ztf,58747.257696799934,993257690815015072,2,993257690815,19.770576,1,993,0.09360362,17.517727,17.21414,17.5875,0.056393683,0.040552292,0.042637873,0.0568,283.732859,-5.3797335,0.7828571,t17_f5_c3,1.0,17.6206,0.0746,436120208.0,False,True,False,bulk_1.0.0,0.0,1.004124600815015e+18,ZTF18accecrp
ztf,58758.124606499914,1004124600815015082,2,1004124600815,20.028646,1,1004,0.10770355,17.041662,16.836409,17.1131,0.05046669,0.04072499,0.041773725,0.0294,283.7328705,-5.3797317,0.79,t17_f5_c3,0.9999999,17.1045,0.0368,436120208.0,False,True,False,bulk_1.0.0,0.0,1.031107320815015e+18,ZTF18accecrp
ztf,58761.128946799785,1007128940815015102,2,1007128940815,19.826155,1,1007,0.042108253,16.865965,16.689018,16.9439,0.05768328,0.048331015,0.049008522,0.0311,283.7328583,-5.3797059,0.7814286,t17_f5_c3,0.9999986,16.9086,0.0382,436120208.0,False,True,False,bulk_1.0.0,0.0,1.031107320815015e+18,ZTF18accecrp
ztf,58785.1073264,1031107320815015026,1,1031107320815,19.981632,1,1031,2.0980208,19.464382,,19.3431,0.13666135,,,0.1936,283.7328497,-5.3797314,0.68,t17_f5_c3,0.9999908,19.3017,0.239,436120108.0,False,False,False,bulk_1.0.0,0.0,1.036099960815015e+18,ZTF18accecrp
ztf,58790.099965299945,1036099960815015032,1,1036099960815,19.843702,1,1036,1.9379373,19.337473,,19.1886,0.16493767,,,0.2006,283.7328053,-5.3797211,0.5157143,t17_f5_c3,0.9999013,19.4111,0.3155,436120108.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF18accecrp
ztf,59073.299618099816,1319299610815015043,2,1319299610815,20.359783,1,1319,0.09638829,18.72363,17.982183,18.8376,0.085289344,0.033795994,0.04308396,0.1075,283.732874,-5.379721,0.6642857,t17_f5_c3,0.99999714,18.9039,0.1461,436120208.0,False,True,False,bulk_1.0.0,0.0,1.325212150815015e+18,ZTF18accecrp
ztf,59079.21215280006,1325212150815015027,2,1325212150815,20.483347,1,1325,0.10067391,18.71658,17.978615,18.9073,0.077848986,0.029104413,0.03945184,0.1054,283.7328694,-5.3797281,0.70714283,t17_f5_c3,0.99993205,18.7932,0.1209,436120208.0,False,True,False,bulk_1.0.0,0.0,1.3441688808150152e+18,ZTF18accecrp
ztf,59098.16888889996,1344168880815015091,2,1344168880815,20.39375,1,1344,0.12354757,17.909754,17.496706,18.0145,0.063293055,0.039747737,0.043265022,0.0497,283.7328833,-5.379722,0.78571427,t17_f5_c3,0.9999987,18.0041,0.0623,436120208.0,False,True,False,bulk_1.0.0,0.0,1.370227930815015e+18,ZTF18accecrp
ztf,59111.21417819988,1357214170815015051,2,1357214170815,19.972641,1,1357,0.055256426,16.920938,16.735546,16.9752,0.040775556,0.033313524,0.034374997,0.0276,283.7328453,-5.3797265,0.8057143,t17_f5_c3,1.0,16.9615,0.0343,436120208.0,False,True,False,bulk_1.0.0,0.0,1.370227930815015e+18,ZTF18accecrp
ztf,59124.227939799894,1370227930815015040,2,1370227930815,19.174488,1,1370,0.12417835,15.965692,15.884904,15.9873,0.035934128,0.033131894,0.0333574,0.0221,283.7328413,-5.3797449,0.8,t17_f5_c3,1.0,15.962,0.0274,436120208.0,False,True,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59128.145995399915,1374145990815015048,2,1374145990815,20.184837,1,1374,0.06710615,15.865092,15.791217,15.9187,0.04153008,0.038635336,0.038798276,0.0098,283.7328652,-5.37972,0.77,t17_f5_c3,0.9999988,15.9191,0.0119,436120208.0,False,True,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59128.16547450004,1374165470815015043,1,1374165470815,20.42489,1,1374,2.0829003,19.526657,,19.6755,0.18463625,,,0.1951,283.7328539,-5.3797485,0.66,t17_f5_c3,0.9997309,19.9241,0.3142,436120108.0,False,False,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59130.130381899886,1376130380815015050,2,1376130380815,20.339886,1,1376,0.085035145,15.784019,15.715295,15.8508,0.034359068,0.032081082,0.032251608,0.0083,283.7328703,-5.3797142,0.7814286,t17_f5_c3,1.0,15.8478,0.0099,436120208.0,False,True,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59130.18460649997,1376184600815015084,1,1376184600815,20.107546,1,1376,1.9838011,19.32412,,19.2398,0.14096883,,,0.1458,283.7328243,-5.3797673,0.62714285,t17_f5_c3,0.9999976,19.1933,0.1789,436120108.0,False,False,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59137.10709490022,1383107090815015057,2,1383107090815,20.32223,1,1383,0.057195358,15.543992,15.488557,15.606,0.043443017,0.041192982,0.041280583,0.0071,283.7328545,-5.3797249,0.73714286,t17_f5_c3,0.99999857,15.598,0.0084,436120208.0,False,True,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59137.14813659992,1383148130815015024,1,1383148130815,20.366268,1,1383,2.12264,19.052376,,19.0338,0.098608226,,,0.1092,283.7328517,-5.3796991,0.89285713,t17_f5_c3,0.9999997,19.0377,0.14,436120108.0,False,False,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59139.10714119999,1385107140815015028,1,1385107140815,20.272097,1,1385,2.1206381,18.97606,,19.1003,0.08198901,,,0.1243,283.7328549,-5.3797187,0.9071429,t17_f5_c3,0.9999994,18.9937,0.1442,436120108.0,False,False,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59139.12990739988,1385129900815015037,2,1385129900815,20.185535,1,1385,0.045793172,15.507759,15.454099,15.5565,0.031500313,0.02986803,0.029981326,0.0074,283.7328612,-5.3797106,0.77,t17_f5_c3,1.0,15.5516,0.0088,436120208.0,False,True,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59143.17268519988,1389172680815015021,1,1389172680815,20.001225,1,1389,2.0859976,18.800652,,18.8553,0.082880266,,,0.1252,283.7328511,-5.3797332,0.92142856,t17_f5_c3,0.9999994,18.8939,0.1659,436120108.0,False,False,False,bulk_1.0.0,0.0,1.391127140815015e+18,ZTF18accecrp
ztf,59145.127141200006,1391127140815015016,1,1391127140815,19.740261,1,1391,2.2952316,19.001799,,18.8772,0.12620376,,,0.139,283.7329184,-5.3797689,0.68,t17_f5_c3,0.99999166,18.8206,0.1692,436120108.0,False,False,False,bulk_1.0.0,0.0,1.403149760815015e+18,ZTF18accecrp
ztf,59151.08680560021,1397086800815015144,2,1397086800815,19.49819,1,1397,0.06674202,15.330597,15.284848,15.3968,0.03818564,0.036542203,0.036610067,0.0096,283.7328598,-5.379724,0.7285714,t17_f5_c3,0.9999999,15.4008,0.012,436120208.0,False,True,False,bulk_1.0.0,0.0,1.403149760815015e+18,ZTF18accecrp
ztf,59151.13082179986,1397130820815015025,1,1397130820815,19.395575,1,1397,2.347505,18.80181,,18.5925,0.10418842,,,0.1691,283.7329332,-5.3797597,0.8814286,t17_f5_c3,0.99999976,18.5937,0.2171,436120108.0,False,False,False,bulk_1.0.0,0.0,1.403149760815015e+18,ZTF18accecrp
ztf,59153.131458300166,1399131450815015019,1,1399131450815,18.98845,1,1399,1.7864463,18.843973,,18.7243,0.18027358,,,0.2511,283.7327668,-5.3797462,0.75,t17_f5_c3,0.99999905,19.0187,0.4228,436120108.0,False,False,False,bulk_1.0.0,0.0,1.403149760815015e+18,ZTF18accecrp
ztf,59155.128622699995,1401128620815015022,1,1401128620815,19.194418,1,1401,2.0613241,18.909735,,18.9826,0.131675,,,0.2748,283.7328483,-5.3797484,0.8442857,t17_f5_c3,0.9999994,19.0894,0.3897,436120108.0,False,False,False,bulk_1.0.0,0.0,1.403149760815015e+18,ZTF18accecrp
ztf,59157.14976850012,1403149760815015028,1,1403149760815,19.207935,1,1403,2.196284,18.881348,,18.9443,0.14567678,,,0.2608,283.7328768,-5.3797087,0.8,t17_f5_c3,0.9999917,18.9857,0.3478,436120108.0,False,False,False,bulk_1.0.0,0.0,1.4110767808150152e+18,ZTF18accecrp
ztf,59165.07678239979,1411076780815015073,2,1411076780815,19.824244,1,1411,0.04978688,15.596462,15.538354,15.6587,0.039885756,0.037702337,0.03780721,0.0099,283.7328602,-5.3797227,0.79142857,t17_f5_c3,0.9999676,15.6506,0.0122,436120208.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accecrp
ztf,59252.56303239986,1498563030815015054,2,1498563030815,19.458313,1,1498,0.29891804,17.6786,17.333519,17.7364,0.05623273,0.03818946,0.040921975,0.0829,283.7329332,-5.3797146,0.75714284,t17_f5_c3,1.0,17.7757,0.11,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59252.56541670021,1498565410815015069,2,1498565410815,19.199451,1,1498,0.26687983,17.576494,17.258276,17.6743,0.049619835,0.034378104,0.037014175,0.0959,283.7329171,-5.3797454,0.7285714,t17_f5_c3,1.0,17.7324,0.1297,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59253.562384299934,1499562380815015075,2,1499562380815,19.5111,1,1499,0.209072,17.6418,17.306616,17.7403,0.067993,0.04782901,0.049933314,0.0778,283.7329042,-5.3797371,0.744286,t17_f5_c3,,17.7229,0.0979,,False,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59253.56481479993,1499564810815015123,2,1499564810815,19.212826,1,1499,0.20956276,17.60633,17.280455,17.7112,0.056132197,0.039149348,0.041577812,0.093,283.7329,-5.3797398,0.7,t17_f5_c3,0.99999964,17.595,0.1071,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59253.56966440007,1499569660815015049,2,1499569660815,18.794123,1,1499,0.24230412,17.59217,17.269949,17.4052,0.07212724,0.051781066,0.053605635,0.1032,283.7328915,-5.3797659,0.6585714,t17_f5_c3,0.9999988,17.3201,0.1225,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59255.5686458,1501568640815015115,2,1501568640815,19.032162,1,1501,0.23828365,17.67033,17.327494,17.796,0.07980011,0.056325946,0.058192782,0.1196,283.7329113,-5.3797405,0.70285714,t17_f5_c3,0.99999976,17.8359,0.1592,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59256.56101850001,1502561010815015264,2,1502561010815,19.326136,1,1502,0.18328841,17.74087,17.378477,17.7429,0.07084065,0.048367478,0.05073708,0.0847,283.7328944,-5.3797353,0.6457143,t17_f5_c3,1.0,17.7908,0.1133,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59256.568171299994,1502568170815015047,2,1502568170815,18.85947,1,1502,0.18121362,17.699303,17.348545,17.7267,0.101528585,0.071971945,0.073499665,0.1333,283.7328993,-5.3797187,0.68285716,t17_f5_c3,0.9999999,17.7177,0.1698,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59264.540092600044,1510540090815015077,2,1510540090815,19.7254,1,1510,0.249725,17.9325,17.512203,18.2135,0.082617,0.053353496,0.056098394,0.0971,283.7329183,-5.3797231,0.618571,t17_f5_c3,,18.1364,0.1157,,False,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59264.54307870008,1510543070815015161,2,1510543070815,19.69963,1,1510,0.21326916,17.956831,17.528664,17.9425,0.06359118,0.039089084,0.04286771,0.0764,283.7329022,-5.3797409,0.7442857,t17_f5_c3,0.9999995,17.9984,0.1028,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59264.549050900154,1510549050815015052,2,1510549050815,19.8936,1,1510,0.216408,17.9861,17.548307,18.0585,0.074383,0.046357334,0.049700074,0.0764,283.7329077,-5.3797252,0.752857,t17_f5_c3,,18.04,0.096,,False,True,False,correction_0.0.1,0.0,,ZTF18accecrp
ztf,59264.55203700019,1510552030815015077,2,1510552030815,19.699732,1,1510,0.15668112,17.974293,17.540405,17.9939,0.057480533,0.034194235,0.03854478,0.0815,283.7328901,-5.3797348,0.73571426,t17_f5_c3,0.9999997,17.9577,0.1009,436120208.0,True,True,False,correction_0.0.1,0.0,,ZTF18accecrp
