tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58426.12208329979,672122084815015010,2,672122084815,18.228703,1,672,0.22519217,16.90817,15.992324,16.9816,0.10318353,0.043442275,0.044388622,0.1445,317.7481483,44.1398925,0.56333333,t8_f5_c3,0.0,17.148,0.2153,730120248.0,False,True,False,bulk_1.0.0,0.0,6.72122546015015e+17,ZTF18accpbrp
ztf,58426.122546299826,672122546015015003,2,672122546015,18.027666,1,672,0.1888713,16.929277,15.978774,17.088,0.10553653,0.043095246,0.04397454,0.1755,317.7481838,44.1398751,0.72333336,t8_f5_c3,0.0,17.2,0.2488,731120260.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accpbrp
ztf,58760.215104199946,1006215106015015003,2,1006215106015,20.415083,1,1006,0.09526041,18.647057,16.415264,19.1008,0.14839487,0.0137780905,0.01899773,0.1589,317.7481741,44.1399306,0.68,t17_f5_c3,0.8259171,18.7664,0.1479,731120260.0,False,True,False,bulk_1.0.0,0.0,1.006224806015015e+18,ZTF18accpbrp
ztf,58760.22480319999,1006224806015015003,2,1006224806015,20.547184,1,1006,0.2219324,18.279213,16.360611,18.5694,0.12356115,0.017054088,0.021107707,0.0948,317.7482363,44.139864,0.6557143,t17_f5_c3,0.9935138,18.3558,0.0976,731120260.0,False,True,False,bulk_1.0.0,0.0,1.006236221415015e+18,ZTF18accpbrp
ztf,58760.236226900015,1006236221415015014,1,1006236221415,20.624445,1,1006,0.29016855,19.740543,17.799232,19.9739,0.17680903,0.019220134,0.029578773,0.2516,317.7482414,44.1398406,0.82,t17_f5_c3,0.9999801,19.8911,0.3001,769120114.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accpbrp
ztf,59109.17847219994,1355178476015015003,2,1355178476015,20.1665,1,1355,0.371799,19.2428,16.475609,19.6891,0.253075,0.014153455,0.019786673,0.3111,317.7481391,44.1398303,0.61,t17_f5_c3,,20.4954,0.829,,False,True,False,bulk_1.0.0,0.0,1.361236956015015e+18,ZTF18accpbrp
ztf,59115.23695599986,1361236956015015000,1,1361236956015,20.729843,1,1361,0.4549041,19.475843,17.731064,19.5685,0.1307791,0.016969273,0.026219621,0.1558,317.7481848,44.1398097,0.8685714,t17_f5_c3,0.99999124,19.2577,0.1504,731120160.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18accpbrp
ztf,59376.40778939985,1622407786015015003,1,1622407786015,20.934385,1,1622,0.24474142,18.087658,17.276768,18.1919,0.050601814,0.02004789,0.02397784,0.0416,317.7482022,44.1398697,0.93285716,t17_f5_c3,0.9999995,18.1788,0.0516,731120160.0,True,True,False,correction_0.0.1,0.0,,ZTF18accpbrp
ztf,59376.42887730012,1622428874815015002,2,1622428874815,19.945652,1,1622,0.48317948,18.584835,16.440767,19.2985,0.13707411,0.013118235,0.019025162,0.2311,317.7483212,44.139829,0.62142855,t17_f5_c3,0.98705524,19.1725,0.259,730120248.0,True,True,False,correction_0.0.1,0.0,,ZTF18accpbrp
ztf,59673.49420139985,1919494201415025028,2,1919494201415,19.5348,1,1919,0.254746,18.7046,16.430359,19.5789,0.301489,0.02995172,0.03711721,0.3447,317.7481668,44.1398629,0.442857,t17_f5_c3,,18.8687,0.2289,,False,True,False,correction_1.0.6,0.0,1.9434070060150152e+18,ZTF18accpbrp
ztf,59697.407002300024,1943407006015015146,2,1943407006015,19.948986,1,1943,0.7201625,19.082245,16.462164,18.7612,0.15395693,0.0018644264,0.013783729,0.1597,317.7481327,44.1397307,0.45142856,t17_f5_c3,0.00411087,18.3879,0.1437,731120260.0,True,True,False,correction_1.0.6,0.0,,ZTF18accpbrp
ztf,60220.306840300094,2466306846015015003,2,2466306846015,19.74763,1,2466,0.47235554,19.04023,16.458336,19.16,0.1993291,0.012509211,0.018484715,0.2409,317.7481101,44.1398155,0.5542857,t17_f5_c3,0.9197601,19.4144,0.3883,731120260.0,True,True,False,1.2.1,0.0,,ZTF18accpbrp
ztf,60554.206666700076,2800206664815010015,2,2800206664815,20.46966,-1,2800,0.5368833,18.974749,16.732626,18.618,0.17158191,0.012180958,0.02175819,0.0983,317.7480717,44.1400517,0.5757143,t17_f5_c3,0.10090396,18.668,0.1302,730120248.0,True,True,False,24.5.1,0.0,,ZTF18accpbrp
ztf,60608.173252299894,2854173256015010005,2,2854173256015,20.2052,-1,2854,0.518503,18.84,16.706392,18.4321,0.207955,0.023596682,0.029142484,0.0923,317.7481531,44.1400653,0.522857,t17_f5_c3,,18.481,0.1222,,False,True,False,25.0.0,0.0,2.873157896015015e+18,ZTF18accpbrp
ztf,60627.157893499825,2873157896015015007,1,2873157896015,19.181309,1,2873,0.47801432,18.384647,17.40745,18.4571,0.13042499,0.050907306,0.05302512,0.1368,317.7481544,44.1398087,0.6342857,t17_f5_c3,0.99999976,18.2815,0.1491,731120160.0,True,True,False,25.0.0,0.0,,ZTF18accpbrp
ztf,60627.15836809995,2873158364815015001,1,2873158364815,18.795628,1,2873,0.46008843,18.425074,17.464153,18.3302,0.20182142,0.08282406,0.08329125,0.1504,317.7482192,44.1398099,0.39285713,t17_f5_c3,0.9991423,18.2292,0.1755,730120148.0,True,True,False,25.0.0,0.0,,ZTF18accpbrp
ztf,60634.121944400016,2880121946015015004,2,2880121946015,20.0127,1,2880,0.95524,19.5466,16.496529,19.9317,0.262812,0.007213984,0.01583493,0.4002,317.7481762,44.1396578,0.454286,t17_f5_c3,,19.5107,0.345,,False,True,False,25.0.0,0.0,2.891097821415015e+18,ZTF18accpbrp
ztf,60645.096874999814,2891096874815015004,1,2891096874815,19.4603,1,2891,0.520734,18.736,17.581894,18.4773,0.176917,0.060318157,0.061112065,0.1404,317.7480549,44.1398436,0.758571,t17_f5_c3,,18.5294,0.189,,False,True,False,25.0.0,0.0,2.891097821415015e+18,ZTF18accpbrp
ztf,60645.09734949982,2891097346015015009,1,2891097346015,19.2965,1,2891,0.420492,18.6612,17.51154,18.7018,0.143288,0.046939768,0.04969883,0.1997,317.7481528,44.1398228,0.858571,t17_f5_c3,,18.8452,0.2922,,False,True,False,25.0.0,0.0,2.891097821415015e+18,ZTF18accpbrp
ztf,60645.09782409994,2891097821415015020,1,2891097821415,19.241072,1,2891,0.3984083,18.824995,17.582016,18.792,0.12324316,0.034639057,0.03922578,0.2282,317.74819,44.1397987,0.9114286,t17_f5_c3,0.99999464,18.9024,0.3239,769120114.0,True,True,False,25.0.0,0.0,,ZTF18accpbrp
ztf,60821.36512729991,3067365126015010014,2,3067365126015,20.438295,-1,3067,0.68641585,18.980392,16.688093,18.6325,0.20660123,0.018520277,0.025015721,0.102,317.7483013,44.1401072,0.46857142,t17_f5_c3,0.02171898,18.4198,0.1067,731120260.0,True,True,False,27.5.6,0.0,,ZTF18accpbrp
