tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58428.333159700036,674333150015010004,1,674333150015,20.65464,-1,674,0.4406272,16.106844,14.641315,16.4559,0.07483653,100.0,0.019404495,0.012,58.2524751,-11.8606559,0.52666664,t8_f5_c3,0.0,16.4509,0.0128,352120100.0,False,True,False,bulk_1.0.0,0.0,6.77336930015015e+17,ZTF18acebvsj
ztf,58431.336932899896,677336930015015001,2,677336930015,19.15746,1,677,0.5337382,16.174324,13.668276,16.2747,0.07121271,100.0,0.007081711,0.0213,58.2526743,-11.8607547,0.73333335,t8_f5_c3,0.0,16.1888,0.0223,352120200.0,False,True,False,bulk_1.0.0,0.0,6.80305280015015e+17,ZTF18acebvsj
ztf,58434.30528939981,680305280015015002,2,680305280015,19.408651,1,680,1.0191088,16.484533,13.695446,16.8773,0.08201803,100.0,0.0062845536,0.0355,58.2527952,-11.8608356,0.63666666,t8_f5_c3,0.0,16.8583,0.039,352120200.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,58711.49652779987,957496520015015000,1,957496520015,19.276178,1,957,0.84290147,17.520184,14.331821,17.7535,0.14339904,100.0,0.007606791,0.105,58.252381,-11.8607377,0.34571427,t17_f5_c3,0.00158101,17.7815,0.1326,352120100.0,False,True,False,bulk_1.0.0,0.0,9.63441930015015e+17,ZTF18acebvsj
ztf,58717.44193289988,963441930015015000,1,963441930015,19.125086,1,963,0.6978826,17.240683,14.3150425,17.2342,0.13854071,100.0,0.009360979,0.0647,58.2524299,-11.8607401,0.5885714,t17_f5_c3,0.00036073,17.1175,0.071,352120100.0,False,True,False,bulk_1.0.0,0.0,9.84523640015015e+17,ZTF18acebvsj
ztf,58727.46180560021,973461800015015000,1,973461800015,20.460657,1,973,0.6645867,17.343931,14.321717,17.6824,0.12740749,100.0,0.007876069,0.0552,58.2524312,-11.8607237,0.35285714,t17_f5_c3,0.20376405,17.7188,0.0616,352120100.0,False,True,False,bulk_1.0.0,0.0,9.84523640015015e+17,ZTF18acebvsj
ztf,58732.481377299875,978481370015015000,2,978481370015,20.388,1,978,0.161416,16.5936,13.703426,16.6557,0.201691,100.0,0.014080475,0.0279,58.2525733,-11.8605778,0.291429,t17_f5_c3,,16.6518,0.0308,,False,True,False,bulk_1.0.0,0.0,9.84523640015015e+17,ZTF18acebvsj
ztf,58738.52364580007,984523640015015000,2,984523640015,19.600576,1,984,0.7042356,16.650269,13.707288,16.5974,0.0660458,100.0,0.004391905,0.0332,58.2527938,-11.8605867,0.42857143,t17_f5_c3,0.01984319,16.6695,0.0414,352120200.0,False,True,False,bulk_1.0.0,0.0,9.91459730015015e+17,ZTF18acebvsj
ztf,58745.45973380003,991459730015015000,2,991459730015,19.244827,1,991,0.6800521,16.6249,13.705583,16.9006,0.1595009,100.0,0.010840163,0.0534,58.2524717,-11.8607726,0.36142856,t17_f5_c3,1.153e-05,16.8447,0.0608,352120200.0,False,True,False,bulk_1.0.0,0.0,1.005417810015015e+18,ZTF18acebvsj
ztf,58745.502499999944,991502500015015000,1,991502500015,19.172132,1,991,0.8848424,17.45903,14.328489,17.699,0.0929053,100.0,0.0051978566,0.0934,58.2527185,-11.8604161,0.74285716,t17_f5_c3,0.4142769,17.6844,0.1126,352120100.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,58759.41781250015,1005417810015015000,1,1005417810015,20.622385,1,1005,0.90971804,17.470236,14.329114,17.8514,0.14505404,100.0,0.008036759,0.0608,58.2523604,-11.860738,0.28714284,t17_f5_c3,0.04230884,17.8683,0.0664,352120100.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,58796.25608799979,1042256080015015000,1,1042256080015,18.89042,1,1042,1.4014119,17.438309,,17.7211,0.10548157,,,0.1062,58.2521977,-11.8606098,0.6042857,t17_f5_c3,0.24200693,17.8074,0.1416,352120100.0,True,False,True,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,58881.10981479986,1127109810015015000,2,1127109810015,19.692965,1,1127,0.50237453,16.68516,13.709574,16.8573,0.10063967,100.0,0.0064943363,0.0381,58.2527313,-11.8606739,0.86,t17_f5_c3,0.355173,16.8959,0.0448,352120200.0,False,True,False,bulk_1.0.0,0.0,1.141110520015015e+18,ZTF18acebvsj
ztf,58895.11052080011,1141110520015015000,2,1141110520015,20.192616,1,1141,0.7704585,16.843775,13.719138,16.5627,0.054228045,100.0,0.003050489,0.0254,58.2528167,-11.8606159,0.66714287,t17_f5_c3,0.09905794,16.6323,0.03,352120200.0,False,True,False,bulk_1.0.0,0.0,1.151108620015015e+18,ZTF18acebvsj
ztf,58905.108622699976,1151108620015015000,2,1151108620015,18.936594,1,1151,0.6412873,16.650938,13.707333,16.8353,0.060540292,100.0,0.004023484,0.0426,58.252591,-11.8604457,0.74285716,t17_f5_c3,0.61675954,16.7486,0.0463,352120200.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,59122.40278939996,1368402780015015000,1,1368402780015,19.237497,1,1368,1.217373,17.520376,14.331832,17.7392,0.11176471,100.0,0.00592771,0.1083,58.2522663,-11.8607391,0.36142856,t17_f5_c3,0.3768634,18.0176,0.1725,352120100.0,False,True,False,bulk_1.0.0,0.0,1.377365300015015e+18,ZTF18acebvsj
ztf,59124.35453699995,1370354530015015001,2,1370354530015,18.9274,1,1370,0.62497544,16.561993,13.70119,16.4662,0.076513834,100.0,0.005488059,0.0476,58.2526946,-11.8607725,0.32,t17_f5_c3,2.1e-07,16.4864,0.0603,352120200.0,False,True,False,bulk_1.0.0,0.0,1.377365300015015e+18,ZTF18acebvsj
ztf,59131.36530089984,1377365300015015000,1,1377365300015,19.503227,1,1377,0.69083077,17.122412,14.306632,17.3637,0.13699237,100.0,0.010241993,0.0618,58.2524012,-11.8606359,0.37857142,t17_f5_c3,0.7831729,17.3463,0.0725,352120100.0,False,True,False,bulk_1.0.0,0.0,1.402426430015015e+18,ZTF18acebvsj
ztf,59134.40108799981,1380401080015015000,1,1380401080015,20.16181,1,1380,1.002922,17.707829,14.3410015,17.4728,0.124858335,100.0,0.0056193587,0.0453,58.2528303,-11.8604672,0.66571426,t17_f5_c3,0.10435408,17.4619,0.0497,352120100.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acebvsj
ztf,59155.2801620001,1401280160015015003,2,1401280160015,19.1795,1,1401,0.421064,16.4422,13.692143,16.4312,0.141996,100.0,0.011278556,0.0374,58.2527186,-11.8606166,0.258571,t17_f5_c3,,16.4977,0.0489,,False,True,False,bulk_1.0.0,0.0,1.415298610015015e+18,ZTF18acebvsj
ztf,59156.42643520003,1402426430015015000,1,1402426430015,19.204496,1,1402,1.4471705,17.690298,,17.4825,0.110220015,,,0.0768,58.252188,-11.8606933,0.34142858,t17_f5_c3,0.226158,17.485,0.0946,352120100.0,False,False,True,bulk_1.0.0,0.0,1.415298610015015e+18,ZTF18acebvsj
ztf,59158.35391200008,1404353910015015001,2,1404353910015,19.2454,1,1404,1.26157,16.4832,13.695344,16.7589,0.039259,100.0,0.0030115962,0.0372,58.2528894,-11.8608337,0.595714,t17_f5_c3,,16.7332,0.0421,,False,True,False,bulk_1.0.0,0.0,1.415298610015015e+18,ZTF18acebvsj
ztf,59167.301990699954,1413301990015015013,1,1413301990015,19.3183,1,1413,0.862702,17.1715,14.310226,17.2849,0.094282,100.0,0.0067595774,0.0606,58.2526758,-11.8604052,0.561429,t17_f5_c3,,17.3084,0.0702,,False,True,False,bulk_1.0.0,0.0,1.415298610015015e+18,ZTF18acebvsj
ztf,59169.29861109983,1415298610015015000,2,1415298610015,20.071188,1,1415,0.4496467,16.596165,13.703606,16.693,0.1245426,100.0,0.008675492,0.0291,58.2524916,-11.8607009,0.36857143,t17_f5_c3,0.29435742,16.6947,0.032,352120200.0,False,True,False,bulk_1.0.0,0.0,1.417342400015015e+18,ZTF18acebvsj
ztf,59171.34240739979,1417342400015015000,1,1417342400015,20.6122,1,1417,0.442449,17.3353,14.321182,17.4875,0.132661,100.0,0.008262204,0.0393,58.2524733,-11.8606512,0.4,t17_f5_c3,,17.4423,0.0418,,False,True,False,bulk_1.0.0,0.0,1.430229590015015e+18,ZTF18acebvsj
ztf,59171.34240739979,1417342400015015001,1,1417342400015,20.61221,1,1417,0.5157341,17.298166,14.318831,17.3181,0.052189235,100.0,0.0033561948,0.0357,58.2524553,-11.8606697,0.47,t17_f5_c3,0.2862607,17.3222,0.0388,352120100.0,False,True,False,bulk_1.0.0,0.0,1.430229590015015e+18,ZTF18acebvsj
ztf,59174.32049770001,1420320490015015008,1,1420320490015,19.4607,1,1420,1.48033,17.6408,,17.3653,0.243822,,,0.0797,58.2521751,-11.8606637,0.285714,t17_f5_c3,,17.2935,0.0868,,False,False,True,bulk_1.0.0,0.0,1.430229590015015e+18,ZTF18acebvsj
ztf,59176.37434029998,1422374340015015000,1,1422374340015,20.62526,1,1422,0.9573012,17.379606,14.32389,17.4788,0.124475926,100.0,0.0074610263,0.0422,58.2523263,-11.8606676,0.49285713,t17_f5_c3,0.2050175,17.5164,0.0471,352120100.0,False,True,False,bulk_1.0.0,0.0,1.430229590015015e+18,ZTF18acebvsj
