tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58425.08648149995,671086483915015022,2,671086483915,20.2359,1,671,0.622503,17.3603,14.418223,17.1467,0.186924,100.0,0.012440407,0.0352,289.5483316,5.2231658,0.316667,t12_f5_c3,17.0391,0.0401,False,True,False,bulk_1.0.0,0.0,6.75149723915015e+17,,,ZTF18acehrcl
ztf,58427.10362270009,673103623915015013,2,673103623915,19.4433,1,673,0.568047,17.0405,14.393752,16.8649,0.119309,100.0,0.010422542,0.0418,289.5482194,5.2232419,0.423333,t12_f5_c3,16.8493,0.0514,False,True,False,bulk_1.0.0,0.0,6.77129163915015e+17,,,ZTF18acehrcl
ztf,58428.10256939987,674102563915015013,2,674102563915,19.834,1,674,0.750884,16.8974,14.380471,16.9683,0.100823,100.0,0.009926316,0.0339,289.5481876,5.2231989,0.483333,t12_f5_c3,16.8497,0.0378,False,True,False,bulk_1.0.0,0.0,6.77129163915015e+17,,,ZTF18acehrcl
ztf,58429.14972219989,675149723915015014,1,675149723915,20.26314,1,675,1.5770319,19.214815,,19.215,0.19815043,,,0.1774,289.5479267,5.2231955,0.40333334,t8_f5_c3,19.0233,0.1801,False,False,False,bulk_1.0.0,0.0,6.77129163915015e+17,0.0,488120139.0,ZTF18acehrcl
ztf,58430.08864580002,676088643915015021,2,676088643915,20.4585,1,676,0.468664,16.8473,14.375435,17.0131,0.117547,100.0,0.012063285,0.0284,289.5482537,5.2232459,0.443333,t12_f5_c3,16.9664,0.034,False,True,False,bulk_1.0.0,0.0,6.77129163915015e+17,,,ZTF18acehrcl
ztf,58430.124525499996,676124523915015012,1,676124523915,20.3578,1,676,0.722454,19.3247,17.080128,19.5522,0.173028,0.0119498335,0.021892108,0.199,289.5481652,5.2232504,0.776667,t12_f5_c3,19.6215,0.2855,False,True,True,bulk_1.0.0,0.0,6.77129163915015e+17,,,ZTF18acehrcl
ztf,58431.100463000126,677100463915015004,1,677100463915,19.5461,1,677,1.35617,19.0135,17.035461,18.6656,0.22439,0.031734534,0.0362901,0.1173,289.5480195,5.223142,0.326667,t12_f5_c3,18.9143,0.1882,False,True,True,bulk_1.0.0,0.0,6.77129163915015e+17,,,ZTF18acehrcl
ztf,58431.129166699946,677129163915015017,2,677129163915,19.330051,1,677,1.0235776,16.650532,14.3535185,16.559,0.051418267,100.0,0.0061988644,0.028,289.5480849,5.2232168,0.6566667,t8_f5_c3,16.5285,0.0337,False,True,False,bulk_1.0.0,0.0,6.79149473915015e+17,0.0,488120239.0,ZTF18acehrcl
ztf,58433.07282410003,679072823915015016,2,679072823915,19.1175,1,679,0.360588,16.4016,14.320302,16.354,0.081622,100.0,0.012002953,0.0326,289.5482764,5.2232649,0.696667,t12_f5_c3,16.3826,0.0422,False,True,False,bulk_1.0.0,0.0,6.79149473915015e+17,,,ZTF18acehrcl
ztf,58433.14947920013,679149473915015013,1,679149473915,18.899393,1,679,1.1166104,18.536364,16.942642,18.7318,0.2004176,0.043258987,0.04617929,0.2545,289.548075,5.2231799,0.5933333,t8_f5_c3,18.5954,0.2893,True,True,True,bulk_1.0.0,0.0,0.0,0.0,488120139.0,ZTF18acehrcl
ztf,58632.46255790023,878462553915015014,2,878462553915,20.6204,1,878,0.35499,16.3315,14.309705,16.4097,0.169386,0.02017326,0.02631237,0.0157,289.548311,5.2232464,0.548571,t17_f5_c3,16.3306,0.0179,False,True,False,bulk_1.0.0,0.0,9.07442533915015e+17,,,ZTF18acehrcl
ztf,58633.3388772998,879338873915015014,2,879338873915,20.5631,1,879,0.28393,16.2737,14.300523,16.4286,0.097407,100.0,0.015824094,0.017,289.5483033,5.2232713,0.741429,t17_f5_c3,16.4392,0.0211,False,True,False,bulk_1.0.0,0.0,9.07442533915015e+17,,,ZTF18acehrcl
ztf,58634.4442245001,880444223915015011,1,880444223915,21.0652,1,880,0.23299,18.6957,16.977335,18.6478,0.145885,0.024893505,0.029968506,0.0575,289.5483135,5.2232776,0.724286,t17_f5_c3,18.6599,0.0851,False,True,True,bulk_1.0.0,0.0,9.07442533915015e+17,,,ZTF18acehrcl
ztf,58635.39603010006,881396033915015018,2,881396033915,20.8608,1,881,0.393706,16.4313,14.324619,16.6607,0.077795,100.0,0.011175824,0.0169,289.5483281,5.2232313,0.595714,t17_f5_c3,16.6605,0.0194,False,True,False,bulk_1.0.0,0.0,9.07442533915015e+17,,,ZTF18acehrcl
ztf,58635.39603010006,881396033915015019,2,881396033915,20.8608,1,881,0.110447,16.4433,14.326335,16.5007,0.021905,100.0,0.0031171455,0.017,289.5483407,5.22331,0.63,t17_f5_c3,16.5769,0.0221,False,True,False,bulk_1.0.0,0.0,9.07442533915015e+17,,,ZTF18acehrcl
