tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58662.460266199894,908460265315015018,2,908460265315,20.494024,1,908,0.18755445,20.327572,18.649635,20.1772,0.20127472,0.018853754,0.04291553,0.319,358.7355505,-6.8138085,0.9071429,t17_f5_c3,0.99993,20.2416,0.4305,395120253.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acekbps
ztf,58757.29428240005,1003294285315015020,2,1003294285315,20.1157,1,1003,0.920298,20.5737,18.697636,20.4447,0.287781,0.03146622,0.051125403,0.5021,358.73542,-6.8140176,0.857143,t17_f5_c3,,20.7361,0.8383,,False,True,False,bulk_1.0.0,0.0,1.031250375315015e+18,ZTF18acekbps
ztf,58764.400659699924,1010400655315015009,2,1010400655315,19.8668,1,1010,0.581935,20.37,18.658543,19.6585,0.325989,0.05505503,0.06739382,0.3077,358.7353544,-6.8138272,0.551429,t17_f5_c3,,19.5492,0.3557,,False,True,False,bulk_1.0.0,0.0,1.031250375315015e+18,ZTF18acekbps
ztf,58777.203020799905,1023203025315015027,2,1023203025315,19.8712,1,1023,0.425961,20.245,18.631495,20.4476,0.2457,0.040655874,0.055590782,0.5655,358.7356016,-6.8136961,0.91,t17_f5_c3,,20.3796,0.6792,,False,True,False,bulk_1.0.0,0.0,1.031250375315015e+18,ZTF18acekbps
ztf,58785.25037040003,1031250375315015013,2,1031250375315,19.885712,1,1031,0.72738916,19.835411,18.524384,19.9366,0.20207596,0.049691357,0.060409237,0.4011,358.7355607,-6.8139733,0.91,t17_f5_c3,0.9998038,19.9782,0.5334,395120253.0,False,True,False,bulk_1.0.0,0.0,1.058172315315015e+18,ZTF18acekbps
ztf,58788.206747699995,1034206745315015013,1,1034206745315,20.0385,1,1034,0.451875,20.4169,19.502916,19.8405,0.36233,0.1527321,0.15613858,0.2761,358.7354281,-6.8138487,0.347143,t17_f5_c3,,19.6832,0.3062,,False,True,False,bulk_1.0.0,0.0,1.058172315315015e+18,ZTF18acekbps
ztf,58791.10504630022,1037105045315015020,2,1037105045315,19.7454,1,1037,0.047837,19.9538,18.558441,19.3736,0.224992,0.051152207,0.06223343,0.2927,358.7355242,-6.813775,0.718571,t17_f5_c3,,19.3066,0.3525,,False,True,False,bulk_1.0.0,0.0,1.058172315315015e+18,ZTF18acekbps
ztf,58812.14163189987,1058141635315015013,1,1058141635315,20.275,1,1058,0.234617,20.4269,19.507214,19.8045,0.277078,0.11422396,0.11877558,0.2568,358.7355898,-6.8137495,0.548571,t17_f5_c3,,19.732,0.3076,,False,True,False,bulk_1.0.0,0.0,1.058172315315015e+18,ZTF18acekbps
ztf,58812.17231479986,1058172315315015016,2,1058172315315,20.03854,1,1058,0.23357035,19.890223,18.54048,19.6521,0.20175329,0.04660141,0.058200102,0.2811,358.7355016,-6.8138399,0.94285715,t17_f5_c3,0.9999787,19.8778,0.4415,395120253.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acekbps
ztf,59044.35736110015,1290357365315015013,1,1290357365315,19.8456,1,1290,0.355352,19.7977,19.192225,19.9885,0.23551,0.13262054,0.13484012,0.3356,358.7354458,-6.8138273,0.771429,t17_f5_c3,,20.0283,0.4459,,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59044.45980319986,1290459805315015014,2,1290459805315,20.245646,1,1290,0.13102381,19.462301,18.398829,19.2993,0.11772007,0.03189995,0.044204008,0.1653,358.7354839,-6.8138004,0.9771429,t17_f5_c3,0.99999845,19.307,0.2118,395120253.0,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59047.41901620012,1293419015315015020,2,1293419015315,20.444323,1,1293,0.19786811,19.381716,18.367865,19.3319,0.12666528,0.03992849,0.049787093,0.1485,358.7355205,-6.8138296,0.97,t17_f5_c3,0.9999945,19.3255,0.1874,395120253.0,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59047.459120399784,1293459125315015016,1,1293459125315,20.568253,1,1293,0.08403368,19.893087,19.24581,19.8917,0.15192243,0.079686716,0.08369712,0.2054,358.735507,-6.8137811,0.94,t17_f5_c3,0.9999992,20.1759,0.3399,395120153.0,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59050.47789350012,1296477895315015014,2,1296477895315,20.22495,1,1296,0.17524618,19.343267,18.352589,19.3292,0.13483712,0.045513455,0.054142445,0.1628,358.7355414,-6.8138134,0.9628571,t17_f5_c3,0.99999994,19.2966,0.2011,395120253.0,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59055.41791669978,1301417915315015028,1,1301417915315,20.4409,1,1301,0.374691,19.8991,19.249117,19.5774,0.220845,0.118618295,0.12136531,0.16,358.7356248,-6.8138034,0.665714,t17_f5_c3,,19.3848,0.171,,False,True,False,bulk_1.0.0,0.0,1.301440055315015e+18,ZTF18acekbps
ztf,59055.4400578998,1301440055315015034,2,1301440055315,20.44905,1,1301,0.20791167,19.35819,18.358557,19.2257,0.12698047,0.041082527,0.050568853,0.1309,358.7355261,-6.8138312,0.9657143,t17_f5_c3,0.9999999,19.1467,0.1541,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59061.3745833002,1307374585315015017,2,1307374585315,19.863579,1,1307,0.23352562,19.420254,18.382849,19.2238,0.16101214,0.05409271,0.061929364,0.2214,358.7355098,-6.8138404,0.9714286,t17_f5_c3,0.99992275,18.948,0.2199,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59064.43384259986,1310433845315015012,2,1310433845315,19.240314,1,1310,0.32799068,19.286358,18.329378,19.0931,0.20405836,0.079497054,0.084520526,0.2948,358.7354377,-6.8137136,0.93142855,t17_f5_c3,0.99902964,19.0265,0.3559,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59073.39701389987,1319397015315015017,1,1319397015315,20.2138,1,1319,0.192415,19.8762,19.236473,20.0432,0.218813,0.11870732,0.12138983,0.3259,358.7355258,-6.8138204,0.892857,t17_f5_c3,,19.7572,0.321,,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59075.43197919987,1321431975315015014,1,1321431975315,20.394672,1,1321,0.4234471,19.887445,19.242697,19.6662,0.20386654,0.10964447,0.112576194,0.212,358.7354609,-6.8138667,0.80714285,t17_f5_c3,0.9998824,19.6693,0.272,395120153.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59076.376794000156,1322376795315015018,2,1322376795315,20.259115,1,1322,0.23134553,19.41074,18.379179,19.106,0.13212143,0.041318845,0.051091556,0.1401,358.7355136,-6.8138398,0.95428574,t17_f5_c3,0.9999988,19.1567,0.1867,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59076.43980319984,1322439805315015018,1,1322439805315,20.153,1,1322,0.16188,20.0363,19.322363,19.8565,0.30268,0.15439828,0.1568225,0.2523,358.7354798,-6.81377,0.811429,t17_f5_c3,,19.6467,0.2665,,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59079.34781249985,1325347815315015023,1,1325347815315,20.4548,1,1325,0.194742,20.0334,19.320858,20.3302,0.218754,0.110120505,0.11348526,0.3667,358.7354759,-6.8137902,0.874286,t17_f5_c3,,20.6102,0.6066,,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59079.41769680008,1325417695315015019,2,1325417695315,20.266684,1,1325,0.1832815,19.487478,18.408215,19.3953,0.14379917,0.043351352,0.053217076,0.1852,358.7355167,-6.813826,0.9657143,t17_f5_c3,0.99998856,19.7873,0.3375,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59082.464213000145,1328464215315015014,2,1328464215315,19.718472,1,1328,0.59021366,19.623672,18.456648,19.4655,0.21714464,0.06672523,0.074120715,0.2435,358.7355979,-6.8139164,0.73142856,t17_f5_c3,0.9997066,19.3476,0.2791,395120253.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59084.388425900135,1330388425315015014,1,1330388425315,20.52317,1,1330,0.15520212,20.099401,19.354597,20.554,0.18368149,0.08806651,0.09250045,0.435,358.7355088,-6.8138066,0.89428574,t17_f5_c3,0.99999636,20.5393,0.5487,395120153.0,False,True,False,bulk_1.0.0,0.0,1.331429385315015e+18,ZTF18acekbps
ztf,59085.42938659992,1331429385315015024,1,1331429385315,20.373627,1,1331,0.2826545,20.048841,19.328842,19.9063,0.19767788,0.0980294,0.10184934,0.248,358.7355031,-6.8138426,0.8971428,t17_f5_c3,0.9999364,19.9801,0.3393,395120153.0,False,True,False,bulk_1.0.0,0.0,1.355312695315015e+18,ZTF18acekbps
ztf,59086.3837731001,1332383775315015021,2,1332383775315,20.274675,1,1332,0.107531615,19.424295,18.384401,19.4236,0.118663,0.034084093,0.0455363,0.1823,358.7355076,-6.8138049,0.9614286,t17_f5_c3,1.0,19.5183,0.253,395120253.0,False,True,False,bulk_1.0.0,0.0,1.355312695315015e+18,ZTF18acekbps
ztf,59088.397685199976,1334397685315015022,2,1334397685315,20.273682,1,1334,0.14060174,19.48496,18.407282,19.8585,0.12680031,0.035460133,0.04699472,0.2897,358.7354696,-6.8137887,0.92,t17_f5_c3,0.99991417,19.8386,0.3624,395120253.0,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59089.36236110004,1335362365315015012,1,1335362365315,20.324179,1,1335,0.20548744,19.898499,19.248787,19.7493,0.18058302,0.095888056,0.099264085,0.2416,358.7355272,-6.813824,0.9128571,t17_f5_c3,0.99997246,20.0799,0.4183,395120153.0,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59090.36521989992,1336365215315015010,1,1336365215315,19.9332,1,1336,0.127363,20.0015,19.304192,20.1537,0.242783,0.124841936,0.12773073,0.5158,358.7354843,-6.8137715,0.88,t17_f5_c3,,19.8538,0.5025,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59091.380960599985,1337380965315015010,1,1337380965315,19.691488,1,1337,0.6144586,19.628242,19.091993,19.6347,0.19644764,0.11780359,0.119880155,0.3513,358.7353901,-6.8136576,0.9128571,t17_f5_c3,0.99985707,19.6656,0.4638,395120153.0,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59098.334583300166,1344334585315015013,2,1344334585315,19.4811,1,1344,0.406238,19.5922,18.445803,19.5877,0.227869,0.0725481,0.079273246,0.4115,358.7354024,-6.8138136,0.922857,t17_f5_c3,,19.6244,0.5456,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59106.32513889996,1352325135315015008,1,1352325135315,19.9806,1,1352,0.336294,20.0909,19.350307,19.6481,0.261161,0.12898645,0.13202964,0.2902,358.7355008,-6.8138576,0.687143,t17_f5_c3,,19.7748,0.4167,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59106.33776619984,1352337765315015019,2,1352337765315,19.9119,1,1352,0.185268,19.5047,18.414557,19.0753,0.159048,0.04931415,0.05827347,0.1982,358.7354525,-6.8137719,0.811429,t17_f5_c3,,19.0376,0.2443,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59107.33607639978,1353336075315015014,1,1353336075315,20.134,1,1353,0.124656,20.1307,19.370247,20.0337,0.329582,0.16106147,0.16359961,0.3735,358.7355591,-6.8137771,0.84,t17_f5_c3,,19.8681,0.4105,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59108.31076390017,1354310765315015009,1,1354310765315,20.1211,1,1354,0.262261,20.0805,19.345037,19.7346,0.237895,0.11753711,0.12083717,0.2891,358.7355123,-6.8138388,0.768571,t17_f5_c3,,19.6721,0.349,,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
ztf,59108.378055599984,1354378055315015022,2,1354378055315,20.045527,1,1354,0.19258249,19.43574,18.388779,19.0955,0.15596801,0.051153783,0.05946361,0.1734,358.7354634,-6.813802,0.92142856,t17_f5_c3,0.9999596,19.1435,0.2311,395120253.0,False,True,False,bulk_1.0.0,0.0,1.363336655315015e+18,ZTF18acekbps
