tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58431.52461809991,677524610115015058,2,677524610115,19.686022,1,677,0.35341448,15.966197,13.425983,15.8517,0.05537667,100.0,0.0053363135,0.0147,145.8742105,9.1628323,0.78333336,t8_f5_c3,0.0,15.8108,0.0155,519120201.0,False,True,False,bulk_1.0.0,0.0,6.94464160115015e+17,ZTF18acgvjbd
ztf,58439.39217589982,685392170115015041,2,685392170115,19.77676,1,685,0.5225245,15.919295,13.421374,15.9881,0.06380911,100.0,0.006393141,0.0212,145.8741135,9.1630262,0.38333333,t8_f5_c3,0.0,15.9751,0.0231,519120201.0,False,True,False,bulk_1.0.0,0.0,7.13477900115015e+17,ZTF18acgvjbd
ztf,58442.39327549981,688393270115015029,2,688393270115,18.933823,1,688,0.11147993,15.928954,13.4223385,15.9501,0.09111273,100.0,0.009055923,0.0278,145.8742106,9.162905,0.49,t8_f5_c3,0.0,15.9371,0.0329,519120201.0,False,True,False,bulk_1.0.0,0.0,7.13477900115015e+17,ZTF18acgvjbd
ztf,58448.46416669991,694464160115015033,2,694464160115,19.426111,1,694,0.30320072,16.242039,13.449714,16.1006,0.06298543,100.0,0.004811829,0.0223,145.8741676,9.162989,0.58666664,t8_f5_c3,0.0,16.0863,0.0254,519120201.0,False,True,False,bulk_1.0.0,0.0,7.13477900115015e+17,ZTF18acgvjbd
ztf,58467.47790510021,713477900115015016,1,713477900115,19.106663,1,713,0.7066094,17.510424,14.285816,17.2409,0.14115024,100.0,0.007241669,0.0856,145.874186,9.1627366,0.50333333,t8_f5_c3,0.0,17.2014,0.0986,519120101.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgvjbd
ztf,58472.443101900164,718443100115015044,2,718443100115,19.993427,1,718,0.46187347,16.064089,13.435041,15.9953,0.04382266,100.0,0.003891166,0.0172,145.8741001,9.1629513,0.5933333,t8_f5_c3,0.0,15.9838,0.0188,519120201.0,False,True,False,bulk_1.0.0,0.0,7.27435230115015e+17,ZTF18acgvjbd
ztf,58472.501597200055,718501590115015026,1,718501590115,20.316694,1,718,0.5841587,17.111082,14.261331,17.1643,0.045032073,100.0,0.0032630328,0.0335,145.8740745,9.1629186,0.7033333,t8_f5_c3,0.0,17.1518,0.037,519120101.0,False,True,False,bulk_1.0.0,0.0,7.27435230115015e+17,ZTF18acgvjbd
ztf,58472.501597200055,718501590115015035,1,718501590115,20.316694,1,718,0.5578814,17.1447,14.263732,17.3612,0.08900276,100.0,0.006266379,0.0382,145.874083,9.1629076,0.58666664,t8_f5_c3,0.0,17.2958,0.0411,519120101.0,False,True,False,bulk_1.0.0,0.0,7.27435230115015e+17,ZTF18acgvjbd
ztf,58480.48451389978,726484510115015027,1,726484510115,19.818657,1,726,0.44319507,17.153463,14.264347,17.2985,0.08435362,100.0,0.0058946377,0.0419,145.8741259,9.1628812,0.7733333,t8_f5_c3,0.0,17.3135,0.0488,519120101.0,False,True,False,bulk_1.0.0,0.0,7.27435230115015e+17,ZTF18acgvjbd
ztf,58481.43523149984,727435230115015040,2,727435230115,20.005838,1,727,0.3975701,16.038612,13.4327545,16.2619,0.105504625,100.0,0.009570365,0.0204,145.8741174,9.1629432,0.54333335,t8_f5_c3,0.0,16.2552,0.022,519120201.0,False,True,False,bulk_1.0.0,0.0,7.48505170115015e+17,ZTF18acgvjbd
ztf,58482.51537040016,728515370115015038,1,728515370115,20.355978,1,728,0.7934464,17.011854,14.253828,17.1156,0.087118514,100.0,0.006869102,0.0311,145.8740249,9.1628712,0.58666664,t8_f5_c3,0.0,17.1267,0.0346,519120101.0,False,True,False,bulk_1.0.0,0.0,7.48505170115015e+17,ZTF18acgvjbd
ztf,58491.4391319002,737439130115015069,1,737439130115,20.503843,1,737,0.70030993,17.14374,14.263664,17.366,0.09460939,100.0,0.006666596,0.0358,145.8740415,9.1629423,0.62666667,t8_f5_c3,0.0,17.3714,0.0386,519120101.0,False,True,False,bulk_1.0.0,0.0,7.48505170115015e+17,ZTF18acgvjbd
ztf,58493.471874999814,739471870115015062,2,739471870115,20.408173,1,739,0.49692592,16.121487,13.440017,16.1019,0.06905529,100.0,0.005842639,0.0167,145.8740933,9.1629709,0.20285714,t8_f5_c3,0.0,16.0917,0.0174,519120201.0,False,True,False,bulk_1.0.0,0.0,7.48505170115015e+17,ZTF18acgvjbd
ztf,58494.46696759993,740466960115015032,1,740466960115,20.626709,1,740,1.179014,17.652391,14.2926655,18.0353,0.19085568,100.0,0.008645989,0.0629,145.8739123,9.1630017,0.04857143,t15_f5_c3,0.0,18.0464,0.0676,519120101.0,False,True,False,bulk_1.0.0,0.0,7.48505170115015e+17,ZTF18acgvjbd
ztf,58502.50517359981,748505170115015069,2,748505170115,19.02575,1,748,0.26087353,15.765851,13.404985,15.7936,0.047075,100.0,0.005351112,0.0203,145.8741805,9.1629889,0.5314286,t15_f5_c3,0.0,15.797,0.0241,519120201.0,False,True,False,bulk_1.0.0,0.0,7.72415750115015e+17,ZTF18acgvjbd
ztf,58511.41059029987,757410590115015028,2,757410590115,20.2288,1,757,0.6645584,15.895946,13.419012,15.8379,0.052302677,100.0,0.005342574,0.0136,145.8740501,9.1630038,0.24857143,t15_f5_c3,0.0,15.8316,0.0145,519120201.0,False,True,False,bulk_1.0.0,0.0,7.72415750115015e+17,ZTF18acgvjbd
ztf,58523.212303199805,769212300115015069,2,769212300115,20.489773,1,769,0.7021516,16.10984,13.439027,16.0788,0.13447899,100.0,0.011490236,0.017,145.8740453,9.1630095,0.042857144,t15_f5_c3,0.0,16.0734,0.0178,519120201.0,False,True,False,bulk_1.0.0,0.0,7.72415750115015e+17,ZTF18acgvjbd
ztf,58523.4233448999,769423340115015018,1,769423340115,16.541367,1,769,0.1464549,15.894575,14.109852,15.8472,0.17403425,0.032649487,0.033631444,0.1559,145.8742766,9.1629022,0.34,t15_f5_c3,0.0,15.7778,0.1852,519120101.0,False,True,False,bulk_1.0.0,0.0,7.72415750115015e+17,ZTF18acgvjbd
ztf,58526.41575230006,772415750115015051,1,772415750115,19.517597,1,772,0.29031292,16.761808,14.231881,16.718,0.09327615,0.00092067453,0.009074016,0.0306,145.8742325,9.1628461,0.39857143,t15_f5_c3,0.0,16.7015,0.0342,519120101.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgvjbd
ztf,58556.21039350005,802210390115025075,2,802210390115,19.7913,1,802,1.56425,16.8312,,16.7828,0.073445,,,0.0334,145.8744629,9.1633048,0.28,t15_f5_c3,,16.7464,0.0352,,False,False,True,bulk_1.0.0,0.0,8.08338240115015e+17,ZTF18acgvjbd
ztf,58556.26853010012,802268530115025039,1,802268530115,20.11308,1,802,0.75228846,17.532703,14.286948,17.7409,0.071778275,100.0,0.003611528,0.0583,145.8740344,9.1628688,0.44428572,t15_f5_c3,0.0,17.771,0.0673,519120101.0,False,True,False,bulk_1.0.0,0.0,8.08338240115015e+17,ZTF18acgvjbd
ztf,58562.33824069984,808338240115015006,2,808338240115,18.445597,1,808,0.4023347,16.47296,13.465723,16.7146,0.08562307,100.0,0.0053665624,0.0708,145.8741719,9.1630275,0.36,t15_f5_c3,0.0,16.6949,0.0868,519120201.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgvjbd
ztf,58605.16496529989,851164960115015033,2,851164960115,20.474064,1,851,0.6734639,15.838786,13.4130335,15.82,0.08068253,100.0,0.008639298,0.0137,145.874049,9.1629931,0.09714286,t15_f5_c3,0.0,15.8589,0.015,519120201.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgvjbd
ztf,58767.487719899975,1013487710115015005,1,1013487710115,19.26709,1,1013,0.8988137,16.670654,14.22267,17.1815,0.0760024,100.0,0.007973213,0.0467,145.8744228,9.1627464,0.60142857,t17_f5_c3,0.4602,17.2096,0.0558,519120101.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgvjbd
ztf,58827.45138890017,1073451380115015016,2,1073451380115,19.529408,1,1073,0.43062386,15.826484,13.41171,15.9197,0.09639811,100.0,0.010426987,0.0182,145.8741648,9.1630326,0.70285714,t17_f5_c3,0.8950755,15.9136,0.0205,519120201.0,False,True,False,bulk_1.0.0,0.0,1.101461270115015e+18,ZTF18acgvjbd
ztf,58827.54688660009,1073546880115015013,1,1073546880115,20.366457,1,1073,0.63609505,16.509804,14.204632,16.8003,0.115494564,0.010652614,0.013819511,0.0245,145.874061,9.1629129,0.41428572,t17_f5_c3,0.30904827,16.826,0.0275,519120101.0,False,True,False,bulk_1.0.0,0.0,1.101461270115015e+18,ZTF18acgvjbd
