tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58713.16996529978,959169961215015036,2,959169961215,19.428959,1,959,0.32393256,18.538622,16.507425,18.2828,0.17307323,0.022440072,0.026653307,0.1503,321.2213112,23.3070167,0.65,t17_f5_c3,0.99664783,18.3054,0.1948,643120212.0,False,True,False,bulk_1.0.0,0.0,9.72253441215015e+17,ZTF18acgzchi
ztf,58726.25344910007,972253441215015017,2,972253441215,20.580324,1,972,0.46470246,19.131882,16.580198,19.3935,0.16106302,100.0,0.015357578,0.1542,321.2212995,23.3069584,0.5542857,t17_f5_c3,0.13688475,19.3488,0.1814,643120212.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgzchi
ztf,58737.27791670011,983277911215015011,2,983277911215,19.7061,1,983,0.375954,19.0942,16.57655,19.4509,0.247941,0.018977646,0.024394276,0.3223,321.2213158,23.3070023,0.54,t17_f5_c3,,19.3159,0.3618,,False,True,False,bulk_1.0.0,0.0,1.003282391215015e+18,ZTF18acgzchi
ztf,58747.28138889978,993281381215015019,1,993281381215,20.5221,1,993,0.340946,19.701,17.143782,19.6008,0.189917,0.011843508,0.018016761,0.1826,321.2213422,23.3070426,0.3,t17_f5_c3,,19.4491,0.1981,,False,True,False,bulk_1.0.0,0.0,1.003282391215015e+18,ZTF18acgzchi
ztf,58757.28239580011,1003282391215015006,2,1003282391215,20.218401,1,1003,0.29898968,19.065628,16.573704,19.2776,0.19807948,0.012827071,0.01995584,0.1569,321.2212858,23.3070036,0.86714286,t17_f5_c3,0.7732969,19.2031,0.1813,643120212.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgzchi
ztf,59044.34107640013,1290341071215015013,1,1290341071215,20.7771,1,1290,0.285582,19.86,17.157906,20.2359,0.224743,0.01260556,0.018657265,0.2459,321.2213271,23.3070552,0.797143,t17_f5_c3,,20.0433,0.2534,,False,True,False,bulk_1.0.0,0.0,1.310362851215015e+18,ZTF18acgzchi
ztf,59050.44899309985,1296448991215015019,2,1296448991215,20.711336,1,1296,0.7561189,19.36177,16.600136,19.522,0.14848092,100.0,0.011668547,0.1554,321.221254,23.3068599,0.73142856,t17_f5_c3,0.87759995,19.3977,0.1692,643120212.0,False,True,False,bulk_1.0.0,0.0,1.310362851215015e+18,ZTF18acgzchi
ztf,59060.34583330015,1306345831215015015,1,1306345831215,20.4022,1,1306,0.183266,19.5372,17.127138,19.8058,0.200396,0.017180683,0.021770276,0.2452,321.2212608,23.3070132,0.542857,t17_f5_c3,,19.4858,0.23,,False,True,False,bulk_1.0.0,0.0,1.310362851215015e+18,ZTF18acgzchi
ztf,59064.36285880022,1310362851215015002,2,1310362851215,19.392458,1,1310,0.39269456,18.865072,16.551737,18.7686,0.17254858,0.013981216,0.020491652,0.2074,321.2211982,23.3069648,0.8214286,t17_f5_c3,0.9807867,18.5899,0.2245,643120212.0,False,True,False,bulk_1.0.0,0.0,1.314355011215015e+18,ZTF18acgzchi
ztf,59068.35501160007,1314355011215015004,2,1314355011215,20.149487,1,1314,0.7195534,19.182516,16.584927,19.2179,0.17644429,0.0046388335,0.016127676,0.177,321.2212608,23.3068698,0.73285717,t17_f5_c3,0.9531466,19.1934,0.2177,643120212.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgzchi
ztf,59113.29145829985,1359291451215015011,2,1359291451215,20.524147,1,1359,0.4848912,19.192736,16.585857,19.7288,0.18197864,0.0057435296,0.016491828,0.2188,321.2212906,23.3069498,0.46285716,t17_f5_c3,0.42548126,19.5553,0.2303,643120212.0,False,True,False,bulk_1.0.0,0.0,1.375201011215015e+18,ZTF18acgzchi
ztf,59129.20101850014,1375201011215015020,2,1375201011215,20.430098,1,1375,0.6949085,18.926903,16.558897,19.1533,0.13943565,0.004530401,0.015746053,0.1495,321.2213136,23.3068934,0.47,t17_f5_c3,0.7805052,19.2744,0.2078,643120212.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acgzchi
ztf,59167.1155555998,1413115551215015009,2,1413115551215,20.180965,1,1413,0.3199029,19.1298,16.58,19.7079,0.13244236,100.0,0.012650472,0.235,321.2212907,23.3069994,0.85142857,t17_f5_c3,0.99897146,19.7591,0.3074,643120212.0,False,True,False,bulk_1.0.0,0.0,1.440117771215015e+18,ZTF18acgzchi
ztf,59177.093854200095,1423093851215015004,2,1423093851215,19.9202,1,1423,0.27818,19.2735,16.592934,19.7353,0.204147,0.007530436,0.017286861,0.3241,321.2212987,23.3070236,0.577143,t17_f5_c3,,19.7976,0.4339,,False,True,False,bulk_1.0.0,0.0,1.440117771215015e+18,ZTF18acgzchi
ztf,59189.11839119997,1435118391215015012,1,1435118391215,20.3601,1,1435,0.27096,19.6737,17.141163,19.6713,0.19155,0.012732675,0.018589478,0.18,321.2213005,23.3070066,0.232857,t17_f5_c3,,19.515,0.1947,,False,True,False,bulk_1.0.0,0.0,1.440117771215015e+18,ZTF18acgzchi
