tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58429.16082180012,675160822415015033,1,675160822415,20.7703,1,675,0.50353,17.86,15.318158,18.0166,0.111363,100.0,0.010715288,0.047,301.4432929,47.2238894,0.613333,t12_f5_c3,18.0153,0.053,False,True,False,bulk_1.0.0,0.0,6.78153682415015e+17,,,ZTF18acgztrw
ztf,58432.153680600226,678153682415015042,1,678153682415,20.165695,1,678,0.86633515,17.857147,15.317883,17.9388,0.10602376,100.0,0.010225797,0.0516,301.4431614,47.2238357,0.62333333,t8_f5_c3,17.9444,0.0609,False,True,False,bulk_1.0.0,0.0,7.02137832415015e+17,0.0,767120124.0,ZTF18acgztrw
ztf,58435.09819439985,681098192415015059,2,681098192415,19.779497,1,681,0.32861096,16.053679,13.103779,16.2413,0.09274173,100.0,0.006127952,0.0209,301.443334,47.2239423,0.6,t8_f5_c3,16.1866,0.0214,True,True,False,bulk_1.0.0,0.0,0.0,0.0,767120224.0,ZTF18acgztrw
ztf,58435.09819439985,681098192415025059,2,681098192415,19.7795,1,681,0.328611,16.0537,13.103782,16.2413,0.092742,100.0,0.0061278646,0.0209,301.443334,47.2239423,0.6,t12_f5_c3,16.1866,0.0214,False,True,False,bulk_1.0.0,0.0,7.02137832415015e+17,,,ZTF18acgztrw
ztf,58456.13783559995,702137832415015007,2,702137832415,19.744608,1,702,0.75319576,16.190157,13.112287,16.307,0.100418806,100.0,0.0058974847,0.0234,301.4431576,47.2239405,0.49333334,t8_f5_c3,16.271,0.0246,True,True,False,bulk_1.0.0,0.0,0.0,0.0,767120224.0,ZTF18acgztrw
ztf,58618.31128469994,864311285715015016,2,864311285715,19.81338,1,864,0.85967547,15.432436,13.147809,15.4963,0.017867409,100.0,0.002178767,0.0134,301.4435073,47.2237032,0.14571428,t15_f5_c3,15.4743,0.0145,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,0.0,1767120257.0,ZTF18acgztrw
ztf,58618.31128469994,864311285715015018,2,864311285715,19.8134,1,864,1.36643,15.4324,13.147804,15.8982,0.017867,100.0,0.002178781,0.0176,301.443495,47.2235598,0.08,t15_f5_c3,15.8328,0.019,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58618.31128469994,864311285715015019,2,864311285715,19.81338,1,864,1.4561061,15.405808,,15.7844,0.10261066,,,0.0161,301.4435936,47.2235425,0.10428572,t15_f5_c3,15.7869,0.0182,False,False,True,bulk_1.0.0,0.0,8.87468282415015e+17,0.0,1767120257.0,ZTF18acgztrw
ztf,58627.40503469994,873405032415015014,2,873405032415,20.632,1,873,0.429351,15.7091,13.07731,15.7658,0.16788,100.0,0.014869036,0.0133,301.4435621,47.2238416,0.41,t17_f5_c3,15.6632,0.013,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58632.46826389991,878468262415015019,2,878468262415,20.7441,1,878,0.495095,15.3509,13.04036,15.9767,0.014564,100.0,0.0017340628,0.0132,301.4436006,47.2238367,0.371429,t17_f5_c3,15.7347,0.012,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58632.46826389991,878468262415015020,2,878468262415,20.7441,1,878,0.240074,15.2823,13.031961,15.3142,0.179511,0.016211776,0.022592047,0.0092,301.4435276,47.2238891,0.471429,t17_f5_c3,15.3,0.0093,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58635.41178240022,881411782415015043,2,881411782415,21.0346,1,881,0.132134,15.3463,13.039811,15.2438,0.083853,100.0,0.010021279,0.0086,301.4435161,47.2239595,0.582857,t17_f5_c3,15.2228,0.0085,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58638.45689810021,884456892415015015,1,884456892415,20.8219,1,884,0.179543,17.11,15.218865,17.1095,0.084129,100.0,0.014739806,0.0208,301.443443,47.2239026,0.598571,t17_f5_c3,17.0819,0.0223,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58638.46792820003,884467922415015007,2,884467922415,20.6561,1,884,0.249653,15.119,13.010007,15.1445,0.011943,100.0,0.0017120484,0.0079,301.4435564,47.2239047,0.757143,t17_f5_c3,15.133,0.0081,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
ztf,58641.42488430021,887424882415015023,1,887424882415,20.9456,1,887,0.220075,17.0416,15.206566,17.1015,0.072238,100.0,0.013327612,0.02,301.4434859,47.223884,0.527143,t17_f5_c3,17.0745,0.0213,False,True,False,bulk_1.0.0,0.0,8.87468282415015e+17,,,ZTF18acgztrw
