tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58434.36307869991,680363073115015001,2,680363073115,19.983465,1,680,0.2698872,17.8397,17.822971,17.7848,0.05412363,0.05310492,0.053296115,0.041,74.873038,75.2622139,0.68666667,t8_f5_c3,0.0,17.734,0.0495,857120231.0,False,True,False,bulk_1.0.0,0.0,6.83441813115015e+17,ZTF18achrter
ztf,58434.381284699775,680381283115015001,1,680381283115,20.272478,1,680,6.934969,17.983908,,17.9168,0.05566606,,,0.0342,74.8729858,75.262218,0.61333334,t8_f5_c3,0.0,17.8812,0.0414,857120131.0,False,False,False,bulk_1.0.0,0.0,6.83441813115015e+17,ZTF18achrter
ztf,58437.3412269,683341223115015004,2,683341223115,20.21094,1,683,0.20025703,18.402199,18.37426,18.3541,0.06481844,0.062725686,0.06317179,0.0637,74.8729989,75.2622565,0.7733333,t8_f5_c3,0.0,18.3314,0.0793,857120231.0,False,True,False,bulk_1.0.0,0.0,6.83441813115015e+17,ZTF18achrter
ztf,58437.44181710016,683441813115015002,1,683441813115,20.27845,1,683,6.85049,18.403612,,18.3811,0.07162351,,,0.0517,74.8729748,75.2622451,0.65,t8_f5_c3,0.0,18.2769,0.0594,857120131.0,False,False,False,bulk_1.0.0,0.0,6.87404253115015e+17,ZTF18achrter
ztf,58441.40425929986,687404253115015002,2,687404253115,19.638353,1,687,0.3239697,18.966196,18.919632,18.7804,0.10677752,0.101542465,0.10229489,0.1927,74.8730881,75.2622891,0.6333333,t8_f5_c3,0.0,18.7193,0.2334,857120231.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18achrter
ztf,58796.308553200215,1042308553115015005,2,1042308553115,19.49294,1,1042,0.20663542,17.953205,17.934649,17.9417,0.06892507,0.06757242,0.067757085,0.0761,74.87293,75.2622053,0.89857143,t17_f5_c3,0.9999999,17.9821,0.101,857120231.0,False,True,False,bulk_1.0.0,0.0,1.047328443115015e+18,ZTF18achrter
ztf,58798.277303200215,1044277303115015001,2,1044277303115,19.632935,1,1044,0.17635132,18.081022,18.06017,18.1232,0.07211203,0.070517346,0.070740275,0.1028,74.8729627,75.262229,0.93285716,t17_f5_c3,0.99998593,18.2041,0.1417,857120231.0,False,True,False,bulk_1.0.0,0.0,1.047328443115015e+18,ZTF18achrter
ztf,58799.334409699775,1045334403115015004,2,1045334403115,19.498812,1,1045,0.2517326,18.292889,18.267595,18.0562,0.09289165,0.09049804,0.09075263,0.1047,74.8730511,75.2622505,0.87285715,t17_f5_c3,0.99998724,18.0541,0.1339,857120231.0,False,True,False,bulk_1.0.0,0.0,1.047328443115015e+18,ZTF18achrter
ztf,58799.532500000205,1045532503115015002,1,1045532503115,19.088833,1,1045,6.8006697,18.120462,,18.5495,0.082968116,,,0.2077,74.8732443,75.2622599,0.7614286,t17_f5_c3,0.99999774,18.3284,0.2176,857120131.0,False,False,False,bulk_1.0.0,0.0,1.047328443115015e+18,ZTF18achrter
ztf,58801.32844909979,1047328443115015000,2,1047328443115,19.550804,1,1047,0.26457304,18.558254,18.52606,18.5524,0.09612542,0.09291812,0.093316995,0.1723,74.8730708,75.2622443,0.8657143,t17_f5_c3,0.7476118,18.7415,0.2631,857120231.0,False,True,False,bulk_1.0.0,0.0,1.048187383115015e+18,ZTF18achrter
