tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58434.49909720011,680499091815015030,2,680499091815,19.718428,1,680,1.2034216,19.5122,16.543123,19.4418,0.21525697,100.0,0.013974188,0.2072,133.6301257,17.6249227,0.57666665,t8_f5_c3,0.0,19.3973,0.2454,568120218.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acidfhz
ztf,58748.49680559989,994496801815015007,2,994496801815,19.511276,1,994,0.48565814,18.641968,16.459785,18.8699,0.1098536,100.0,0.014721137,0.216,133.6299946,17.6250841,0.92142856,t17_f5_c3,0.9980402,18.8202,0.2607,568120218.0,False,True,False,bulk_1.0.0,0.0,1.010510051815015e+18,ZTF18acidfhz
ztf,58756.47689810023,1002476891815015005,1,1002476891815,19.88551,1,1002,0.18570901,19.115814,17.13332,19.208,0.14285536,100.0,0.023009053,0.1871,133.6299322,17.625252,0.9671429,t17_f5_c3,0.99998057,19.3151,0.2588,568120118.0,False,True,False,bulk_1.0.0,0.0,1.010510051815015e+18,ZTF18acidfhz
ztf,58756.52890049992,1002528901815015006,2,1002528901815,19.372543,1,1002,0.23439415,18.703312,16.467808,18.6686,0.12532292,100.0,0.015989274,0.1833,133.6299843,17.6251673,0.9457143,t17_f5_c3,0.99263406,18.9608,0.3032,568120218.0,False,True,False,bulk_1.0.0,0.0,1.006489831815015e+18,ZTF18acidfhz
ztf,58760.48983799992,1006489831815015004,1,1006489831815,19.899399,1,1006,0.3848593,18.991695,17.112345,18.9838,0.14222176,100.0,0.025189865,0.1407,133.6299675,17.6250955,0.8642857,t17_f5_c3,0.99992204,19.1054,0.1963,568120118.0,False,True,False,bulk_1.0.0,0.0,1.006510371815015e+18,ZTF18acidfhz
ztf,58760.5103703998,1006510371815015002,2,1006510371815,19.85477,1,1006,0.32299235,18.524508,16.443289,18.4457,0.09035609,100.0,0.013288304,0.1035,133.6300231,17.6251915,0.96428573,t17_f5_c3,0.99988574,18.3113,0.1136,568120218.0,False,True,False,bulk_1.0.0,0.0,1.010510051815015e+18,ZTF18acidfhz
ztf,58764.5100579001,1010510051815015005,1,1010510051815,20.382963,1,1010,0.16840352,19.128536,17.135359,19.2114,0.12022309,100.0,0.019174185,0.1449,133.6299483,17.6251553,0.9614286,t17_f5_c3,0.9999627,19.3257,0.1987,568120118.0,False,True,False,bulk_1.0.0,0.0,1.037527561815015e+18,ZTF18acidfhz
ztf,58770.52774310019,1016527741815015003,1,1016527741815,19.3213,1,1016,0.659088,19.6871,17.207335,20.5415,0.312768,100.0,0.03186516,1.0963,133.6298283,17.6250502,0.704286,t17_f5_c3,,20.0335,0.8777,,False,True,False,bulk_1.0.0,0.0,1.037527561815015e+18,ZTF18acidfhz
ztf,58775.51755789993,1021517551815015005,1,1021517551815,19.86795,1,1021,0.14395963,19.312782,17.162727,19.5357,0.16242188,100.0,0.022419337,0.3124,133.6299031,17.6252126,0.95428574,t17_f5_c3,0.99963164,19.6694,0.4481,568120118.0,False,True,False,bulk_1.0.0,0.0,1.037527561815015e+18,ZTF18acidfhz
ztf,58781.46571760019,1027465711815015003,1,1027465711815,19.3225,1,1027,0.617269,19.1006,17.130856,19.3451,0.338303,0.030335017,0.055132538,0.1745,133.6297665,17.6251584,0.467143,t17_f5_c3,,19.3355,0.217,,False,True,False,bulk_1.0.0,0.0,1.037527561815015e+18,ZTF18acidfhz
