tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58439.289513899945,685289511915015010,2,685289511915,17.615837,1,685,0.39852536,16.493362,15.005745,16.6174,0.101834364,0.024275308,0.025873033,0.1743,82.1332431,10.7526656,0.6566667,t8_f5_c3,0.0,16.6289,0.225,510120219.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acowqnv
ztf,59219.26843750011,1465268431915015000,2,1465268431915,20.650848,1,1465,0.7012502,18.669687,15.275284,18.845,0.14961424,100.0,0.006564649,0.1061,82.1331416,10.7526624,0.44714287,t17_f5_c3,0.54057986,18.7621,0.1128,510120219.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acowqnv
ztf,59523.28583330009,1769285831915015001,2,1769285831915,20.512463,1,1769,0.78925073,18.712326,15.27712,19.3677,0.1673449,100.0,0.0070718,0.1859,82.1331621,10.7525869,0.3,t17_f5_c3,0.33073437,19.4908,0.2431,510120219.0,True,True,False,correction_1.0.6,0.0,,ZTF18acowqnv
ztf,59631.14905089978,1877149051915015002,2,1877149051915,18.484415,1,1877,0.27471665,17.201462,15.146667,17.2696,0.14653453,0.019588413,0.022081153,0.1405,82.1332719,10.752687,0.6028572,t17_f5_c3,0.5886317,17.2256,0.1705,510120219.0,True,True,False,correction_1.0.6,0.0,,ZTF18acowqnv
ztf,59873.44537039986,2119445371915015000,2,2119445371915,20.2934,1,2119,0.387096,18.8298,15.2818365,19.4926,0.277245,100.0,0.01056035,0.221,82.1332304,10.7526936,0.282857,t17_f5_c3,,19.3941,0.2396,,False,True,False,1.1.6,0.0,2.133418701915015e+18,ZTF18acowqnv
ztf,59887.41870369995,2133418701915015001,2,2133418701915,20.272331,1,2133,0.5741799,18.586872,15.271514,18.7824,0.14709926,100.0,0.0069417246,0.1179,82.1331769,10.7526808,0.62,t17_f5_c3,0.35675615,18.8657,0.1514,510120219.0,True,True,False,1.1.6,0.0,,ZTF18acowqnv
ztf,59889.39557870012,2135395571915015000,2,2135395571915,19.83871,1,2135,0.96240985,18.827152,15.281734,18.6654,0.1781421,100.0,0.006801416,0.14,82.1330757,10.752628,0.64857143,t17_f5_c3,0.3753952,18.6689,0.173,510120219.0,True,True,False,1.1.6,0.0,,ZTF18acowqnv
ztf,59991.18771990016,2237187711915015000,2,2237187711915,20.068739,1,2237,0.28409806,18.867708,15.283256,19.1452,0.17075756,100.0,0.006289248,0.1783,82.1332876,10.7526717,0.69857144,t17_f5_c3,0.9574592,19.3049,0.2484,510120219.0,True,True,False,1.1.6,0.0,,ZTF18acowqnv
ztf,60233.482303199824,2479482301915015001,2,2479482301915,20.467653,1,2479,1.260245,19.27999,15.295964,19.1756,0.18561073,100.0,0.0047314353,0.1546,82.1332469,10.752393,0.4842857,t17_f5_c3,0.0514982,19.1757,0.1809,510120219.0,True,True,False,1.2.1,0.0,,ZTF18acowqnv
ztf,60323.288587999996,2569288581915015000,2,2569288581915,19.882524,1,2569,0.83834946,18.86161,15.28303,19.1485,0.18583417,100.0,0.0068816626,0.1729,82.1335616,10.7526793,0.5914286,t17_f5_c3,0.4020836,19.2427,0.2265,510120219.0,True,True,False,23.12.x,0.0,,ZTF18acowqnv
ztf,60724.16439810023,2970164391915015000,2,2970164391915,19.097542,1,2970,1.1342301,18.65671,15.274711,18.6912,0.20332803,100.0,0.009023973,0.2703,82.1330121,10.7526612,0.4857143,t17_f5_c3,0.56393945,18.5279,0.2922,510120219.0,True,True,False,26.0.1,0.0,,ZTF18acowqnv
ztf,60999.40650459984,3245406501915015000,2,3245406501915,20.448984,1,3245,0.8577258,18.754988,15.278889,19.0439,0.15623108,100.0,0.006358109,0.1388,82.1331017,10.7526444,0.49142858,t17_f5_c3,0.39440116,19.2239,0.1922,510120219.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18acowqnv
ztf,61051.28738430003,3297287381915015000,2,3297287381915,19.901337,1,3297,0.025686294,18.442766,15.264266,18.908,0.1496749,100.0,0.008012149,0.1407,82.133328,10.7527382,0.67714286,t17_f5_c3,0.8197424,19.0897,0.2,510120219.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18acowqnv
ztf,61076.127569399774,3322127561915015001,2,3322127561915,19.999533,1,3322,0.80307955,18.523455,15.268436,19.1308,0.179733,100.0,0.008966453,0.1753,82.1331717,10.7525731,0.40571427,t17_f5_c3,0.72542626,19.1143,0.2081,510120219.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF18acowqnv
