tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58491.4672801001,737467285515015017,1,737467285515,20.2666,1,737,0.692435,20.2651,19.41332,20.0183,0.270109,0.11997564,0.12326138,0.2321,159.5759377,42.7451072,0.546667,t12_f5_c3,20.342,0.3983,False,True,False,bulk_1.0.0,0.0,7.57434645515015e+17,,,ZTF18acqzdbs
ztf,58511.43464120012,757434645515015015,1,757434645515,20.714834,1,757,0.31037477,19.723942,19.132769,19.5679,0.11471071,0.0628646,0.06654797,0.1417,159.5757651,42.7451774,0.7457143,t15_f5_c3,19.4669,0.1642,False,True,False,bulk_1.0.0,0.0,7.60387545515015e+17,0.0,712120155.0,ZTF18acqzdbs
ztf,58514.38754629996,760387545515015010,2,760387545515,19.427338,1,760,0.22068337,19.056011,18.255413,18.9997,0.16201155,0.075191416,0.07750092,0.277,159.5758622,42.7452207,0.51,t15_f5_c3,18.6601,0.2597,True,True,False,bulk_1.0.0,0.0,0.0,0.0,712120255.0,ZTF18acqzdbs
ztf,58559.259687500075,805259685515015014,2,805259685515,19.8498,1,805,0.490829,20.2717,18.67772,20.6693,0.276373,0.057320125,0.063665345,0.8431,159.5756452,42.7453324,0.685714,t15_f5_c3,20.5121,0.9354,False,True,False,bulk_1.0.0,0.0,8.26249881915015e+17,,,ZTF18acqzdbs
ztf,58580.196064800024,826196065515015012,1,826196065515,20.8359,1,826,0.313716,20.45,19.493816,20.2456,0.240024,0.09471726,0.09949026,0.227,159.5758077,42.7451781,0.688571,t15_f5_c3,20.3152,0.3079,False,True,False,bulk_1.0.0,0.0,8.26249881915015e+17,,,ZTF18acqzdbs
ztf,58580.21718750009,826217185515015025,2,826217185515,20.690084,1,826,0.17264819,20.25181,18.673105,19.9634,0.18202297,0.03236032,0.042524964,0.2136,159.5757738,42.7451885,0.8528572,t15_f5_c3,20.0678,0.2977,False,True,False,bulk_1.0.0,0.0,8.26249881915015e+17,0.0,712120255.0,ZTF18acqzdbs
ztf,58580.24895829987,826248953015015011,1,826248953015,20.6268,1,826,0.381411,20.8072,19.526283,20.3019,0.373403,0.104655124,0.11476551,0.2768,159.5758829,42.745271,0.41,t15_f5_c3,20.7173,0.517,False,True,False,bulk_1.0.0,0.0,8.26249881915015e+17,,,ZTF18acqzdbs
ztf,58580.249884299934,826249881915015022,1,826249881915,20.688993,1,826,0.38383222,20.456326,19.44453,20.3606,0.21392901,0.076559074,0.084246464,0.2787,159.575876,42.7451647,0.56285715,t15_f5_c3,20.4499,0.3853,True,True,False,bulk_1.0.0,0.0,0.0,0.0,1751120119.0,ZTF18acqzdbs
ztf,58835.47630790016,1081476305515015002,2,1081476305515,19.4793,1,1081,0.384236,19.6787,18.509682,19.7567,0.281549,0.09294579,0.095928274,0.3153,159.5758989,42.7453011,0.708571,t17_f5_c3,19.7482,0.4005,False,True,False,bulk_1.0.0,0.0,1.098453495515015e+18,,,ZTF18acqzdbs
ztf,58846.42982639978,1092429825515015011,2,1092429825515,20.636904,1,1092,0.25714162,20.408737,18.707788,20.484,0.19674948,0.029587429,0.04107088,0.3456,159.5757104,42.7452875,0.95285714,t17_f5_c3,20.4005,0.4072,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.9999424,712120255.0,ZTF18acqzdbs
ztf,58846.50759259984,1092507595515015010,1,1092507595515,20.9459,1,1092,0.273361,20.8228,19.633179,20.7414,0.240186,0.07245239,0.08029696,0.3304,159.5757289,42.7451972,0.908571,t17_f5_c3,20.9771,0.5227,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58849.491469900124,1095491465515015013,1,1095491465515,20.8131,1,1095,0.375567,21.0019,19.689829,21.1745,0.335406,0.09329624,0.10017106,0.5311,159.5758232,42.7451631,0.728571,t17_f5_c3,20.8042,0.483,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58851.45621530013,1097456215515015010,2,1097456215515,20.541805,1,1097,0.15991232,19.763771,18.537924,19.7324,0.1819163,0.0535399,0.058821052,0.1897,159.57575,42.7451978,0.94285715,t17_f5_c3,19.784,0.2525,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.9999835,712120255.0,ZTF18acqzdbs
ztf,58852.45349540003,1098453495515015011,2,1098453495515,20.695354,1,1098,0.10696305,20.13397,18.644407,20.0864,0.19215104,0.040655315,0.04873237,0.2385,159.5757513,42.7452578,0.9342857,t17_f5_c3,20.0172,0.284,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.99999857,712120255.0,ZTF18acqzdbs
ztf,58852.51303240005,1098513035515015013,1,1098513035515,20.8004,1,1098,0.221302,20.424,19.482962,20.0283,0.219051,0.08699858,0.092072584,0.1832,159.5757209,42.7452198,0.654286,t17_f5_c3,20.2111,0.2754,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58853.514548600186,1099514545515015014,1,1099514545515,20.9465,1,1099,0.492211,20.6178,19.560251,20.663,0.302442,0.10950537,0.114188686,0.3109,159.5755936,42.7452466,0.788571,t17_f5_c3,20.4544,0.3271,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58855.517442100216,1101517445515015008,1,1101517445515,20.716,1,1101,0.044419,20.4111,19.477522,20.4603,0.26403,0.10764312,0.1117434,0.2911,159.5757972,42.7452614,0.8,t17_f5_c3,20.2637,0.3104,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58855.534016199876,1101534015515015006,2,1101534015515,20.501665,1,1101,0.26762336,19.854923,18.566568,19.7147,0.1835148,0.050124776,0.05601821,0.1846,159.5756969,42.7451933,0.96,t17_f5_c3,19.5398,0.1997,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.99873424,712120255.0,ZTF18acqzdbs
ztf,58860.360046300106,1106360045515015005,2,1106360045515,19.2788,1,1106,0.57862,19.7415,18.530674,19.0796,0.297841,0.09460007,0.09764576,0.31,159.5757138,42.7450816,0.557143,t17_f5_c3,19.1815,0.437,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,,,ZTF18acqzdbs
ztf,58864.32215279993,1110322155515015015,2,1110322155515,20.345531,1,1110,0.101623856,19.601534,18.482769,19.872,0.16237278,0.053117044,0.05794384,0.2702,159.5758176,42.7452457,0.9014286,t17_f5_c3,19.8779,0.3468,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.9993987,712120255.0,ZTF18acqzdbs
ztf,58864.42421300011,1110424215515015010,1,1110424215515,20.400816,1,1110,0.2077348,19.603102,19.061037,19.6367,0.15785061,0.093607135,0.09581215,0.2101,159.5757845,42.7452057,0.9085714,t17_f5_c3,19.7255,0.2915,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.99999774,712120155.0,ZTF18acqzdbs
ztf,58867.36928239977,1113369285515015005,2,1113369285515,20.471788,1,1113,0.11266314,19.632154,18.493597,19.7988,0.17434844,0.056440685,0.06109353,0.2038,159.5757866,42.7452054,0.97571427,t17_f5_c3,19.7286,0.243,False,True,False,bulk_1.0.0,0.0,1.113405415515015e+18,0.9999957,712120255.0,ZTF18acqzdbs
ztf,58867.40541670006,1113405415515015012,1,1113405415515,20.498869,1,1113,0.16922408,19.975657,19.271618,20.1029,0.1619388,0.08095431,0.08467115,0.2146,159.5758024,42.7452192,0.7614286,t17_f5_c3,20.0168,0.2528,False,True,False,bulk_1.0.0,0.0,1.120302875515015e+18,0.9999416,712120155.0,ZTF18acqzdbs
ztf,58871.31707180012,1117317075515015009,2,1117317075515,20.3731,1,1117,0.071251,20.3355,18.692087,20.5292,0.241991,0.04526349,0.053263992,0.4288,159.5757536,42.7452398,0.918571,t17_f5_c3,20.6556,0.615,False,True,False,bulk_1.0.0,0.0,1.120302875515015e+18,,,ZTF18acqzdbs
ztf,58871.32778939977,1117327785515015014,2,1117327785515,20.2353,1,1117,0.335894,20.4476,18.715786,20.1696,0.271609,0.047047935,0.055108555,0.3247,159.5756612,42.7452719,0.942857,t17_f5_c3,19.8592,0.3117,False,True,False,bulk_1.0.0,0.0,1.120302875515015e+18,,,ZTF18acqzdbs
