tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58476.51947919978,722519470915015000,2,722519470915,19.654028,1,722,0.26219314,19.616665,18.469313,19.3784,0.18804498,0.060740378,0.065361336,0.29,214.7612676,16.5019778,0.77666664,t8_f5_c3,0.0,19.2747,0.3379,580120209.0,False,True,False,bulk_1.0.0,0.0,7.33505590915015e+17,ZTF18acrnhtg
ztf,58480.53954860009,726539540915015012,1,726539540915,19.5515,1,726,0.376263,19.3606,18.498722,19.4834,0.175806,0.0788,0.07948462,0.222,214.7613652,16.5020697,0.513333,t12_f5_c3,,19.5034,0.2893,,False,True,False,bulk_1.0.0,0.0,7.33505590915015e+17,ZTF18acrnhtg
ztf,58480.54682870023,726546820915015006,2,726546820915,19.537516,1,726,0.3030604,19.286133,18.342697,19.2205,0.18697664,0.07541766,0.078417554,0.1856,214.7612878,16.5019684,0.54333335,t8_f5_c3,0.0,19.0652,0.2058,580120209.0,False,True,False,bulk_1.0.0,0.0,7.33505590915015e+17,ZTF18acrnhtg
ztf,58481.51998839993,727519980915015010,2,727519980915,19.792898,1,727,0.33379775,19.36256,18.374098,19.7325,0.13503154,0.049627885,0.054331362,0.3137,214.761179,16.5020975,0.78,t8_f5_c3,0.0,19.7414,0.4051,580120209.0,False,True,False,bulk_1.0.0,0.0,7.33505590915015e+17,ZTF18acrnhtg
ztf,58487.505590300076,733505590915015008,1,733505590915,20.697124,1,733,0.111784875,19.504879,18.56159,19.5701,0.12934019,0.053119164,0.054252323,0.1404,214.7612593,16.5020339,0.81666666,t8_f5_c3,0.0,19.6221,0.1867,580120109.0,False,True,False,bulk_1.0.0,0.0,7.40527540915015e+17,ZTF18acrnhtg
ztf,58491.51716439985,737517160915015014,1,737517160915,20.363802,1,737,0.09465402,19.548271,18.579582,19.44,0.1541851,0.06217478,0.06317809,0.1313,214.7612783,16.5020532,0.6566667,t8_f5_c3,0.0,19.4167,0.163,580120109.0,False,True,False,bulk_1.0.0,0.0,7.40527540915015e+17,ZTF18acrnhtg
ztf,58494.52754630009,740527540915015007,1,740527540915,20.770643,1,740,0.17206521,19.519562,18.567726,19.7272,0.1288813,0.052476253,0.05363589,0.143,214.7613028,16.5020486,0.8257143,t15_f5_c3,0.0,19.766,0.1874,580120109.0,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58508.50346060004,754503460915015005,2,754503460915,19.62,1,754,0.321296,19.7479,18.513153,19.4438,0.264637,0.08106236,0.08486947,0.2704,214.7613496,16.5020211,0.76,t15_f5_c3,,19.2967,0.3026,,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58508.54446760006,754544460915015009,1,754544460915,19.5729,1,754,0.106241,19.854,18.69465,20.5996,0.274027,0.09337177,0.09420058,0.7287,214.761242,16.502042,0.591429,t15_f5_c3,,20.2214,0.6604,,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58509.540428199805,755540420915015004,1,755540420915,19.2867,1,755,0.475616,19.5865,18.595083,19.8446,0.264732,0.105617315,0.106228195,0.3806,214.7611183,16.5020386,0.475714,t15_f5_c3,,20.0408,0.5845,,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58511.51737269992,757517370915025003,1,757517370915,19.2627,1,757,0.581,19.8244,18.684383,19.644,0.287691,0.09991408,0.10067459,0.4513,214.7613083,16.50191,0.462857,t15_f5_c3,,19.4269,0.4742,,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58522.472291700076,768472290915015012,1,768472290915,20.657679,1,768,0.48499724,19.989355,18.739304,19.6931,0.1812752,0.055829782,0.057321507,0.1493,214.7613751,16.5019934,0.5642857,t15_f5_c3,0.0,19.6876,0.1885,580120109.0,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58522.49018519977,768490180915015015,1,768490180915,20.755627,1,768,0.3026689,19.966633,18.732067,19.9649,0.17504235,0.05464234,0.056145713,0.1827,214.7613425,16.5020534,0.79142857,t15_f5_c3,0.0,19.7734,0.1947,580120109.0,False,True,False,bulk_1.0.0,0.0,7.68541600915015e+17,ZTF18acrnhtg
ztf,58522.54160880018,768541600915015018,2,768541600915,20.640753,1,768,0.06942219,19.88159,18.55426,19.7763,0.1828804,0.047107037,0.05385618,0.195,214.7612867,16.5020564,0.8314286,t15_f5_c3,0.0,19.9001,0.2776,580120209.0,False,True,False,bulk_1.0.0,0.0,7.87481360915015e+17,ZTF18acrnhtg
ztf,58526.47173610004,772471730915015011,1,772471730915,20.18799,1,772,0.5087869,20.206394,18.803362,20.3649,0.2148845,0.057387445,0.059019066,0.37,214.761404,16.5020716,0.5914286,t15_f5_c3,0.0,20.4353,0.5041,580120109.0,False,True,False,bulk_1.0.0,0.0,7.87481360915015e+17,ZTF18acrnhtg
ztf,58526.50491899997,772504910915015009,2,772504910915,19.6037,1,772,0.464645,20.0466,18.600306,19.7148,0.275964,0.06755042,0.072834,0.3784,214.7613977,16.5020602,0.744286,t15_f5_c3,,19.6887,0.4733,,False,True,False,bulk_1.0.0,0.0,7.87481360915015e+17,ZTF18acrnhtg
ztf,58541.48136569979,787481360915015017,2,787481360915,20.594414,1,787,0.32301766,20.027811,18.595314,20.1932,0.18932378,0.042732593,0.050606508,0.3044,214.761333,16.5019881,0.89428574,t15_f5_c3,0.0,19.9528,0.3111,580120209.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF18acrnhtg
ztf,58632.29177080002,878291770915015003,2,878291770915,20.494,1,878,0.50455,20.4189,18.686848,20.0994,0.270334,0.046230514,0.0548378,0.2822,214.7612563,16.5019098,0.934286,t17_f5_c3,,20.1662,0.3821,,False,True,False,bulk_1.0.0,0.0,8.88298420915015e+17,ZTF18acrnhtg
ztf,58633.256018499844,879256010915015003,1,879256010915,20.7319,1,879,0.383951,20.8583,18.947084,20.6849,0.291043,0.047521316,0.050057713,0.3788,214.7612707,16.5019617,0.89,t17_f5_c3,,20.8133,0.543,,False,True,False,bulk_1.0.0,0.0,8.88298420915015e+17,ZTF18acrnhtg
ztf,58636.227280099876,882227280915015003,2,882227280915,20.6345,1,882,0.654654,20.1872,18.635681,20.1396,0.229859,0.047330424,0.05506219,0.2644,214.7613765,16.5019023,0.93,t17_f5_c3,,19.834,0.2541,,False,True,False,bulk_1.0.0,0.0,8.88298420915015e+17,ZTF18acrnhtg
ztf,58639.23311340017,885233110915015004,1,885233110915,20.833138,1,885,0.48142278,20.55068,18.887579,20.6203,0.21148296,0.0432184,0.045712523,0.3232,214.7613394,16.5019607,0.9285714,t17_f5_c3,0.0,20.5362,0.38,580120109.0,False,True,False,bulk_1.0.0,0.0,8.88298420915015e+17,ZTF18acrnhtg
