tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59194.41961809993,1440419613015015012,1,1440419613015,20.2052,1,1440,0.65436,20.4691,19.057564,20.7731,0.300879,0.0801126,0.08199311,0.543,113.5299822,17.155529,0.85,t17_f5_c3,20.6671,0.6359,False,True,False,bulk_1.0.0,0.0,1.449374243015015e+18,,,ZTF18adbbxbh
ztf,59199.4239236,1445423923015015012,1,1445423923015,20.554241,1,1445,0.58885556,20.31456,19.013224,20.7881,0.20863783,0.060656965,0.062930115,0.4438,113.5299927,17.1556509,0.91,t17_f5_c3,20.4366,0.4147,False,True,False,bulk_1.0.0,0.0,1.449374243015015e+18,0.99999833,566120130.0,ZTF18adbbxbh
ztf,59201.41083330009,1447410833015015019,1,1447410833015,20.6091,1,1447,0.39242,20.3321,19.018484,20.188,0.227884,0.065842204,0.06796222,0.2388,113.529925,17.1555858,0.914286,t17_f5_c3,20.3496,0.3574,False,True,False,bulk_1.0.0,0.0,1.449374243015015e+18,,,ZTF18adbbxbh
ztf,59203.374247699976,1449374243015015016,1,1449374243015,20.499088,1,1449,0.35108978,20.23006,18.987038,20.0193,0.1854349,0.05670434,0.059017662,0.2214,113.5299207,17.1556068,0.91714287,t17_f5_c3,19.9801,0.2749,False,True,False,bulk_1.0.0,0.0,1.472303863015015e+18,0.99998796,566120130.0,ZTF18adbbxbh
ztf,59210.26422449993,1456264223015015005,1,1456264223015,19.6027,1,1456,0.218712,20.121,18.951124,20.1146,0.336522,0.11346912,0.11456791,0.5773,113.5298778,17.1556573,0.815714,t17_f5_c3,19.7617,0.5365,False,True,False,bulk_1.0.0,0.0,1.472303863015015e+18,,,ZTF18adbbxbh
ztf,59216.43373840023,1462433733015015006,1,1462433733015,19.5797,1,1462,0.156315,20.0941,18.94189,19.7985,0.35268,0.12102505,0.12203853,0.4705,113.5298051,17.1555893,0.75,t17_f5_c3,20.3357,0.9919,False,True,False,bulk_1.0.0,0.0,1.472303863015015e+18,,,ZTF18adbbxbh
ztf,59220.339826399926,1466339823015015014,1,1466339823015,20.2407,1,1466,0.294596,20.1156,18.949284,20.5762,0.221329,0.0739281,0.07559816,0.476,113.5299068,17.1556341,0.938571,t17_f5_c3,20.6088,0.6309,False,True,False,bulk_1.0.0,0.0,1.472303863015015e+18,,,ZTF18adbbxbh
ztf,59222.382013900205,1468382013015015023,1,1468382013015,20.662895,1,1468,0.286186,20.34285,19.021679,20.8365,0.19123088,0.054057866,0.056635633,0.445,113.5299033,17.1556428,0.9014286,t17_f5_c3,20.6343,0.478,False,True,False,bulk_1.0.0,0.0,1.472303863015015e+18,0.99998826,566120130.0,ZTF18adbbxbh
ztf,59226.30386570003,1472303863015015026,1,1472303863015,20.446367,1,1472,0.5385215,20.348768,19.023428,20.331,0.21362485,0.060711972,0.063025445,0.302,113.5299311,17.1555213,0.92,t17_f5_c3,20.4393,0.4311,True,True,False,bulk_1.0.0,0.0,0.0,0.999659,566120130.0,ZTF18adbbxbh
ztf,59228.287187499925,1474287183015015020,1,1474287183015,20.7466,1,1474,0.348289,20.315,19.013357,20.3155,0.241237,0.070784345,0.07274218,0.2652,113.5299097,17.1555837,0.85,t17_f5_c3,20.6413,0.4626,False,True,False,correction_0.0.1,0.0,,,,ZTF18adbbxbh
