tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60924.50785879977,3170507851815015005,2,3170507851815,19.634,1,3170,0.857638,17.9995,15.294194,18.1445,0.126631,100.0,0.010481359,0.1098,119.5128836,3.1822705,0.485714,t17_f5_c3,17.9581,0.1161,False,True,False,27.5.6,0.0,3.173513116215015e+18,,,ZTF18adbueow
ztf,60926.514270800166,3172514276215015003,2,3172514276215,19.1099,1,3172,1.03067,17.9096,15.286464,17.9245,0.160859,0.0044301604,0.014361214,0.138,119.512815,3.1820811,0.345714,t17_f5_c3,17.8155,0.1589,False,True,False,27.5.6,0.0,3.173513116215015e+18,,,ZTF18adbueow
ztf,60927.51311339997,3173513116215015039,2,3173513116215,18.976425,1,3173,1.0611112,18.050625,15.298336,17.8921,0.09453143,100.0,0.0074930824,0.1206,119.5129175,3.1821796,0.6585714,t17_f5_c3,17.8588,0.1489,True,True,False,27.5.6,0.0,,0.99993706,1458120262.0,ZTF18adbueow
ztf,61087.25738430023,3333257381815015006,1,3333257381815,19.8015,1,3333,0.437495,18.6234,16.054045,18.6707,0.098919,100.0,0.009279784,0.1405,119.51277,3.1823489,0.93,t17_f5_c3,18.5438,0.1569,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61093.21109949984,3339211091815015015,2,3339211091815,20.229,1,3339,0.431907,17.7504,15.271263,17.7025,0.074554,100.0,0.0076000392,0.0445,119.5127413,3.1822471,0.921429,t17_f5_c3,17.6974,0.0542,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61093.27109949989,3339271091815015018,1,3339271091815,20.0622,1,3339,0.142401,18.4562,16.037218,18.4553,0.081027,100.0,0.008730465,0.0806,119.5126733,3.1822903,0.935714,t17_f5_c3,18.4151,0.0976,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61094.175439800136,3340175431815015009,1,3340175431815,20.1097,1,3340,0.194396,18.3147,16.021055,18.4085,0.102011,0.0046466095,0.012336426,0.0816,119.5126974,3.1822996,0.935714,t17_f5_c3,18.4777,0.1085,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61094.2256713002,3340225671815015013,2,3340225671815,20.2365,1,3340,0.362234,17.7743,15.273675,17.7403,0.074143,100.0,0.007410037,0.0467,119.5127169,3.1822529,0.902857,t17_f5_c3,17.6977,0.0549,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61095.19377310015,3341193771815015010,2,3341193771815,20.3715,1,3341,0.409846,17.8953,15.285179,17.7318,0.084419,100.0,0.007627672,0.0451,119.5127536,3.1822801,0.784286,t17_f5_c3,17.5801,0.0478,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61095.22807870014,3341228071815015008,1,3341228071815,20.18,1,3341,0.36931,18.2805,16.016861,18.3105,0.084966,100.0,0.010563058,0.0782,119.5126756,3.1822223,0.878571,t17_f5_c3,18.2645,0.0935,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61096.19165509986,3342191651815015006,1,3342191651815,20.0424,1,3342,0.226614,18.2547,16.01362,18.3837,0.091471,0.0024462438,0.011610522,0.0916,119.5127115,3.1823315,0.922857,t17_f5_c3,18.2317,0.1007,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61097.27747689979,3343277471815015006,1,3343277471815,19.745,1,3343,0.15621,18.3284,16.022703,18.4576,0.076494,100.0,0.009148473,0.1145,119.512673,3.1822846,0.955714,t17_f5_c3,18.2547,0.1214,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61098.2159258998,3344215921815015004,1,3344215921815,19.3298,1,3344,0.364946,18.1707,16.002592,18.1624,0.094973,0.006324724,0.012893078,0.105,119.5126957,3.1822301,0.955714,t17_f5_c3,18.1058,0.1272,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61100.27771990001,3346277711815015005,1,3346277711815,19.4309,1,3346,0.159691,18.2824,16.017097,18.4478,0.119111,0.009431753,0.014785325,0.1672,119.512658,3.1822769,0.771429,t17_f5_c3,18.3483,0.1949,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61101.2552546002,3347255251815025005,1,3347255251815,19.1649,1,3347,0.086278,18.2912,16.018187,18.1985,0.10793,0.006859369,0.013302595,0.1604,119.5126608,3.1823011,0.918571,t17_f5_c3,18.3025,0.2256,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61102.24344909983,3348243441815015003,2,3348243441815,19.413,1,3348,0.474395,17.6568,15.261343,17.673,0.090096,100.0,0.00992026,0.0831,119.5126235,3.182193,0.564286,t17_f5_c3,17.7792,0.1159,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61102.30525460001,3348305251815015001,1,3348305251815,19.0261,1,3348,0.257599,18.1475,15.999413,18.2354,0.123405,0.012872874,0.017064678,0.1834,119.5126254,3.1822563,0.908571,t17_f5_c3,18.0463,0.1977,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61105.15231479984,3351152311815025020,2,3351152311815,20.1428,1,3351,0.140819,17.7415,15.270352,17.6823,0.077541,100.0,0.007962913,0.0454,119.5126853,3.1823132,0.882857,t17_f5_c3,17.5636,0.0501,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61105.25454859994,3351254541815015009,3,3351254541815,19.5916,1,3351,0.850712,17.9676,15.000019,18.0564,0.12164,100.0,0.007907592,0.1059,119.5128706,3.1822494,0.585714,t17_f5_c3,18.1081,0.138,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61106.14958330011,3352149581815015009,2,3352149581815,20.0191,1,3352,0.477762,17.7039,15.26643,17.6186,0.087489,100.0,0.009267569,0.0456,119.5127523,3.1822415,0.908571,t17_f5_c3,17.6278,0.0561,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61106.2708101999,3352270811815015008,3,3352270811815,19.2889,1,3352,0.620482,17.9813,15.000905,18.2671,0.112812,100.0,0.007247648,0.1308,119.5127038,3.1821627,0.824286,t17_f5_c3,18.3693,0.1801,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61107.170856500044,3353170851815015009,1,3353170851815,20.0938,1,3353,0.476895,18.2518,16.013252,18.3458,0.090815,0.0021830683,0.0115541555,0.0711,119.5127565,3.1822405,0.912857,t17_f5_c3,18.3166,0.0873,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61108.187372699846,3354187371815015012,2,3354187371815,20.2537,1,3354,0.273333,17.6632,15.262046,17.7215,0.067999,100.0,0.00744802,0.0449,119.5126745,3.1822541,0.927143,t17_f5_c3,17.7718,0.0569,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61108.215208299924,3354215201815015008,1,3354215201815,20.3204,1,3354,0.324683,18.4437,16.035866,18.5825,0.084011,100.0,0.009145382,0.0834,119.5126873,3.1824046,0.914286,t17_f5_c3,18.3032,0.0813,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61111.13245370006,3357132451815015008,2,3357132451815,20.4794,1,3357,0.779324,18.1032,15.302411,17.9587,0.115345,100.0,0.008743453,0.0531,119.5128665,3.1823552,0.494286,t17_f5_c3,17.9161,0.0612,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61112.13148149988,3358131481815015011,2,3358131481815,20.3666,1,3358,0.294819,17.8642,15.282332,17.9812,0.118419,100.0,0.010981817,0.0564,119.5126136,3.1822548,0.832857,t17_f5_c3,17.9549,0.0674,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61112.286365699954,3358286361815015013,1,3358286361815,20.1688,1,3358,0.15409,18.5481,16.046755,18.5732,0.111102,100.0,0.011096449,0.0917,119.5126887,3.1823094,0.942857,t17_f5_c3,18.4431,0.1025,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61113.19057870004,3359190571815015018,1,3359190571815,20.5021,1,3359,0.382868,18.6101,16.05279,18.7454,0.081634,100.0,0.007743679,0.0917,119.512698,3.1822268,0.76,t17_f5_c3,18.8619,0.1256,False,True,False,27.5.7a32.dev1,0.0,3.363169211815015e+18,,,ZTF18adbueow
ztf,61117.16921300022,3363169211815015008,2,3363169211815,20.071415,1,3363,1.085004,18.016777,15.295613,18.0478,0.0702914,100.0,0.005733725,0.0661,119.5129188,3.1821846,0.83428574,t17_f5_c3,17.9524,0.0748,True,True,False,27.5.7a32.dev1,0.0,,0.96821296,463120218.0,ZTF18adbueow
