tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59621.544722199906,1867544725915010011,2,1867544725915,19.542328,-1,1867,0.17902829,18.017277,18.318733,18.2382,0.11103434,0.12898822,0.14656816,0.0921,288.5970316,21.3945212,0.8214286,t17_f5_c3,0.9987714,17.8586,0.087,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59621.544722199906,1867544725915020010,2,1867544725915,19.5452,-1,1867,0.181395,18.0172,18.318832,18.253,0.110994,0.12895137,0.14653881,0.0931,288.5970319,21.3945204,0.82,t17_f5_c3,,17.8771,0.0882,,False,True,False,correction_1.0.6,0.0,1.87354142591501e+18,ZTF18adjueqe
ztf,59621.547326399945,1867547325915010011,2,1867547325915,19.633274,-1,1867,0.16617177,18.016645,18.319567,18.3118,0.09061852,0.097445406,0.1197803,0.0982,288.5970571,21.3945173,0.83285713,t17_f5_c3,0.9998201,17.8628,0.0877,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59621.547326399945,1867547325915020013,2,1867547325915,19.6388,-1,1867,0.16468,18.0151,18.321611,18.3288,0.090255,0.09724637,0.11969497,0.0992,288.5970565,21.3945179,0.828571,t17_f5_c3,,17.8904,0.0895,,False,True,False,correction_1.0.6,0.0,1.87354142591501e+18,ZTF18adjueqe
ztf,59621.549930599984,1867549935915010011,2,1867549935915,19.486982,-1,1867,0.11472314,18.002565,18.338463,18.3422,0.07873339,0.080531865,0.10727975,0.1062,288.5970455,21.394536,0.76285714,t17_f5_c3,0.9995749,17.9363,0.0977,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59621.549930599984,1867549935915020011,2,1867549935915,19.488,-1,1867,0.11767,18.0009,18.340734,18.3429,0.078048,0.07966893,0.10673228,0.1061,288.597043,21.3945357,0.767143,t17_f5_c3,,17.9632,0.1001,,False,True,False,correction_1.0.6,0.0,1.87354142591501e+18,ZTF18adjueqe
ztf,59621.55252309982,1867552525915010011,2,1867552525915,19.461231,-1,1867,0.20419203,18.057713,18.267563,18.2971,0.084122315,0.07750825,0.10205902,0.102,288.5970141,21.3945203,0.7785714,t17_f5_c3,0.9999997,18.064,0.1099,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59621.55252309982,1867552525915020011,2,1867552525915,19.4641,-1,1867,0.197243,18.0489,18.27835,18.2769,0.083225,0.07792834,0.102809645,0.0999,288.5970151,21.394522,0.784286,t17_f5_c3,,18.0623,0.1095,,False,True,False,correction_1.0.6,0.0,1.87354142591501e+18,ZTF18adjueqe
ztf,59621.55511569977,1867555115915010011,2,1867555115915,19.6221,-1,1867,0.112587,18.0159,18.320553,18.4519,0.070346,0.061750337,0.09313239,0.1116,288.5970191,21.3945648,0.762857,t17_f5_c3,,18.4114,0.1452,,False,True,False,correction_1.0.6,0.0,1.86854437591501e+18,ZTF18adjueqe
ztf,59621.55511569977,1867555115915020011,2,1867555115915,19.624,-1,1867,0.107136,18.0172,18.318832,18.4408,0.070085,0.060962804,0.09252907,0.1104,288.5970207,21.394565,0.77,t17_f5_c3,,18.4182,0.1459,,False,True,False,correction_1.0.6,0.0,1.87354142591501e+18,ZTF18adjueqe
ztf,59622.544375000056,1868544375915010015,2,1868544375915,19.44097,-1,1868,0.08859156,18.072886,18.249435,18.6868,0.10087568,0.09911143,0.11868786,0.1482,288.5970561,21.3945427,0.6528571,t17_f5_c3,0.9883479,18.3195,0.1416,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59622.54693289986,1868546935915010011,2,1868546935915,19.544846,-1,1868,0.23912045,17.996704,18.3465,18.0472,0.077753134,0.080104515,0.10730903,0.0768,288.5969916,21.3945321,0.8385714,t17_f5_c3,0.9998851,17.5917,0.068,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59622.55203700019,1868552035915010015,2,1868552035915,19.764896,-1,1868,0.030848917,17.956179,18.405037,18.0961,0.07298236,0.080607116,0.1103472,0.0757,288.597049,21.3945597,0.9028571,t17_f5_c3,0.99921274,17.8051,0.0792,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59622.55459489999,1868554595915010014,2,1868554595915,19.571735,-1,1868,0.2580323,17.99852,18.344,17.9334,0.0876538,0.097177885,0.12049316,0.0676,288.5970348,21.3944969,0.84,t17_f5_c3,0.99946165,17.1703,0.0449,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59623.545520800166,1869545525915010010,2,1869545525915,19.738922,-1,1869,0.070344545,18.039127,18.290546,18.4658,0.0904227,0.09161474,0.11398433,0.1091,288.5970318,21.3945669,0.80142856,t17_f5_c3,0.9999982,18.4705,0.1496,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59623.54807869997,1869548075915010009,2,1869548075915,20.1312,-1,1869,0.077791,17.9589,18.400934,18.3581,0.101849,0.13334647,0.15302785,0.0763,288.5970315,21.3945719,0.761429,t17_f5_c3,,18.169,0.0908,,False,True,False,correction_1.0.6,0.0,1.86955063591501e+18,ZTF18adjueqe
ztf,59623.55063659977,1869550635915010010,2,1869550635915,20.138302,-1,1869,0.06764823,17.998447,18.344099,18.0658,0.09110638,0.10302354,0.12525909,0.0585,288.597036,21.39456,0.88857144,t17_f5_c3,0.99844635,17.8134,0.0663,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59623.55319439992,1869553195915010011,2,1869553195915,19.716444,-1,1869,0.12888062,18.03564,18.294958,18.092,0.08583269,0.08509842,0.10898822,0.0787,288.5970142,21.3945621,0.9028571,t17_f5_c3,0.9998263,17.7434,0.0763,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59623.55575230019,1869555755915010013,2,1869555755915,19.871862,-1,1869,0.05323795,17.970972,18.383045,18.1814,0.07325682,0.07753038,0.10707241,0.078,288.5970379,21.3945597,0.87,t17_f5_c3,0.99322855,18.0449,0.0946,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59624.54449070012,1870544495915010010,2,1870544495915,19.5547,-1,1870,0.069276,17.9903,18.355402,18.482,0.107904,0.13277385,0.15103538,0.1342,288.5970335,21.3945716,0.72,t17_f5_c3,,18.4515,0.1754,,False,True,False,correction_1.0.6,0.0,1.87055471591501e+18,ZTF18adjueqe
ztf,59624.547048599925,1870547045915010013,2,1870547045915,20.0204,-1,1870,0.072662,17.9759,18.375883,18.3478,0.106028,0.1345544,0.15325448,0.0847,288.5970381,21.3945828,0.791429,t17_f5_c3,,18.5096,0.1383,,False,True,False,correction_1.0.6,0.0,1.87055471591501e+18,ZTF18adjueqe
ztf,59624.549594900105,1870549595915010014,2,1870549595915,19.7732,-1,1870,0.115417,17.9624,18.395697,18.3973,0.102449,0.13316834,0.15269557,0.1066,288.5970228,21.3945809,0.735714,t17_f5_c3,,18.4491,0.152,,False,True,False,correction_1.0.6,0.0,1.87055471591501e+18,ZTF18adjueqe
ztf,59624.55215279991,1870552155915010009,2,1870552155915,20.066,-1,1870,0.06959,17.9808,18.36884,18.1319,0.100802,0.12431446,0.14410675,0.0667,288.5970341,21.394576,0.878571,t17_f5_c3,,17.8487,0.0724,,False,True,False,correction_1.0.6,0.0,1.87055471591501e+18,ZTF18adjueqe
ztf,59624.55471060006,1870554715915010006,2,1870554715915,20.12346,-1,1870,0.063092194,17.92962,18.446468,18.0038,0.08747299,0.1170307,0.14080326,0.057,288.5970335,21.3945676,0.88285714,t17_f5_c3,0.96002847,17.6622,0.0591,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59625.54722219985,1871547225915010015,2,1871547225915,19.1258,-1,1871,0.172582,17.9735,18.379362,18.1566,0.085302,0.09975491,0.12396656,0.118,288.5970016,21.3945652,0.774286,t17_f5_c3,,18.2043,0.1622,,False,True,False,correction_1.0.6,0.0,1.87154979591501e+18,ZTF18adjueqe
ztf,59625.54979170021,1871549795915010008,2,1871549795915,19.025398,-1,1871,0.18971355,18.106777,18.210869,18.3994,0.14832677,0.15059733,0.16325101,0.1499,288.597006,21.3945325,0.6757143,t17_f5_c3,0.9999894,18.3768,0.1923,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59625.55237270007,1871552375915010007,2,1871552375915,19.055923,-1,1871,0.27996263,18.017653,18.318237,18.2513,0.13681205,0.16650085,0.18045048,0.1319,288.5969799,21.3945279,0.70428574,t17_f5_c3,0.99976313,17.8963,0.1247,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59625.55495369993,1871554955915010008,2,1871554955915,18.92023,-1,1871,0.57428133,18.143911,18.171413,18.3198,0.17912783,0.17338192,0.18372327,0.1388,288.5969152,21.3944693,0.55714285,t17_f5_c3,0.9998416,18.221,0.1649,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59627.54142360017,1873541425915010005,2,1873541425915,18.700212,-1,1873,0.41123024,18.013561,18.323656,17.9963,0.1343087,0.16446245,0.17870732,0.1156,288.5969975,21.394464,0.44285715,t17_f5_c3,0.99998987,17.8307,0.1288,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59627.54657409992,1873546575915010008,2,1873546575915,18.881298,-1,1873,0.108486526,18.104803,18.213045,18.5849,0.15722127,0.16181947,0.17370328,0.1851,288.5970613,21.394538,0.6242857,t17_f5_c3,0.9710758,18.4362,0.2105,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59627.54914350016,1873549145915010008,2,1873549145915,18.76886,-1,1873,0.55356145,18.138397,18.1771,18.2553,0.16607665,0.16089666,0.17210333,0.1365,288.5970527,21.3944118,0.45,t17_f5_c3,0.99999976,18.1377,0.1593,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59673.46499999985,1919464995915015010,1,1919464995915,19.846588,1,1919,0.2823505,18.346275,18.252405,18.3165,0.10401349,0.09523216,0.09539856,0.0638,288.5970282,21.3945436,0.7214286,t17_f5_c3,0.99999964,18.4205,0.0926,590120159.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59673.46499999985,1919464995915025010,1,1919464995915,19.8492,1,1919,0.30947,18.3557,18.261045,18.3398,0.106849,0.097763814,0.09792851,0.065,288.5970207,21.39454,0.717143,t17_f5_c3,,18.4452,0.0944,,False,True,False,correction_1.0.6,0.0,1.935478685915015e+18,ZTF18adjueqe
ztf,59673.48740739981,1919487405915015020,2,1919487405915,20.078884,1,1919,0.091032885,16.090036,15.806966,16.1559,0.03741406,0.027993195,0.028827468,0.0115,288.5970398,21.3945454,0.8742857,t17_f5_c3,1.0,16.2038,0.0157,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
ztf,59673.48740739981,1919487405915025022,2,1919487405915,20.0802,1,1919,0.097529,16.0905,15.8073225,16.1542,0.037135,0.027768273,0.02860965,0.0115,288.5970398,21.3945433,0.871429,t17_f5_c3,,16.2017,0.0156,,False,True,False,correction_1.0.6,0.0,1.935478685915015e+18,ZTF18adjueqe
ztf,59675.45549769979,1921455495915015019,2,1921455495915,20.583971,1,1921,0.14193605,15.782492,15.5626955,15.8221,0.035848275,0.028757732,0.029278565,0.0074,288.5970485,21.3945278,0.8585714,t17_f5_c3,0.9999999,15.8503,0.01,590120259.0,True,True,False,correction_1.0.6,0.0,,ZTF18adjueqe
