tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59621.54781250004,1867547811915015002,2,1867547811915,19.448,1,1867,0.931983,18.9054,16.221264,19.2341,0.167423,100.0,0.014130602,0.2446,287.8820928,10.6182383,0.742857,t17_f5_c3,19.2023,0.3008,False,True,False,correction_1.0.6,0.0,1.86954856191501e+18,,,ZTF18adkgiuz
ztf,59621.54781250004,1867547811915025004,2,1867547811915,19.4458,1,1867,0.925345,18.9025,16.221018,19.233,0.166829,100.0,0.014114931,0.2449,287.8820965,10.6182394,0.748571,t17_f5_c3,19.2064,0.3025,False,True,False,correction_1.0.6,0.0,1.87454959191501e+18,,,ZTF18adkgiuz
ztf,59621.55300930003,1867553001915015005,2,1867553001915,19.3047,1,1867,0.896928,18.9299,16.22331,19.1261,0.274726,0.015595291,0.02271245,0.231,287.8822793,10.6182672,0.57,t17_f5_c3,19.2493,0.328,False,True,False,correction_1.0.6,0.0,1.86954856191501e+18,,,ZTF18adkgiuz
ztf,59621.55300930003,1867553001915025004,2,1867553001915,19.3056,1,1867,0.902294,18.9414,16.224257,19.1785,0.278674,0.01573054,0.022815956,0.2422,287.8822786,10.6182652,0.565714,t17_f5_c3,19.3275,0.3522,False,True,False,correction_1.0.6,0.0,1.87454959191501e+18,,,ZTF18adkgiuz
ztf,59621.55560189998,1867555601915015003,2,1867555601915,19.4477,1,1867,0.424044,18.7781,16.209923,19.0149,0.154425,100.0,0.0145026455,0.2031,287.8821196,10.6183793,0.854286,t17_f5_c3,18.7552,0.2026,False,True,False,correction_1.0.6,0.0,1.86954856191501e+18,,,ZTF18adkgiuz
ztf,59621.55560189998,1867555601915025003,2,1867555601915,19.4458,1,1867,0.42539,18.7678,16.208952,19.0209,0.153023,100.0,0.014494982,0.2046,287.8821202,10.6183788,0.854286,t17_f5_c3,18.7624,0.2043,False,True,False,correction_1.0.6,0.0,1.87454959191501e+18,,,ZTF18adkgiuz
ztf,59623.54856480006,1869548561915010013,2,1869548561915,19.567276,-1,1869,0.8692014,19.172354,16.398232,19.2651,0.13950439,100.0,0.010837747,0.2442,287.8819099,10.618464,0.82285714,t17_f5_c3,19.4338,0.3614,True,True,False,correction_1.0.6,0.0,,0.695721,539120219.0,ZTF18adkgiuz
ztf,59624.54752309993,1870547521915010006,2,1870547521915,19.4394,-1,1870,0.080189,18.2952,16.508505,18.2251,0.099108,100.0,0.019117484,0.1182,287.8821607,10.6185151,0.944286,t17_f5_c3,18.299,0.1614,False,True,False,correction_1.0.6,0.0,1.87055263191501e+18,,,ZTF18adkgiuz
ztf,59624.5500810002,1870550081915010011,2,1870550081915,19.4949,-1,1870,0.128802,18.4814,16.47599,18.4571,0.112631,100.0,0.017762111,0.1421,287.8821488,10.6185266,0.927143,t17_f5_c3,18.4689,0.1829,False,True,False,correction_1.0.6,0.0,1.87055263191501e+18,,,ZTF18adkgiuz
ztf,59624.5526389,1870552631915010008,2,1870552631915,19.704273,-1,1870,0.18620889,18.418537,16.486246,18.4639,0.15063354,0.014252724,0.025410024,0.1264,287.8821112,10.6185207,0.91571426,t17_f5_c3,18.398,0.1512,True,True,False,correction_1.0.6,0.0,,0.99985015,539120219.0,ZTF18adkgiuz
