tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59621.544722199906,1867544722615015008,2,1867544722615,19.45895,1,1867,0.064784445,17.7706,17.424973,17.9303,0.07399207,0.052702386,0.053818893,0.072,287.4649018,17.6666119,0.70428574,t17_f5_c3,0.00059175,18.009,0.0984,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59621.544722199906,1867544722615025008,2,1867544722615,19.4613,1,1867,0.064476,17.7676,17.42279,17.9217,0.074792,0.053342693,0.054441687,0.0713,287.4649015,17.6666113,0.704286,t17_f5_c3,,17.9995,0.0974,,False,True,False,correction_1.0.6,0.0,1.873546572615015e+18,ZTF18adkpqzu
ztf,59621.547326399945,1867547322615015006,2,1867547322615,19.598934,1,1867,0.14493395,17.820927,17.461346,17.9701,0.08502207,0.0600014,0.061051957,0.0728,287.4648989,17.6666373,0.8442857,t17_f5_c3,0.00192577,18.0155,0.0965,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59621.547326399945,1867547322615025006,2,1867547322615,19.5999,1,1867,0.141743,17.8169,17.458454,17.9603,0.086751,0.061335865,0.06235853,0.0721,287.464899,17.6666365,0.851429,t17_f5_c3,,17.9977,0.0948,,False,True,False,correction_1.0.6,0.0,1.873546572615015e+18,ZTF18adkpqzu
ztf,59621.549930599984,1867549932615015006,2,1867549932615,19.4393,1,1867,0.11173568,17.780672,17.432291,17.9194,0.08118545,0.057869066,0.058901396,0.0724,287.4649444,17.6666192,0.69,t17_f5_c3,0.00014502,17.9762,0.0971,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59621.549930599984,1867549932615025006,2,1867549932615,19.4414,1,1867,0.115576,17.7781,17.430424,17.9079,0.082939,0.05920678,0.060212743,0.0715,287.4649455,17.6666198,0.69,t17_f5_c3,,17.9575,0.0953,,False,True,False,correction_1.0.6,0.0,1.873546572615015e+18,ZTF18adkpqzu
ztf,59621.55252309982,1867552522615015008,2,1867552522615,19.498316,1,1867,0.02115408,17.847134,17.4801,17.8752,0.06772161,0.04691366,0.04829633,0.0665,287.4649127,17.6666002,0.7128571,t17_f5_c3,0.00063097,17.8831,0.0852,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59621.55252309982,1867552522615025008,2,1867552522615,19.5012,1,1867,0.021295,17.8481,17.480791,17.8771,0.067544,0.04676879,0.048157353,0.0664,287.4649126,17.6666002,0.714286,t17_f5_c3,,17.8835,0.085,,False,True,False,correction_1.0.6,0.0,1.873546572615015e+18,ZTF18adkpqzu
ztf,59621.55511569977,1867555112615015007,2,1867555112615,19.557806,1,1867,0.07770217,17.849337,17.48167,17.9244,0.073914975,0.0514142,0.052682493,0.0699,287.4649175,17.6666234,0.7714286,t17_f5_c3,0.00105992,17.9669,0.0924,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59621.55511569977,1867555112615025007,2,1867555112615,19.5593,1,1867,0.077626,17.8518,17.483427,17.943,0.074721,0.05196301,0.053222243,0.071,287.4649182,17.6666234,0.787143,t17_f5_c3,,17.9967,0.0949,,False,True,False,correction_1.0.6,0.0,1.873546572615015e+18,ZTF18adkpqzu
ztf,59622.544375000056,1868544372615015012,2,1868544372615,19.406906,1,1868,0.1265533,17.794106,17.44202,17.8887,0.07558273,0.053515162,0.054649778,0.0679,287.4649368,17.6665706,0.6528571,t17_f5_c3,6.17e-06,17.9003,0.0874,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59622.54693289986,1868546932615015010,2,1868546932615,19.5162,1,1868,0.223717,17.8553,17.485918,17.9797,0.076329,0.053078134,0.054317128,0.0708,287.4649137,17.6666644,0.687143,t17_f5_c3,,18.11,0.1015,,False,True,False,correction_1.0.6,0.0,1.868549472615015e+18,ZTF18adkpqzu
ztf,59622.54947920004,1868549472615015011,2,1868549472615,19.484575,1,1868,0.046715915,17.840822,17.475595,17.8232,0.0808992,0.056649305,0.057790134,0.0614,287.4649106,17.6666131,0.66571426,t17_f5_c3,5.475e-05,17.8647,0.0811,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
ztf,59622.55203700019,1868552032615015006,2,1868552032615,19.58806,1,1868,0.057847794,17.79114,17.439875,17.9609,0.07018368,0.049566243,0.050784387,0.0706,287.4649007,17.6665978,0.80714285,t17_f5_c3,0.00041643,18.043,0.0968,590120226.0,True,True,False,correction_1.0.6,0.0,,ZTF18adkpqzu
