tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59738.43719909992,1984437191515015030,2,1984437191515,20.45567,1,1984,0.10001732,16.453957,15.77195,16.4722,0.067221366,0.031694688,0.035867788,0.0141,349.2035861,58.8931194,0.57,t17_f5_c3,0.99852085,16.4558,0.0163,832120215.0,True,True,False,1.1.2,0.0,,ZTF18adkrxug
ztf,59743.44498840021,1989444981515015002,2,1989444981515,19.608736,1,1989,0.14178352,16.509516,15.801241,16.5592,0.05624743,0.023677379,0.029294945,0.0229,349.2035852,58.8931305,0.87714285,t17_f5_c3,0.9999848,16.5486,0.0282,832120215.0,True,True,False,1.1.2,0.0,,ZTF18adkrxug
ztf,59748.43118060008,1994431181515015004,2,1994431181515,19.934387,1,1994,0.11406291,16.509176,15.801064,16.52,0.047203213,0.017524287,0.024588194,0.0178,349.2036161,58.8931152,0.77,t17_f5_c3,0.99999785,16.5095,0.0215,832120215.0,True,True,False,1.1.2,0.0,,ZTF18adkrxug
ztf,59759.40649309987,2005406491515015036,2,2005406491515,20.643032,1,2005,0.029897634,16.564854,15.82971,16.5165,0.04609199,0.01532485,0.023418976,0.0132,349.203582,58.8931006,0.5314286,t17_f5_c3,0.98855805,16.5131,0.0153,832120215.0,True,True,False,1.1.2,0.0,,ZTF18adkrxug
ztf,59763.350613399874,2009350611515015015,2,2009350611515,20.365164,1,2009,0.09483063,16.466497,15.778624,16.4901,0.0565597,0.02481022,0.03001632,0.014,349.2036071,58.8931135,0.7185714,t17_f5_c3,0.9999834,16.4839,0.0164,832120215.0,True,True,False,dev,0.0,,ZTF18adkrxug
ztf,59765.45093750022,2011450931515015020,2,2011450931515,20.5948,1,2011,0.072573,16.5038,15.79826,16.5118,0.048619,0.018667907,0.025385758,0.0129,349.203578,58.8931129,0.534286,t17_f5_c3,,16.505,0.0148,,False,True,False,dev,0.0,2.019410001515015e+18,ZTF18adkrxug
ztf,59773.41000000015,2019410001515015021,2,2019410001515,19.797703,1,2019,0.20834436,16.453632,15.771777,16.4575,0.05826594,0.026171807,0.031093707,0.0221,349.2035509,58.89315,0.56285715,t17_f5_c3,0.9985627,16.4595,0.0275,832120215.0,True,True,False,dev,0.0,,ZTF18adkrxug
ztf,59787.40620370023,2033406201515015031,2,2033406201515,20.658442,1,2033,0.19401059,16.432924,15.760676,16.396,0.044510003,0.017266175,0.023963962,0.0119,349.2035548,58.8931458,0.49,t17_f5_c3,0.99338216,16.3971,0.0138,832120215.0,True,True,False,dev,0.0,,ZTF18adkrxug
ztf,59803.38942130003,2049389421515015018,2,2049389421515,19.905603,1,2049,0.2091819,16.255714,15.661693,16.2366,0.043285385,0.019928949,0.025045665,0.0172,349.2035174,58.8931423,0.5271429,t17_f5_c3,0.99316865,16.2186,0.0208,832120215.0,True,True,False,dev,0.0,,ZTF18adkrxug
ztf,59810.299594900105,2056299591515015024,2,2056299591515,20.18258,1,2056,0.14791887,16.249369,15.658016,16.2763,0.04490405,0.021209337,0.026046213,0.0142,349.2035461,58.8931314,0.54,t17_f5_c3,0.9991444,16.2775,0.017,832120215.0,True,True,False,dev,0.0,,ZTF18adkrxug
