tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59738.41135419998,1984411353815015013,1,1984411353815,20.4764,1,1984,0.433326,16.5357,14.069756,16.6095,0.029075,100.0,0.0030001425,0.0216,354.5733757,62.298337,0.715714,t17_f5_c3,16.6096,0.0238,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59738.41135419998,1984411353815015014,1,1984411353815,20.4764,1,1984,0.815293,16.4039,14.055391,16.5942,0.074461,100.0,0.008561013,0.0219,354.5736249,62.298286,0.382857,t17_f5_c3,16.6498,0.0253,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59738.43719909992,1984437193815015015,2,1984437193815,20.6661,1,1984,0.899788,15.9546,13.311411,16.2521,0.021965,100.0,0.0019251091,0.0183,354.573675,62.2982618,0.422857,t17_f5_c3,16.1416,0.0185,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59748.388125000056,1994388123815015006,1,1994388123815,19.623,1,1994,0.764275,16.1916,14.028762,16.2512,0.023236,100.0,0.003169755,0.0189,354.5735489,62.2983895,0.71,t17_f5_c3,16.2589,0.0224,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59748.388125000056,1994388123815015007,1,1994388123815,19.623,1,1994,0.840751,16.0951,14.015081,16.4511,0.082578,0.0022974636,0.012157848,0.0225,354.5736018,62.2983872,0.642857,t17_f5_c3,16.3774,0.0251,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59748.43118060008,1994431183815015010,2,1994431183815,19.918,1,1994,0.804246,15.604,13.275734,15.6324,0.016666,100.0,0.0019522025,0.0119,354.5736174,62.2983012,0.655714,t17_f5_c3,15.6213,0.0131,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59748.43118060008,1994431183815015011,2,1994431183815,19.918,1,1994,0.828231,15.5235,13.265989,15.9408,0.076497,100.0,0.009564013,0.0145,354.5736315,62.2983052,0.57,t17_f5_c3,15.7656,0.0146,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59750.42364579998,1996423643815015006,1,1996423643815,20.1161,1,1996,0.851331,16.4059,14.05562,16.8406,0.092201,100.0,0.0105833765,0.0276,354.5736295,62.2983552,0.465714,t17_f5_c3,16.8641,0.0322,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59757.37152779987,2003371523815015015,1,2003371523815,20.3163,1,2003,0.375611,16.0728,14.011769,16.1386,0.019176,100.0,0.002873067,0.0145,354.5733332,62.2983414,0.854286,t17_f5_c3,16.1474,0.0162,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59757.37152779987,2003371523815015016,1,2003371523815,20.3163,1,2003,0.54489,15.9678,13.995376,16.2856,0.044395,100.0,0.0072171274,0.0169,354.5734461,62.2983387,0.671429,t17_f5_c3,16.2931,0.0188,False,True,False,1.1.2,0.0,2.005406493815015e+18,,,ZTF18adkrzau
ztf,59759.40649309987,2005406493815015016,2,2005406493815,20.76582,1,2005,1.0847449,15.964237,13.312251,16.1387,0.18649283,0.008676847,0.016213158,0.018,354.5737779,62.2983589,0.43285716,t17_f5_c3,16.0949,0.0181,True,True,False,1.1.2,0.0,,0.15075257,832120238.0,ZTF18adkrzau
ztf,59759.44818289997,2005448183815015014,1,2005448183815,20.695417,1,2005,1.335964,16.451366,14.060744,16.7281,0.11733183,0.0036543126,0.012976776,0.022,354.5739401,62.2982931,0.34285715,t17_f5_c3,16.7584,0.0244,True,True,False,1.1.2,0.0,,0.0024429,832120138.0,ZTF18adkrzau
ztf,59763.350613399874,2009350613815015013,2,2009350613815,20.4903,1,2009,0.911315,15.4938,13.262232,15.6859,0.092617,100.0,0.011859417,0.0117,354.5736858,62.2983108,0.554286,t17_f5_c3,15.6921,0.0126,False,True,False,dev,0.0,2.014406643815015e+18,,,ZTF18adkrzau
ztf,59763.350613399874,2009350613815015014,2,2009350613815,20.4903,1,2009,0.745074,15.5822,13.273157,15.6079,0.015505,100.0,0.00184865,0.0106,354.5735815,62.2983266,0.584286,t17_f5_c3,15.6089,0.0113,False,True,False,dev,0.0,2.014406643815015e+18,,,ZTF18adkrzau
ztf,59763.350613399874,2009350613815015015,2,2009350613815,20.4903,1,2009,0.834844,15.5822,13.273157,15.8602,0.015505,100.0,0.00184865,0.012,354.5736387,62.2983157,0.547143,t17_f5_c3,15.7417,0.0126,False,True,False,dev,0.0,2.014406643815015e+18,,,ZTF18adkrzau
ztf,59768.406643500086,2014406643815015010,1,2014406643815,20.752459,1,2014,1.3982631,16.733307,14.088559,16.86,0.07866266,100.0,0.0068844575,0.0254,354.5739757,62.2983138,0.3157143,t17_f5_c3,16.8511,0.0272,True,True,False,dev,0.0,,0.00116187,832120138.0,ZTF18adkrzau
ztf,59768.457615700085,2014457613815015016,1,2014457613815,20.796938,1,2014,1.3819284,16.776287,14.092254,17.0597,0.10422603,100.0,0.008797575,0.0279,354.573964,62.2982774,0.33571428,t17_f5_c3,17.0857,0.0308,True,True,False,dev,0.0,,0.00422344,832120138.0,ZTF18adkrzau
ztf,59768.457615700085,2014457613815015017,1,2014457613815,20.7969,1,2014,0.829148,16.8845,14.100983,16.9777,0.035357,100.0,0.0027231292,0.0268,354.5736297,62.2983057,0.4,t17_f5_c3,16.9725,0.029,False,True,False,dev,0.0,2.021450993815015e+18,,,ZTF18adkrzau
ztf,59771.41379630007,2017413793815015007,1,2017413793815,20.2091,1,2017,1.64277,16.6219,,16.8081,0.088119,,,0.0274,354.5741232,62.2983252,0.3,t17_f5_c3,16.7928,0.0305,False,False,True,dev,0.0,2.021450993815015e+18,,,ZTF18adkrzau
ztf,59773.4441550998,2019444153815015006,2,2019444153815,20.0691,1,2019,0.406888,16.2914,13.337091,15.9721,0.030571,100.0,0.0020118041,0.0172,354.5733692,62.298261,0.418571,t17_f5_c3,16.0219,0.0204,False,True,False,dev,0.0,2.021450993815015e+18,,,ZTF18adkrzau
ztf,59773.4441550998,2019444153815015007,2,2019444153815,20.0691,1,2019,1.15871,16.2451,13.333982,16.2971,0.029164,100.0,0.0019971016,0.0231,354.573826,62.2983443,0.304286,t17_f5_c3,16.286,0.0252,False,True,False,dev,0.0,2.021450993815015e+18,,,ZTF18adkrzau
