tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59671.5004166998,1917500414315025007,2,1917500414315,20.8311,1,1917,0.248098,18.8793,16.912317,18.7775,0.136281,0.016401192,0.022266021,0.069,272.9051576,-8.9457596,0.83,t17_f5_c3,18.9924,0.1031,False,True,False,correction_1.0.6,0.0,1.935422524315015e+18,,,ZTF18adlwpzo
ztf,59674.47593750013,1920475934315015008,2,1920475934315,19.697,1,1920,0.455037,19.0028,16.93156,18.9207,0.141995,0.014464292,0.021075452,0.161,272.9051567,-8.9458158,0.845714,t17_f5_c3,19.0881,0.239,False,True,False,correction_1.0.6,0.0,1.935422524315015e+18,,,ZTF18adlwpzo
ztf,59683.40179400006,1929401794315015006,2,1929401794315,19.641,1,1929,0.279055,19.2171,16.960815,19.4254,0.151179,0.01049242,0.018922456,0.307,272.9051958,-8.9457611,0.862857,t17_f5_c3,19.6682,0.49,False,True,False,correction_1.0.6,0.0,1.935422524315015e+18,,,ZTF18adlwpzo
ztf,59689.42252309993,1935422524315015000,2,1935422524315,18.689342,1,1935,0.6269749,18.519129,16.844687,18.6628,0.16360581,0.032008223,0.034996286,0.2493,272.9053325,-8.9456111,0.6514286,t17_f5_c3,18.6877,0.3271,True,True,False,correction_1.0.6,0.0,,0.99805546,383120243.0,ZTF18adlwpzo
ztf,59694.46197920013,1940461974315015002,2,1940461974315,19.1089,1,1940,0.800559,18.0928,16.738375,18.1291,0.155161,0.04268023,0.044566885,0.0731,272.9053027,-8.9458682,0.421429,t17_f5_c3,18.0777,0.0882,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59696.4598842999,1942459884315015005,2,1942459884315,20.1609,1,1942,0.095342,17.85,16.662907,17.8452,0.048362,0.010926196,0.016205663,0.0457,272.9051789,-8.9457132,0.865714,t17_f5_c3,17.8593,0.0576,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59698.461041700095,1944461044315015007,2,1944461044315,19.9701,1,1944,0.127776,17.7349,16.622963,17.7671,0.057683,0.017204864,0.020714436,0.0453,272.90517,-8.9457261,0.898571,t17_f5_c3,17.7933,0.0579,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59700.40078700008,1946400784315015006,2,1946400784315,20.4243,1,1946,0.141986,17.6181,16.57956,17.615,0.067534,0.023461705,0.025948144,0.0326,272.9051829,-8.9457259,0.904286,t17_f5_c3,17.6763,0.0422,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59702.4202083,1948420204315015005,2,1948420204315,19.9643,1,1948,0.204538,17.6732,16.6004,17.5936,0.059296,0.018964525,0.022075238,0.0399,272.9051725,-8.9457454,0.87,t17_f5_c3,17.6137,0.0507,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59708.363298600074,1954363294315015001,2,1954363294315,19.6167,1,1954,0.283644,17.9033,16.680477,17.897,0.094122,0.027989654,0.030518427,0.057,272.9052134,-8.9457577,0.745714,t17_f5_c3,17.8806,0.0706,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59708.44072919991,1954440724315015011,2,1954440724315,20.0322,1,1954,0.128056,17.9153,16.684353,17.9235,0.067006,0.017776506,0.02156428,0.0509,272.9051634,-8.9457259,0.86,t17_f5_c3,17.9271,0.0639,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59710.38163190009,1956381634315015005,2,1956381634315,19.8123,1,1956,0.20411,18.0894,16.737396,18.0435,0.072594,0.01650476,0.020897755,0.069,272.9051968,-8.9457366,0.927143,t17_f5_c3,18.125,0.0938,False,True,False,correction_1.0.6,0.0,1.958398904315015e+18,,,ZTF18adlwpzo
ztf,59712.39890050003,1958398904315015004,2,1958398904315,19.92985,1,1958,0.070286416,18.286339,16.790524,18.3336,0.09869569,0.020932272,0.02488699,0.0921,272.9051849,-8.9456822,0.91571426,t17_f5_c3,18.4619,0.131,True,True,False,correction_1.0.6,0.0,,0.9999994,383120243.0,ZTF18adlwpzo
ztf,59714.39865740016,1960398654315015003,2,1960398654315,19.2934,1,1960,0.199672,18.5706,100.0,18.3888,0.122439,100.0,100.0,0.1547,272.9051992,-8.9457328,0.868571,t17_f5_c3,18.6208,0.2452,False,True,False,dev,0.0,1.975441034315015e+18,,,ZTF18adlwpzo
ztf,59729.44103009999,1975441034315015007,2,1975441034315,20.464281,1,1975,0.34577852,19.424706,16.984728,19.1427,0.16429283,0.0065071033,0.01736312,0.1198,272.9052506,-8.9457373,0.74285716,t17_f5_c3,19.2032,0.1591,True,True,False,1.1.2,0.0,,0.9848538,383120243.0,ZTF18adlwpzo
