tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59621.51561339991,1867515613415025014,1,1867515613415,19.5046,1,1867,0.402179,15.4852,14.741984,15.6321,0.046931,0.02247053,0.023668649,0.0085,276.6745363,19.1985299,0.582857,t17_f5_c3,15.5944,0.0095,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59623.514594899956,1869514593415015009,1,1869514593415,19.4783,1,1869,0.373963,15.5822,14.789821,15.5893,0.037964,0.016567137,0.018298704,0.0107,276.6745455,19.1985453,0.915714,t17_f5_c3,15.5705,0.0127,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59625.496458299924,1871496453415015009,2,1871496453415,19.1302,1,1871,0.546742,13.9712,12.922097,14.0082,0.035882,0.009389579,0.013653234,0.004,276.6745235,19.1984771,0.6,t17_f5_c3,13.9752,0.0045,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59625.539780099876,1871539783415015009,1,1871539783415,18.9142,1,1871,0.442369,15.5221,14.760437,15.5957,0.039631,0.018136807,0.019650329,0.0126,276.6745356,19.1985129,0.721429,t17_f5_c3,15.567,0.0151,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59629.50358799985,1875503583415015018,2,1875503583415,19.4477,1,1875,0.356373,13.9805,12.925627,13.9478,0.039304,0.011063865,0.014876038,0.0034,276.6745203,19.1985353,0.767143,t17_f5_c3,13.9275,0.0037,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59636.50659719994,1882506593415015017,1,1882506593415,19.7496,1,1882,0.31977,15.3535,14.67357,15.4586,0.038449,0.019332977,0.020554774,0.0069,276.6744994,19.1985377,0.741429,t17_f5_c3,15.4355,0.0077,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59639.51527780015,1885515273415015003,2,1885515273415,19.5037,1,1885,0.38441,13.7418,12.82901,13.9317,0.023252,0.0042256075,0.010031001,0.0029,276.674467,19.1985199,0.437143,t17_f5_c3,13.7964,0.0028,False,True,False,correction_1.0.6,0.0,1.887494613415015e+18,,,ZTF18adlwrsd
ztf,59641.494618100114,1887494613415015022,2,1887494613415,20.469383,1,1887,0.21763344,13.72759,12.822856,13.7373,0.03466875,0.012049937,0.015067628,0.0025,276.6745122,19.1985738,0.7171429,t17_f5_c3,13.7259,0.0026,True,True,False,correction_1.0.6,0.0,,0.9278455,588120234.0,ZTF18adlwrsd
ztf,59641.51146990014,1887511463415015027,1,1887511463415,20.624287,1,1887,0.23454887,15.310183,14.650197,15.3468,0.037518173,0.019252628,0.020429017,0.0057,276.6744817,19.1985598,0.8757143,t17_f5_c3,15.3345,0.0061,True,True,False,correction_1.0.6,0.0,,0.9957258,588120134.0,ZTF18adlwrsd
ztf,59673.4346758998,1919434673415015038,1,1919434673415,19.9653,1,1919,0.318685,15.0562,14.504601,15.1294,0.031148,0.017762927,0.018740894,0.0053,276.6744685,19.1985377,0.715714,t17_f5_c3,15.0958,0.0057,False,True,False,correction_1.0.6,0.0,1.919485483415015e+18,,,ZTF18adlwrsd
ztf,59673.4346758998,1919434673415025012,1,1919434673415,19.9695,1,1919,0.316625,15.0436,14.497002,15.1188,0.03234,0.01862574,0.01954793,0.0053,276.6744683,19.1985384,0.737143,t17_f5_c3,15.085,0.0056,False,True,False,correction_1.0.6,0.0,1.939462953415015e+18,,,ZTF18adlwrsd
ztf,59673.48548609996,1919485483415015013,2,1919485483415,20.136127,1,1919,0.22830948,13.455337,12.696073,13.4926,0.029817551,0.0124403,0.014817207,0.0022,276.6744561,19.1985665,0.6942857,t17_f5_c3,13.4731,0.0023,True,True,False,correction_1.0.6,0.0,,0.9868859,588120234.0,ZTF18adlwrsd
ztf,59673.48548609996,1919485483415025013,2,1919485483415,20.1381,1,1919,0.225332,13.4622,12.699478,13.4981,0.029097,0.011939147,0.014413169,0.0022,276.6744558,19.1985673,0.692857,t17_f5_c3,13.4789,0.0023,False,True,False,correction_1.0.6,0.0,1.939462953415015e+18,,,ZTF18adlwrsd
ztf,59675.44337960007,1921443373415015009,2,1921443373415,20.633888,1,1921,0.18603733,13.542645,12.738582,13.5608,0.023570135,0.0075003025,0.01123923,0.0022,276.674449,19.1985844,0.61714286,t17_f5_c3,13.55,0.0023,True,True,False,correction_1.0.6,0.0,,0.6923529,588120234.0,ZTF18adlwrsd
ztf,59675.49077549996,1921490773415015039,1,1921490773415,20.716255,1,1921,0.15624918,15.116208,14.540307,15.1464,0.03478275,0.019510854,0.020464605,0.0048,276.674454,19.198585,0.8257143,t17_f5_c3,15.1352,0.0051,True,True,False,correction_1.0.6,0.0,,0.9945401,588120134.0,ZTF18adlwrsd
ztf,59677.443437499925,1923443433415015017,2,1923443433415,20.373652,1,1923,0.15659857,13.583594,12.7579155,13.5904,0.027680337,0.009737092,0.012938972,0.0023,276.6744775,19.1985834,0.7014286,t17_f5_c3,13.5767,0.0023,True,True,False,correction_1.0.6,0.0,,0.99543387,588120234.0,ZTF18adlwrsd
ztf,59677.48431710014,1923484313415015019,1,1923484313415,20.30243,1,1923,0.20171611,15.121193,14.543237,15.1751,0.034339417,0.019191593,0.020165568,0.0051,276.6744655,19.1985686,0.8685714,t17_f5_c3,15.1571,0.0056,True,True,False,correction_1.0.6,0.0,,0.9998685,588120134.0,ZTF18adlwrsd
ztf,59679.4683333002,1925468333415015018,2,1925468333415,20.242458,1,1925,0.23413293,13.667268,12.7962265,13.6558,0.017086271,100.0,0.007660037,0.0023,276.6744455,19.1985693,0.6957143,t17_f5_c3,13.6414,0.0024,True,True,False,correction_1.0.6,0.0,,0.99940646,588120234.0,ZTF18adlwrsd
ztf,59679.48513890011,1925485133415015019,1,1925485133415,20.528564,1,1925,0.2286108,15.183489,14.579385,15.2248,0.032413755,0.017444514,0.018581802,0.005,276.6744535,19.1985652,0.8428571,t17_f5_c3,15.2111,0.0053,True,True,False,correction_1.0.6,0.0,,0.99348974,588120134.0,ZTF18adlwrsd
