tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59922.17629629979,2168176296315015001,2,2168176296315,19.62491,1,2168,6.387043,18.522799,18.4911,0.07401783,0.1457,288.0909786,79.1225987,0.92,t17_f5_c3,0.9993882,18.5086,0.1899,866120263.0,True,False,False,1.1.6,0.0,,,,,ZTF18admhwsu
ztf,59924.136458300054,2170136456315015001,2,2170136456315,19.678415,1,2170,6.394088,18.705887,18.678,0.09216667,0.1375,288.091176,79.1226089,0.89857143,t17_f5_c3,0.9982585,18.5091,0.1509,866120263.0,True,False,False,1.1.6,0.0,,,,,ZTF18admhwsu
ztf,60128.32958329981,2374329585015015003,2,2374329585015,19.4431,1,2374,0.662023,18.2618,18.2359,0.091479,0.1212,288.0909799,79.1225776,0.852857,t17_f5_c3,,18.2294,0.1543,,False,True,False,1.2.0,0.0,18.2128,0.08730733,0.08744217,2.380452195015015e+18,ZTF18admhwsu
ztf,60128.45413189987,2374454135015015000,1,2374454135015,19.279,1,2374,0.916575,18.1072,18.2742,0.102984,0.1539,288.091183,79.1225294,0.902857,t17_f5_c3,,18.1669,0.179,,False,True,False,1.2.0,0.0,18.083115,0.10063076,0.10072449,2.380452195015015e+18,ZTF18admhwsu
ztf,60128.45513889985,2374455136315015000,1,2374455136315,19.3302,1,2374,0.734661,18.0621,18.0414,0.078134,0.115,288.0909358,79.1225565,0.94,t17_f5_c3,,18.0165,0.144,,False,True,False,1.2.0,0.0,18.03915,0.07632377,0.07649982,2.380452195015015e+18,ZTF18admhwsu
ztf,60134.38373839995,2380383736315015000,1,2380383736315,20.2797,1,2380,0.767705,18.8528,18.7764,0.092192,0.0958,288.090845,79.1225611,0.921429,t17_f5_c3,,18.7634,0.1208,,False,True,False,1.2.0,0.0,18.805788,0.0876576,0.08828532,2.380452195015015e+18,ZTF18admhwsu
ztf,60134.45219910005,2380452195015015000,2,2380452195015,20.211855,1,2380,0.74863327,19.011194,19.0313,0.1015826,0.1294,288.0909869,79.1226017,0.9285714,t17_f5_c3,0.9999801,19.009,0.1619,865120250.0,True,True,False,1.2.0,0.0,18.915577,0.092555754,0.09301913,,ZTF18admhwsu
ztf,60134.45321760001,2380453216315015000,2,2380453216315,20.3678,1,2380,6.25159,18.9344,18.8686,0.086398,0.1003,288.09086,79.122554,0.908571,t17_f5_c3,,18.9688,0.1401,,False,False,True,1.2.0,0.0,,,,2.382414346315015e+18,ZTF18admhwsu
ztf,60136.41434030002,2382414346315015002,2,2382414346315,20.210705,1,2382,6.4087734,19.106585,19.0081,0.123020135,0.117,288.0907604,79.1225927,0.7785714,t17_f5_c3,0.9994689,18.9307,0.1392,866120263.0,True,False,True,1.2.0,0.0,,,,,ZTF18admhwsu
ztf,60136.418032399844,2382418035015015004,2,2382418035015,20.1536,1,2382,0.706172,19.2037,19.1357,0.104363,0.1363,288.090955,79.1225893,0.92,t17_f5_c3,,19.1353,0.1742,,False,True,False,1.2.0,0.0,19.09047,0.093394235,0.09402744,2.386333416315015e+18,ZTF18admhwsu
