tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60261.232499999925,2507232494015015008,2,2507232494015,20.257359,1,2507,0.18367714,19.567604,18.27321,19.4897,0.12449833,0.03513213,0.03779257,0.1834,357.3377264,5.5778086,0.95714283,t17_f5_c3,0.9998348,19.4482,0.2252,498120240.0,True,True,False,1.2.1,0.0,,ZTF18adnqckf
ztf,60314.161620399915,2560161624015015009,2,2560161624015,19.855532,1,2560,0.2854933,18.858067,18.005217,18.9373,0.081043236,0.03530785,0.036946807,0.1424,357.3377797,5.577793,0.95,t17_f5_c3,0.9999982,18.902,0.176,498120240.0,True,True,False,23.12.x,0.0,,ZTF18adnqckf
ztf,60479.44699069997,2725446994015015006,1,2725446994015,20.072636,1,2725,0.123899214,19.56348,18.73092,19.5088,0.15293258,0.07051696,0.07103559,0.1541,357.3376916,5.5778164,0.7985714,t17_f5_c3,0.9993628,19.4492,0.1859,498120140.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
ztf,60481.43428240018,2727434284015015004,1,2727434284015,19.630793,1,2727,0.10511566,19.394701,18.649252,19.4302,0.15141049,0.075788215,0.07620376,0.2919,357.3377244,5.5777747,0.9514286,t17_f5_c3,0.999997,19.2468,0.3166,498120140.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
ztf,60483.44041670021,2729440414015015007,1,2729440414015,19.1812,1,2729,0.308647,19.6141,18.754139,19.4286,0.318503,0.14398868,0.1442545,0.413,357.3376946,5.5778686,0.772857,t17_f5_c3,,19.0401,0.3709,,False,True,False,24.5.1,0.0,2.756421154015015e+18,ZTF18adnqckf
ztf,60487.42329860013,2733423294015015009,2,2733423294015,19.50487,1,2733,0.1281131,18.730812,17.945347,18.9167,0.09523017,0.045031775,0.046194345,0.2229,357.3376877,5.5777926,0.9457143,t17_f5_c3,0.9999882,18.8079,0.2587,498120240.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
ztf,60494.456967600156,2740456964015015012,1,2740456964015,20.322575,1,2740,0.19213499,18.977722,18.419512,18.9247,0.11306468,0.067308344,0.06761494,0.0967,357.3377494,5.577781,0.95,t17_f5_c3,0.9999598,18.9042,0.1208,498120140.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
ztf,60510.421157400124,2756421154015015014,1,2756421154015,19.93374,1,2756,0.11195257,19.39773,18.650776,19.7771,0.16048913,0.080267474,0.08066105,0.3204,357.3377134,5.5777558,0.93,t17_f5_c3,0.9999995,19.851,0.4395,498120140.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
ztf,60513.40324069979,2759403244015015007,1,2759403244015,19.2888,1,2759,0.298907,19.1768,18.53413,18.6927,0.218651,0.12076022,0.120971575,0.2476,357.3377186,5.5778627,0.671429,t17_f5_c3,,18.444,0.2529,,False,True,False,24.5.1,0.0,2.784356364015015e+18,ZTF18adnqckf
ztf,60515.38574070018,2761385744015015004,2,2761385744015,18.903118,1,2761,0.26487312,18.425758,17.786673,18.3229,0.104764275,0.05746915,0.058153935,0.2609,357.3377103,5.5778357,0.9,t17_f5_c3,0.9947464,18.1394,0.2832,498120240.0,True,True,False,24.5.1,0.0,,ZTF18adnqckf
