tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59810.50155089982,2056501554415015005,2,2056501554415,19.7327,1,2056,0.510559,20.1804,19.767466,20.7839,0.311706,0.21154734,0.21309374,1.0185,115.5115849,49.0042972,0.47,t17_f5_c3,19.8297,0.5437,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59811.49252310023,2057492523215015004,2,2057492523215,20.0087,1,2057,0.524576,20.4202,19.854929,20.0835,0.283177,0.16716307,0.16824791,0.4209,115.5115253,49.0042625,0.608571,t17_f5_c3,20.0353,0.5165,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59813.49696760019,2059496963215015006,2,2059496963215,19.7976,1,2059,0.567676,20.14,19.679893,20.0193,0.268185,0.17479406,0.17554641,0.4219,115.511154,49.0043523,0.63,t17_f5_c3,19.4627,0.3248,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.49185189977,2062491854415015003,2,2062491854415,20.2159,1,2062,0.026477,20.5665,20.015976,20.293,0.26145,0.15413222,0.1574631,0.4105,115.511411,49.0043791,0.51,t17_f5_c3,19.8552,0.3521,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.49430559995,2062494304415015002,2,2062494304415,20.2564,1,2062,0.29785,20.1516,19.747692,19.8958,0.198867,0.134759,0.13708815,0.2756,115.5114374,49.0043041,0.712857,t17_f5_c3,19.9031,0.3555,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.49478009995,2062494783215015008,2,2062494783215,20.1787,1,2062,0.242377,20.3984,19.841925,20.5836,0.343307,0.20476723,0.20563285,0.5773,115.5113004,49.0044023,0.568571,t17_f5_c3,20.61,0.7591,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.497222200036,2062497223215015003,2,2062497223215,20.2167,1,2062,0.213067,20.361,19.819368,20.8415,0.300362,0.18144965,0.18238632,0.7109,115.5114436,49.0043325,0.767143,t17_f5_c3,20.9115,0.9725,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.499201400205,2062499204415015008,2,2062499204415,20.2055,1,2062,0.149348,20.1674,19.75856,20.1811,0.198365,0.13372837,0.13612221,0.3739,115.5114351,49.0043469,0.735714,t17_f5_c3,20.4984,0.641,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.50165509991,2062501654415015001,2,2062501654415,20.1847,1,2062,0.428381,20.3215,19.861912,19.9181,0.225487,0.14499778,0.14766788,0.3047,115.5115969,49.0043889,0.482857,t17_f5_c3,19.6417,0.303,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59816.50212959992,2062502123215015008,2,2062502123215,20.1033,1,2062,0.291242,20.325,19.797367,20.3178,0.287215,0.17573757,0.17666622,0.4931,115.5113163,49.0044457,0.644286,t17_f5_c3,20.548,0.7817,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
ztf,59817.49042819999,2063490424415015003,2,2063490424415,20.2778,1,2063,0.374995,20.305,19.851078,20.817,0.221482,0.14315309,0.14580402,0.6559,115.5114628,49.004286,0.684286,t17_f5_c3,20.8068,0.8332,False,True,False,dev,0.0,2.065493144415015e+18,,,ZTF18adohlzm
