tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60135.29456020007,2381294563515015015,2,2381294563515,20.2698,1,2381,0.159093,16.4776,14.660473,16.7084,0.110704,0.015504555,0.020764066,0.0195,286.9030911,-16.8591002,0.652857,t17_f5_c3,16.7212,0.0228,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60137.25182869984,2383251823515015011,2,2383251823515,20.4235,1,2383,0.0668,16.8009,14.714226,16.9553,0.114655,0.00841842,0.016777359,0.0235,286.9030606,-16.8591141,0.704286,t17_f5_c3,16.9554,0.0269,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60139.272442100104,2385272443515015015,2,2385272443515,20.0964,1,2385,0.340306,16.7675,14.709274,17.0419,0.104091,0.0059819524,0.015635896,0.029,286.9031081,-16.8591773,0.748571,t17_f5_c3,17.0383,0.0341,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60141.272141200025,2387272143515015018,2,2387272143515,20.0646,1,2387,0.31878,16.7593,14.708038,17.0312,0.132118,0.013810259,0.01997364,0.0292,286.903138,-16.8591159,0.611429,t17_f5_c3,17.0369,0.0347,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60144.294722199906,2390294723515015028,2,2390294723515,20.1995,1,2390,0.159888,16.8913,14.726994,17.3108,0.168912,0.017716931,0.023011116,0.0344,286.903088,-16.859112,0.47,t17_f5_c3,17.3246,0.041,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60148.290312500205,2394290313515010032,1,2394290313515,20.4009,-1,2394,0.368155,18.7977,16.489374,19.0,0.163518,0.0043043396,0.019509,0.1087,286.9029611,-16.8591946,0.748571,t17_f5_c3,18.8934,0.1206,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60159.375798599795,2405375793515015011,2,2405375793515,18.969,1,2405,0.16613,16.5589,14.675265,16.7936,0.109051,0.013194792,0.019238686,0.0479,286.9030278,-16.8591477,0.672857,t17_f5_c3,16.7449,0.0577,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60161.337187500205,2407337183515015020,2,2407337183515,19.8763,1,2407,0.341712,16.5669,14.676672,16.8528,0.111124,0.013533678,0.019485729,0.0283,286.9029556,-16.8591516,0.668571,t17_f5_c3,16.8942,0.0355,False,True,False,1.2.0,0.0,2.409291193515015e+18,,,ZTF18adrtucw
ztf,60163.29119209992,2409291193515015017,2,2409291193515,20.34634,1,2409,0.2811009,16.527573,14.669672,16.6554,0.06751591,100.0,0.0121968025,0.0186,286.9029981,-16.8591704,0.7542857,t17_f5_c3,16.6336,0.021,True,True,False,1.2.0,0.0,,0.99979234,334120235.0,ZTF18adrtucw
ztf,60170.275636599865,2416275633515015018,2,2416275633515,20.142193,1,2416,0.07013869,16.259464,14.616078,16.372,0.06858176,0.007218362,0.0150957415,0.0157,286.9030563,-16.8591207,0.7871429,t17_f5_c3,16.3728,0.0183,True,True,False,1.2.0,0.0,,0.99991775,334120235.0,ZTF18adrtucw
