tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60133.33592589991,2379335925315015015,1,2379335925315,20.3187,1,2379,0.634982,18.91,18.817142,18.9028,0.115988,0.10592926,0.106480435,0.1053,277.3913682,-13.7927722,0.931429,t17_f5_c3,18.8382,0.1275,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60133.35959490016,2379359595315015021,2,2379359595315,20.2025,1,2379,0.118471,15.2678,15.098396,15.3368,0.03533,0.029973371,0.030226098,0.0064,277.3913845,-13.7927498,0.781429,t17_f5_c3,15.335,0.0075,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60137.29199070018,2383291995315015020,1,2383291995315,20.5699,1,2383,0.559366,18.9971,18.896833,19.1951,0.120768,0.10949729,0.11011468,0.1134,277.3913889,-13.7927947,0.828571,t17_f5_c3,19.3518,0.1689,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60139.253969899844,2385253965315015017,2,2385253965315,19.9878,1,2385,0.030398,15.4161,15.223979,15.4889,0.030437,0.025122028,0.02550079,0.0079,277.3913881,-13.7927259,0.784286,t17_f5_c3,15.4643,0.0092,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60141.31592589989,2387315925315015018,1,2387315925315,20.2287,1,2387,0.694994,18.9699,18.872005,19.3636,0.135206,0.1230234,0.1235487,0.1682,277.3914574,-13.7927764,0.795714,t17_f5_c3,19.2545,0.1952,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60144.274236099795,2390274235315015018,1,2390274235315,20.4828,1,2390,0.610711,19.151,19.036243,19.3691,0.121534,0.10853975,0.10934424,0.1319,277.3913854,-13.7927811,0.768571,t17_f5_c3,19.5936,0.2096,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60144.2942476999,2390294245315015017,2,2390294245315,20.4593,1,2390,0.082136,15.5409,15.327539,15.635,0.038547,0.031301398,0.03166988,0.0071,277.3913808,-13.7927379,0.751429,t17_f5_c3,15.6158,0.0082,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60148.27337960014,2394273375315015023,1,2394273375315,20.5747,1,2394,0.583178,19.3307,19.196518,19.61,0.171866,0.15110874,0.15188593,0.1545,277.3913911,-13.7927895,0.535714,t17_f5_c3,19.745,0.2291,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60150.20513889985,2396205135315015028,2,2396205135315,20.0542,1,2396,0.040099,15.7021,15.45817,15.7733,0.038791,0.03050552,0.03098553,0.0095,277.3913836,-13.7927257,0.818571,t17_f5_c3,15.7775,0.0115,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
ztf,60150.227511600126,2396227515315015019,1,2396227515315,20.3771,1,2396,0.639563,19.4495,19.300821,19.8449,0.168642,0.14608644,0.1470599,0.2342,277.3913858,-13.7927742,0.667143,t17_f5_c3,19.6544,0.2535,False,True,False,1.2.0,0.0,2.409252315315015e+18,,,ZTF18adrublx
